layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.925352,1.001517
0,q_proj,4,8.296875,8.309376,1.001507
0,q_proj,8,5.824219,5.832973,1.001503
0,q_proj,12,4.582031,4.588907,1.001501
0,q_proj,16,3.972656,3.978611,1.001499
0,q_proj,20,3.65625,3.661728,1.001498
0,q_proj,24,3.376953,3.38201,1.001497
0,q_proj,28,3.222656,3.22748,1.001497
0,q_proj,32,3.021484,3.026005,1.001496
0,q_proj,36,2.916016,2.920377,1.001496
0,q_proj,40,2.849609,2.853871,1.001496
0,q_proj,44,2.767578,2.771716,1.001495
0,q_proj,48,2.728516,2.732595,1.001495
0,q_proj,52,2.667969,2.671957,1.001495
0,q_proj,56,2.628906,2.632836,1.001495
0,q_proj,60,2.591797,2.59567,1.001495
0,q_proj,64,2.566406,2.570242,1.001494
0,q_proj,68,2.529297,2.533077,1.001494
0,q_proj,72,2.503906,2.507648,1.001494
0,q_proj,76,2.46875,2.472439,1.001494
0,q_proj,80,2.449219,2.452878,1.001494
0,q_proj,84,2.410156,2.413757,1.001494
0,q_proj,88,2.386719,2.390284,1.001494
0,q_proj,92,2.357422,2.360943,1.001494
0,q_proj,96,2.324219,2.32769,1.001493
0,q_proj,100,2.294922,2.298349,1.001493
0,q_proj,104,2.259766,2.26314,1.001493
0,q_proj,108,2.234375,2.237711,1.001493
0,q_proj,112,2.199219,2.202502,1.001493
0,q_proj,116,2.169922,2.173161,1.001493
0,q_proj,120,2.138672,2.141864,1.001493
0,q_proj,124,2.115234,2.118391,1.001492
0,k_proj,0,4.175781,4.178662,1.00069
0,k_proj,4,2.875,2.876985,1.00069
0,k_proj,8,2.638672,2.640494,1.00069
0,k_proj,12,2.572266,2.574042,1.000691
0,k_proj,16,2.488281,2.49,1.000691
0,k_proj,20,2.455078,2.456774,1.000691
0,k_proj,24,2.423828,2.425502,1.000691
0,k_proj,28,2.386719,2.388367,1.000691
0,k_proj,32,2.373047,2.374686,1.000691
0,k_proj,36,2.34375,2.345369,1.000691
0,k_proj,40,2.328125,2.329733,1.000691
0,k_proj,44,2.298828,2.300416,1.000691
0,k_proj,48,2.28125,2.282826,1.000691
0,k_proj,52,2.259766,2.261327,1.000691
0,k_proj,56,2.238281,2.239827,1.000691
0,k_proj,60,2.226562,2.228101,1.000691
0,k_proj,64,2.207031,2.208556,1.000691
0,k_proj,68,2.185547,2.187057,1.000691
0,k_proj,72,2.158203,2.159694,1.000691
0,k_proj,76,2.138672,2.140149,1.000691
0,k_proj,80,2.105469,2.106923,1.000691
0,k_proj,84,2.076172,2.077606,1.000691
0,k_proj,88,2.042969,2.04438,1.000691
0,k_proj,92,1.999023,2.000405,1.000691
0,k_proj,96,1.958008,1.959361,1.000691
0,k_proj,100,1.914062,1.915385,1.000691
0,k_proj,104,1.869141,1.870432,1.000691
0,k_proj,108,1.820312,1.821571,1.000691
0,k_proj,112,1.78125,1.782481,1.000691
