wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
41.97,0,0,0,18,72,3.44552,31.3596,0.001,,,,,4096.0,,22645.2,19283.2,41935.9,687.5,1633.4,13034.0,24893.3
74.71,0,1,1,20,152,2.55501,12.8714,0.0,5.53139,0.64582,5.47601,0.43876,4096.0,False,6767.4,24658.4,32736.9,702.8,1654.5,13158.4,24893.3
102.84,0,1,2,20,232,2.65907,14.283,0.0,,,,,4096.0,,4199.6,23906.9,28124.5,718.0,1670.3,13224.8,24893.3
123.97,0,2,3,21,316,2.67698,14.5411,0.001,2.4052,0.20973,2.31026,0.63535,4096.0,False,3806.5,17125.0,21123.5,702.8,1688.3,13234.8,24893.3
153.88,0,2,4,22,404,2.32687,10.2458,0.001,,,,,4096.0,,4522.2,25375.6,29906.6,718.0,1676.8,13097.6,24893.3
180.28,0,3,5,22,492,2.19256,8.9582,0.0009957224306869053,2.16238,0.16801,2.07692,0.57797,4096.0,False,3706.1,19565.1,26389.3,702.8,1691.5,13149.4,24893.3
207.42,0,3,6,23,584,1.72842,5.6317,0.0009957224306869053,,,,,4096.0,,5722.1,21413.2,27142.0,718.0,1680.0,13081.0,24893.3
231.32,0,4,7,24,680,1.96612,7.1429,0.0009829629131445341,1.51206,0.19314,1.40537,0.52342,4096.0,False,4738.3,18982.9,23898.4,702.8,1697.9,13054.1,24893.3
258.56,0,4,8,24,776,2.15968,8.6683,0.0009829629131445341,,,,,4096.0,,7531.3,19660.1,27235.1,718.0,1683.2,13241.4,24893.3
320.41,0,5,9,24,872,1.95285,7.0488,0.0009619397662556434,1.22577,0.4748,0.93636,0.63272,4096.0,False,4745.4,55773.3,61841.4,702.8,1697.9,11632.1,24893.3
355.12,0,5,10,25,972,1.47459,4.3693,0.0009619397662556434,,,,,4096.0,,11727.2,22905.3,34704.6,718.0,1686.4,13182.2,24893.3
389.63,0,6,11,25,1072,1.16764,3.2144,0.0009330127018922195,1.44109,0.7055,1.00945,0.74836,4096.0,False,6099.7,28142.1,34505.1,702.8,1701.1,13342.2,24893.3
423.42,0,6,12,26,1176,1.53107,4.6231,0.0009330127018922195,,,,,4096.0,,5511.5,28246.3,33780.9,718.0,1689.6,13195.5,24893.3
460.76,0,7,13,26,1280,1.45361,4.2785,0.0008966766701456176,0.84809,0.06451,0.83914,0.10459,4096.0,False,9641.4,27507.4,37336.4,702.8,1704.3,13125.5,24893.3
487.94,0,7,14,27,1388,1.57572,4.8342,0.0008966766701456176,,,,,4096.0,,4854.0,22303.4,27174.5,718.0,1692.8,13163.8,24893.3
519.83,0,8,15,27,1496,1.63887,5.1493,0.0008535533905932737,0.88902,0.06337,0.87693,0.13171,4096.0,False,4168.2,27514.1,31882.2,702.8,1707.5,13198.1,24893.3
551.11,0,8,16,27,1604,1.75705,5.7953,0.0008535533905932737,,,,,4096.0,,4238.2,27024.3,31282.2,718.0,1692.8,13289.3,24893.3
577.75,0,9,17,28,1716,1.46764,4.339,0.0008043807145043603,0.92211,0.07854,0.91076,0.12099,4096.0,False,5227.4,21170.1,26624.4,702.8,1710.7,13188.9,24893.3
614.59,0,9,18,29,1832,1.50788,4.5171,0.0008043807145043603,,,,,4096.0,,5390.7,31383.2,36839.3,718.0,1699.2,13572.9,24893.3
658.3,0,10,19,30,1952,1.25915,3.5224,0.00075,0.69087,0.05095,0.68013,0.11016,4096.0,False,15134.5,28287.3,43706.3,702.8,1717.1,13174.7,24893.3
694.4,0,10,20,32,2080,1.26741,3.5516,0.00075,,,,,4096.0,,4959.3,31085.7,36096.8,718.0,1708.8,11991.9,24893.3
740.2,0,11,21,33,2212,1.32475,3.7613,0.000691341716182545,0.68124,0.0442,0.67068,0.111,4096.0,False,8702.0,36811.3,45785.3,702.8,1726.8,11762.8,24893.3
784.7,0,11,22,34,2348,0.91637,2.5002,0.000691341716182545,,,,,4096.0,,14345.1,30106.1,44491.1,718.0,1715.3,13147.1,24893.3
817.05,0,12,23,36,2492,1.25074,3.4929,0.0006294095225512603,0.48022,0.0528,0.46812,0.09324,4096.0,False,6032.4,26078.2,32338.9,702.8,1736.4,13058.1,24893.3
864.63,0,12,24,37,2640,1.67911,5.3608,0.0006294095225512603,,,,,4096.0,,10992.9,36560.4,47580.4,718.0,1724.9,12245.2,24893.3
907.87,0,13,25,39,2796,1.61618,5.0338,0.000565263096110026,0.65048,0.07124,0.63342,0.12971,4096.0,False,10671.5,32326.6,43229.8,702.8,1746.0,12335.8,24893.3
943.68,0,13,26,42,2964,1.12418,3.0777,0.000565263096110026,,,,,4096.0,,8479.5,27282.6,35801.4,718.0,1740.9,12970.7,24893.3
991.94,0,14,27,46,3148,1.37091,3.9389,0.0005,0.49717,0.04407,0.48347,0.10721,4096.0,False,12043.2,35973.6,48252.6,702.8,1768.5,12703.2,24893.3
1029.64,0,14,28,51,3352,1.61204,5.013,0.0005,,,,,4096.0,,9456.9,28204.7,37699.0,718.0,1769.8,12951.6,24893.3
1073.87,0,15,29,56,3576,1.55136,4.7179,0.00043473690388997434,0.49681,0.05125,0.48242,0.1071,4096.0,False,6183.6,37792.8,44221.7,702.8,1800.6,12296.2,24893.3
1124.38,0,15,30,62,3824,1.80168,6.0598,0.00043473690388997434,,,,,4096.0,,13732.8,36712.1,50509.4,718.0,1805.1,13015.6,24893.3
1175.55,0,16,31,66,4088,1.07928,2.9426,0.0003705904774487396,0.43614,0.03702,0.42479,0.09167,4096.0,False,10000.8,40922.7,51148.2,702.8,1832.7,12922.0,24893.3
1216.86,0,16,32,70,4368,1.43148,4.1849,0.0003705904774487396,,,,,4096.0,,9772.7,31510.2,41307.4,718.0,1830.8,12853.7,24893.3
