t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.0,656.0,668.0,1126,3,55,4079.1
0.146,665.1,670.0,1179,3,55,4127.2
0.265,850.4,870.0,1340,14,55,4255.8
0.384,979.9,990.0,1460,14,55,4385.5
0.501,1109.4,1130.0,1600,25,55,4520.5
0.619,1110.4,1132.0,1603,19,55,4620.5
0.738,1120.1,1156.0,1727,17,56,4726.2
0.855,694.0,1276.0,1747,17,56,4772.8
0.972,851.5,1276.0,1747,58,56,4907.0
1.091,981.0,1276.0,1747,15,56,5038.3
1.21,1110.5,1276.0,1747,15,56,5170.8
1.328,690.7,1276.0,1747,21,58,5199.0
1.447,851.8,1276.0,1744,53,56,5331.8
1.566,981.2,1276.0,1737,13,56,5465.5
1.684,1110.8,1276.0,1737,13,56,5586.4
1.802,691.0,1276.0,1728,18,59,5619.1
1.92,852.0,1276.0,1728,49,57,5734.8
2.038,981.5,1276.0,1728,49,57,5854.0
2.155,1111.0,1276.0,1728,12,57,5961.9
2.273,1111.0,1276.0,1729,10,57,6060.1
2.391,694.8,1276.0,1735,10,59,6103.1
2.508,852.3,1276.0,1735,56,58,6214.9
2.626,981.8,1276.0,1735,13,57,6325.4
2.744,1111.3,1276.0,1735,11,57,6437.5
2.862,691.6,1276.0,1735,11,58,6506.7
2.98,852.6,1276.0,1735,54,58,6584.1
3.1,852.6,1276.0,1735,12,58,6695.8
3.218,982.1,1276.0,1735,12,57,6806.1
3.336,1111.6,1276.0,1735,9,57,6917.4
3.454,691.9,1278.0,1736,25,61,6951.2
3.572,852.9,1278.0,1736,41,58,7056.8
3.69,982.4,1278.0,1736,41,58,7174.8
3.808,1111.9,1278.0,1736,11,57,7285.7
3.927,1111.9,1278.0,1736,10,58,7393.9
4.046,692.1,1278.0,1736,10,59,7430.0
4.164,853.2,1278.0,1736,56,58,7540.0
4.281,982.7,1278.0,1736,10,58,7646.3
4.399,1112.2,1278.0,1735,10,58,7753.6
4.518,1112.2,1278.0,1735,10,58,7838.3
4.636,692.4,1278.0,1735,39,60,7867.8
4.756,853.4,1278.0,1735,27,58,7957.3
4.875,982.9,1278.0,1735,27,58,8040.0
4.993,982.9,1278.0,1735,9,58,8120.8
5.111,1112.4,1278.0,1735,9,58,8203.2
5.229,1112.4,1278.0,1735,9,58,8282.8
5.348,692.7,1278.0,1732,12,60,8310.1
5.467,853.7,1278.0,1732,48,58,8399.1
5.588,983.2,1278.0,1732,10,58,8500.7
5.706,983.2,1278.0,1732,10,58,8611.6
