wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
42.72,0,0,0,18,72,3.44476,31.3358,0.001,,,,,4096.0,,19732.2,22950.6,42692.3,40.8,971.2,13011.1,24893.3
71.67,0,1,1,20,152,2.55358,12.853,0.0,5.57938,0.0,5.57938,0.0,4096.0,False,6292.0,22519.6,28940.3,53.1,989.3,12763.1,24893.3
99.24,0,1,2,20,232,2.69048,14.7388,0.0,,,,,4096.0,,6469.0,21075.9,27563.5,65.4,1002.0,13024.8,24893.3
132.46,0,2,3,21,316,2.72633,15.2766,0.001,2.3584,0.0,2.3584,0.0,4096.0,False,10254.6,22797.8,33216.4,53.1,1016.9,13117.3,24893.3
164.83,0,2,4,22,404,2.34805,10.4652,0.001,,,,,4096.0,,9821.3,22531.0,32367.1,65.4,1008.2,13093.7,24893.3
192.88,0,3,5,22,492,2.20916,9.1081,0.0009957224306869053,2.01268,0.0,2.01268,0.0,4096.0,False,5005.3,22858.3,28038.3,53.1,1020.1,12895.6,24893.3
221.79,0,3,6,23,584,1.84481,6.3269,0.0009957224306869053,,,,,4096.0,,4723.1,24112.4,28907.4,65.4,1011.3,11358.5,24893.3
265.16,0,4,7,24,680,2.08185,8.0193,0.0009829629131445341,1.00863,0.0,1.00863,0.0,4096.0,False,18529.7,24697.8,43357.2,53.1,1026.3,12920.2,24893.3
296.59,0,4,8,24,776,2.37744,10.7773,0.0009829629131445341,,,,,4096.0,,8475.5,22937.4,31420.7,65.4,1014.4,12594.9,24893.3
333.38,0,5,9,24,872,2.1747,8.7995,0.0009619397662556434,1.00388,0.0,1.00388,0.0,4096.0,False,14107.4,22564.1,36786.1,53.1,1026.3,13114.4,24893.3
377.44,0,5,10,25,972,1.83338,6.255,0.0009619397662556434,,,,,4096.0,,9859.1,34179.6,44050.7,65.4,1017.6,12735.7,24893.3
404.88,0,6,11,25,1072,1.50748,4.5153,0.0009330127018922195,1.1057,0.0,1.1057,0.0,4096.0,False,7005.6,20307.3,27432.3,53.1,1029.4,13093.7,24893.3
438.43,0,6,12,26,1176,1.90243,6.7022,0.0009330127018922195,,,,,4096.0,,6705.1,26765.6,33541.3,65.4,1020.7,13054.1,24893.3
482.57,0,7,13,26,1280,1.8173,6.1552,0.0008966766701456176,0.87711,0.0,0.87711,0.0,4096.0,False,7655.4,36273.0,44131.1,53.1,1032.5,12250.1,24893.3
521.51,0,7,14,27,1388,1.91743,6.8035,0.0008966766701456176,,,,,4096.0,,9219.8,29647.1,38935.1,65.4,1023.8,12971.1,24893.3
552.36,0,8,15,27,1496,1.95766,7.0827,0.0008535533905932737,0.88377,0.0,0.88377,0.0,4096.0,False,4839.4,25826.4,30836.2,53.1,1035.6,13011.9,24893.3
581.01,0,8,16,27,1604,2.0796,8.0012,0.0008535533905932737,,,,,4096.0,,4831.0,23767.6,28652.7,65.4,1023.8,12925.6,24893.3
610.34,0,9,17,28,1716,1.77672,5.9104,0.0008043807145043603,0.87308,0.0,0.87308,0.0,4096.0,False,4211.3,24920.3,29322.2,53.1,1038.8,11500.1,24893.3
651.79,0,9,18,29,1832,1.7995,6.0466,0.0008043807145043603,,,,,4096.0,,14564.4,26797.8,41436.9,65.4,1030.0,12961.2,24893.3
689.45,0,10,19,30,1952,1.53407,4.637,0.00075,0.7214,0.0,0.7214,0.0,4096.0,False,8822.8,28712.2,37653.9,53.1,1045.0,13000.9,24893.3
728.12,0,10,20,32,2080,1.53432,4.6382,0.00075,,,,,4096.0,,9019.2,29582.1,38666.9,65.4,1039.4,10933.9,24893.3
774.2,0,11,21,33,2212,1.58979,4.9027,0.000691341716182545,0.7062,0.0,0.7062,0.0,4096.0,False,19812.4,26098.4,46069.2,53.1,1054.3,12738.7,24893.3
808.52,0,11,22,34,2348,1.13425,3.1089,0.000691341716182545,,,,,4096.0,,10793.0,23432.3,34312.9,65.4,1045.6,12430.0,24893.3
847.57,0,12,23,36,2492,1.44914,4.2595,0.0006294095225512603,0.58476,0.0,0.58476,0.0,4096.0,False,9705.6,29213.8,39047.2,53.1,1063.7,13055.7,24893.3
882.67,0,12,24,37,2640,1.87523,6.5223,0.0006294095225512603,,,,,4096.0,,9108.7,25956.0,35092.7,65.4,1055.0,12912.9,24893.3
915.87,0,13,25,39,2796,1.80837,6.1005,0.000565263096110026,0.67681,0.0,0.67681,0.0,4096.0,False,11856.2,21214.4,33194.3,53.1,1073.0,12927.4,24893.3
952.43,0,13,26,42,2964,1.2674,3.5516,0.000565263096110026,,,,,4096.0,,8353.1,28169.5,36555.2,65.4,1070.6,12491.2,24893.3
994.1,0,14,27,46,3148,1.51253,4.5382,0.0005,0.49864,0.0,0.49864,0.0,4096.0,False,11805.8,29711.5,41658.8,53.1,1094.9,12892.8,24893.3
1031.31,0,14,28,51,3352,1.72483,5.6116,0.0005,,,,,4096.0,,7858.1,29302.6,37201.7,65.4,1098.6,12876.2,24893.3
1075.93,0,15,29,56,3576,1.67261,5.326,0.00043473690388997434,0.48798,0.0,0.48798,0.0,4096.0,False,7770.6,36694.4,44607.6,53.1,1126.0,12899.0,24893.3
1113.83,0,15,30,62,3824,1.88744,6.6024,0.00043473690388997434,,,,,4096.0,,7146.0,30712.9,37900.4,65.4,1132.9,12003.8,24893.3
1169.93,0,16,31,66,4088,1.15732,3.1814,0.0003705904774487396,0.42226,0.0,0.42226,0.0,4096.0,False,16755.7,39187.5,56089.0,53.1,1157.2,12687.8,24893.3
1222.69,0,16,32,70,4368,1.48358,4.4087,0.0003705904774487396,,,,,4096.0,,10919.2,41790.6,52753.6,65.4,1157.8,11638.7,24893.3
1284.41,0,17,33,72,4656,1.60511,4.9784,0.0003086582838174551,0.4439,0.0,0.4439,0.0,4096.0,False,14005.1,47526.8,61708.4,53.1,1175.9,11506.4,24893.3
1337.27,0,17,34,81,4980,1.29405,3.6475,0.0003086582838174551,,,,,4096.0,,16343.4,36453.6,52852.4,65.4,1192.1,12742.3,24893.3
1393.22,0,18,35,82,5308,1.0432,2.8383,0.0002500000000000001,0.38016,0.0,0.38016,0.0,4096.0,False,11871.8,43929.2,55947.9,53.1,1207.1,12643.9,24893.3
1441.96,0,18,36,84,5644,1.40849,4.0898,0.0002500000000000001,,,,,4096.0,,10644.1,38042.1,48727.9,65.4,1201.5,12822.1,24893.3
1488.09,0,19,37,90,6004,1.41076,4.0991,0.00019561928549563967,0.35478,0.0,0.35478,0.0,4096.0,False,9111.3,36838.3,46121.9,53.1,1232.0,11811.8,24893.3
1549.32,0,19,38,95,6384,1.17702,3.2447,0.00019561928549563967,,,,,4096.0,,20743.6,40435.0,61226.4,65.4,1235.8,12540.8,24893.3
1608.36,0,20,39,100,6784,1.55499,4.735,0.00014644660940672628,0.33266,0.0,0.33266,0.0,4096.0,False,13888.1,45019.2,59039.7,53.1,1263.2,12011.2,24893.3
1678.77,0,20,40,103,7196,1.40943,4.0936,0.00014644660940672628,,,,,4096.0,,12409.7,57952.3,70397.6,65.4,1260.7,12088.6,24893.3
1734.58,0,21,41,108,7628,1.37172,3.9421,0.00010332332985438247,0.32751,0.0,0.32751,0.0,4096.0,False,13426.7,42246.5,55806.8,53.1,1288.2,11921.7,24893.3
1788.6,0,21,42,110,8068,1.49763,4.4711,0.00010332332985438247,,,,,4096.0,,13313.0,40647.9,54016.2,65.4,1282.5,11793.4,24893.3
