t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,644.2,682.0,1058,2,74,3347.0
0.132,214.9,682.0,1058,6,74,3424.0
0.25,214.9,682.0,1058,6,74,3499.5
0.37,344.4,682.0,1058,6,74,3567.3
0.488,344.4,682.0,1058,7,74,3638.0
0.606,473.9,822.0,1198,7,74,3706.9
0.724,473.9,822.0,1198,7,73,3779.4
0.842,54.8,962.0,1338,29,75,3798.6
0.961,86.3,962.0,1338,29,74,3862.8
1.079,215.8,962.0,1338,36,74,3931.8
1.197,345.3,962.0,1338,7,74,4002.9
1.317,345.3,962.0,1338,6,74,4069.9
1.434,474.8,962.0,1338,6,74,4140.4
1.553,474.8,962.0,1338,7,74,4206.0
1.67,55.1,1002.0,1378,9,74,4242.9
1.788,58.6,1002.0,1378,9,74,4275.5
1.906,216.1,1002.0,1378,55,74,4337.9
2.024,216.1,1002.0,1378,6,74,4399.6
2.142,345.6,1002.0,1378,7,74,4460.9
2.26,345.6,1002.0,1378,7,74,4523.9
2.378,475.1,1002.0,1378,5,74,4584.8
2.496,475.1,1002.0,1378,6,74,4647.4
2.614,55.3,1002.0,1378,6,74,4687.3
2.732,86.8,1002.0,1378,44,75,4704.2
2.853,216.3,1002.0,1378,15,74,4764.5
2.971,216.3,1002.0,1378,15,74,4839.9
3.09,345.8,1002.0,1378,7,74,4905.2
3.209,345.8,1002.0,1378,7,74,4965.2
3.328,475.3,1002.0,1378,5,74,5032.1
3.446,475.3,1002.0,1378,5,74,5095.7
3.564,55.5,1002.0,1378,25,76,5122.8
3.682,216.5,1002.0,1378,31,75,5189.8
3.801,216.5,1002.0,1378,31,74,5256.8
3.919,346.0,1002.0,1378,5,74,5325.1
4.037,346.0,1002.0,1378,7,74,5395.1
4.155,475.5,1002.0,1378,7,74,5463.6
4.274,475.5,1002.0,1378,7,74,5532.3
4.392,55.7,1002.0,1378,19,76,5557.0
4.51,216.7,1002.0,1378,36,74,5622.1
4.629,216.7,1002.0,1378,36,74,5675.3
4.75,346.2,1002.0,1378,7,74,5701.0
4.868,346.2,1002.0,1378,5,74,5767.9
4.986,475.7,1002.0,1378,7,74,5832.9
5.105,475.7,1002.0,1378,7,74,5902.4
5.223,55.9,1002.0,1378,7,77,5929.7
5.341,216.9,1002.0,1378,49,75,6002.6
5.459,216.9,1002.0,1378,49,74,6073.6
5.577,346.4,1002.0,1378,7,74,6157.8
5.695,346.4,1002.0,1378,8,74,6239.3
5.813,475.9,1002.0,1378,8,74,6307.8
5.931,475.9,1002.0,1378,6,74,6374.9
6.049,59.7,1002.0,1378,43,76,6409.8
6.167,217.2,1002.0,1378,15,74,6476.2
6.286,217.2,1002.0,1378,15,74,6536.2
6.408,346.7,1002.0,1378,6,74,6587.2
6.529,346.7,1002.0,1378,6,74,6635.0
6.652,476.2,1002.0,1378,4,74,6665.2
6.774,476.2,1002.0,1378,4,74,6688.6
6.898,476.2,1002.0,1378,2,74,6711.2
7.022,476.2,1002.0,1378,4,74,6736.8
7.146,56.4,1002.0,1378,4,76,6744.3
7.267,87.9,1002.0,1378,48,75,6769.6
7.39,217.4,1002.0,1378,3,74,6803.2
7.514,217.4,1002.0,1378,4,74,6830.9
7.639,217.4,1002.0,1378,4,74,6857.6
7.761,346.9,1002.0,1378,4,74,6883.8
7.884,346.9,1002.0,1378,3,74,6909.4
8.008,346.9,1002.0,1378,4,74,6938.0
8.132,346.9,1002.0,1378,4,74,6966.3
8.257,476.4,1002.0,1378,4,74,6992.8
8.382,476.4,1002.0,1378,3,74,7032.2
8.502,476.4,1002.0,1378,4,74,7058.9
8.628,483.5,1002.0,1378,4,74,7086.7
8.75,56.6,1002.0,1378,33,76,7097.8
8.874,88.1,1002.0,1378,18,74,7131.1
9.001,217.6,1002.0,1378,5,74,7165.6
9.125,217.6,1002.0,1378,5,74,7194.3
9.248,217.6,1002.0,1378,4,74,7223.3
9.372,347.1,1002.0,1378,3,74,7256.8
9.496,347.1,1002.0,1378,5,74,7285.4
9.62,347.1,1002.0,1378,5,74,7321.4
9.745,476.6,1002.0,1378,4,74,7358.3
9.869,476.6,1002.0,1378,4,74,7397.1
9.991,476.6,1002.0,1378,4,74,7444.5
10.114,56.8,1002.0,1378,6,76,7451.2
10.236,56.8,1002.0,1378,47,75,7457.1
10.359,217.8,1002.0,1378,3,74,7497.5
10.482,217.8,1002.0,1378,3,74,7531.4
10.606,217.8,1002.0,1378,5,74,7566.0
10.729,347.3,1002.0,1378,4,74,7606.1
10.852,347.3,1002.0,1378,3,74,7645.8
10.975,347.3,1002.0,1378,3,74,7678.7
11.098,476.8,1002.0,1378,5,74,7713.4
11.221,476.8,1002.0,1378,4,74,7746.7
