layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.850142,0.998231
0,q_proj,4,8.296875,8.282657,0.998286
0,q_proj,8,5.824219,5.814348,0.998305
0,q_proj,12,4.582031,4.574324,0.998318
0,q_proj,16,3.972656,3.966004,0.998326
0,q_proj,20,3.65625,3.650144,0.99833
0,q_proj,24,3.376953,3.371328,0.998334
0,q_proj,28,3.222656,3.217296,0.998337
0,q_proj,32,3.021484,3.016469,0.99834
0,q_proj,36,2.916016,2.911181,0.998342
0,q_proj,40,2.849609,2.844888,0.998343
0,q_proj,44,2.767578,2.762997,0.998345
0,q_proj,48,2.728516,2.724001,0.998345
0,q_proj,52,2.667969,2.663558,0.998347
0,q_proj,56,2.628906,2.624562,0.998347
0,q_proj,60,2.591797,2.587516,0.998348
0,q_proj,64,2.566406,2.562168,0.998349
0,q_proj,68,2.529297,2.525122,0.998349
0,q_proj,72,2.503906,2.499775,0.99835
0,q_proj,76,2.46875,2.464678,0.998351
0,q_proj,80,2.449219,2.44518,0.998351
0,q_proj,84,2.410156,2.406184,0.998352
0,q_proj,88,2.386719,2.382787,0.998352
0,q_proj,92,2.357422,2.353539,0.998353
0,q_proj,96,2.324219,2.320393,0.998354
0,q_proj,100,2.294922,2.291146,0.998355
0,q_proj,104,2.259766,2.256049,0.998355
0,q_proj,108,2.234375,2.230701,0.998356
0,q_proj,112,2.199219,2.195605,0.998357
0,q_proj,116,2.169922,2.166358,0.998357
0,q_proj,120,2.138672,2.135161,0.998358
0,q_proj,124,2.115234,2.111763,0.998359
0,k_proj,0,4.175781,4.183725,1.001902
0,k_proj,4,2.875,2.880168,1.001798
0,k_proj,8,2.638672,2.643352,1.001774
0,k_proj,12,2.572266,2.57681,1.001767
0,k_proj,16,2.488281,2.492654,1.001757
0,k_proj,20,2.455078,2.459383,1.001754
0,k_proj,24,2.423828,2.42807,1.00175
0,k_proj,28,2.386719,2.390885,1.001746
0,k_proj,32,2.373047,2.377186,1.001744
0,k_proj,36,2.34375,2.347829,1.001741
0,k_proj,40,2.328125,2.332173,1.001739
0,k_proj,44,2.298828,2.302817,1.001735
0,k_proj,48,2.28125,2.285203,1.001733
0,k_proj,52,2.259766,2.263676,1.00173
0,k_proj,56,2.238281,2.242148,1.001728
0,k_proj,60,2.226562,2.230406,1.001726
0,k_proj,64,2.207031,2.210836,1.001724
0,k_proj,68,2.185547,2.189308,1.001721
0,k_proj,72,2.158203,2.16191,1.001717
0,k_proj,76,2.138672,2.14234,1.001715
0,k_proj,80,2.105469,2.109071,1.001711
0,k_proj,84,2.076172,2.079715,1.001707
0,k_proj,88,2.042969,2.046446,1.001702
0,k_proj,92,1.999023,2.002414,1.001696
0,k_proj,96,1.958008,1.961317,1.00169
0,k_proj,100,1.914062,1.917286,1.001684
0,k_proj,104,1.869141,1.872276,1.001677
0,k_proj,108,1.820312,1.823352,1.00167
0,k_proj,112,1.78125,1.784214,1.001664
0,k_proj,116,1.750977,1.753881,1.001659
0,k_proj,120,1.724609,1.727463,1.001655
0,k_proj,124,1.710938,1.713765,1.001653
0,v_proj,0,1.24707,1.243331,0.997002
0,v_proj,4,0.82373,0.821345,0.997105
0,v_proj,8,0.696777,0.694789,0.997146
0,v_proj,12,0.658203,0.656334,0.99716
0,v_proj,16,0.650391,0.648546,0.997163
0,v_proj,20,0.644531,0.642704,0.997165
0,v_proj,24,0.639648,0.637836,0.997167
0,v_proj,28,0.635254,0.633455,0.997169
0,v_proj,32,0.631348,0.629561,0.99717
0,v_proj,36,0.627441,0.625667,0.997172
0,v_proj,40,0.623535,0.621773,0.997174
0,v_proj,44,0.619629,0.617879,0.997175
0,v_proj,48,0.615723,0.613984,0.997177
0,v_proj,52,0.612793,0.611064,0.997178
0,v_proj,56,0.60791,0.606196,0.99718
0,v_proj,60,0.603516,0.601815,0.997182
0,v_proj,64,0.600586,0.598894,0.997183
0,v_proj,68,0.596191,0.594513,0.997185
0,v_proj,72,0.59082,0.589158,0.997187
0,v_proj,76,0.587402,0.585751,0.997188
0,v_proj,80,0.583496,0.581856,0.99719
0,v_proj,84,0.57959,0.577962,0.997192
0,v_proj,88,0.57666,0.575041,0.997193
0,v_proj,92,0.572266,0.57066,0.997195
0,v_proj,96,0.567383,0.565793,0.997197
0,v_proj,100,0.562012,0.560438,0.997199
0,v_proj,104,0.557617,0.556057,0.997201
0,v_proj,108,0.552734,0.551189,0.997203
0,v_proj,112,0.548828,0.547294,0.997205
0,v_proj,116,0.542969,0.541453,0.997208
0,v_proj,120,0.537109,0.535611,0.997211
0,v_proj,124,0.533691,0.532204,0.997212
0,o_proj,0,5.992188,5.967592,0.995895
0,o_proj,4,3.150391,3.137933,0.996046
0,o_proj,8,2.304688,2.295741,0.996118
0,o_proj,12,1.967773,1.960207,0.996155
