wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
47.19,0,0,0,18,72,3.44432,31.3218,0.001,,,,,4096.0,,21423.6,25726.3,47160.2,662.9,1611.8,12910.0,24893.3
82.56,0,1,1,20,152,2.55449,12.8648,0.0,0.72911,0.64581,0.0,0.33842,4096.0,False,9048.6,26064.7,35357.9,665.9,1620.1,12929.5,24893.3
110.74,0,1,2,20,232,4.07286,58.7244,0.0,,,,,4096.0,,4829.3,23340.6,28180.2,668.9,1623.2,12938.2,24893.3
147.81,0,2,3,21,316,3.92076,50.439,0.001,1.02167,0.68053,0.0,0.76203,4096.0,False,8646.7,28200.3,37052.1,665.9,1628.8,12021.5,24893.3
185.05,0,2,4,22,404,3.04212,20.9497,0.001,,,,,4096.0,,10388.5,26838.0,37238.6,668.9,1628.6,12293.7,24893.3
218.88,0,3,5,22,492,3.28979,26.8373,0.0009957224306869053,1.03851,0.7793,0.0,0.68644,4096.0,False,8985.0,24631.9,33820.3,665.9,1631.5,12614.5,24893.3
248.65,0,3,6,23,584,2.55325,12.8488,0.0009957224306869053,,,,,4096.0,,6669.1,23079.4,29763.9,668.9,1631.3,12929.2,24893.3
281.15,0,4,7,24,680,2.83785,17.0789,0.0009829629131445341,0.79191,0.50242,0.0,0.61212,4096.0,False,9832.4,22461.5,32492.8,665.9,1636.9,12930.0,24893.3
309.24,0,4,8,24,776,3.53818,34.4042,0.0009829629131445341,,,,,4096.0,,4029.4,24040.7,28081.5,668.9,1634.0,12930.5,24893.3
336.53,0,5,9,24,872,2.96193,19.3352,0.0009619397662556434,0.95381,0.57466,0.0,0.76127,4096.0,False,5779.1,21259.8,27286.0,665.9,1636.9,12954.3,24893.3
372.8,0,5,10,25,972,2.36249,10.6173,0.0009619397662556434,,,,,4096.0,,9706.5,26546.4,36261.3,668.9,1636.7,12796.0,24893.3
404.33,0,6,11,25,1072,2.09522,8.1273,0.0009330127018922195,0.99364,0.58698,0.0,0.80173,4096.0,False,7204.6,24110.2,31521.6,665.9,1639.6,12844.9,24893.3
442.82,0,6,12,26,1176,2.60637,13.5498,0.0009330127018922195,,,,,4096.0,,8503.8,29969.4,38488.0,668.9,1639.4,12892.2,24893.3
476.29,0,7,13,26,1280,2.15522,8.6298,0.0008966766701456176,1.31825,0.76063,0.0,1.07668,4096.0,False,4264.8,28983.2,33453.7,665.9,1642.3,12945.4,24893.3
502.93,0,7,14,27,1388,2.25786,9.5626,0.0008966766701456176,,,,,4096.0,,4247.9,22372.4,26633.3,668.9,1642.1,12373.0,24893.3
