t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.002,1287.9,1318.0,1741,12,73,3287.5
0.131,685.3,1318.0,1741,2,74,3307.0
0.252,716.8,1318.0,1741,5,73,3338.7
0.375,846.3,1318.0,1741,5,73,3373.9
0.496,846.3,1318.0,1741,4,74,3432.3
0.618,975.8,1318.0,1741,7,73,3479.9
0.739,975.8,1318.0,1741,7,74,3543.3
0.86,1105.3,1438.0,1861,7,74,3573.6
0.982,1105.3,1438.0,1861,3,73,3602.1
1.102,1105.3,1438.0,1861,4,73,3624.9
1.223,1105.3,1438.0,1861,4,73,3650.7
1.347,686.1,1578.0,2001,5,75,3656.9
1.468,717.6,1578.0,2001,47,74,3691.6
1.589,847.1,1578.0,2001,6,74,3726.4
1.709,847.1,1578.0,2001,6,74,3752.4
1.83,847.1,1578.0,2001,4,74,3778.3
1.95,976.6,1578.0,2001,4,74,3813.9
2.072,976.6,1578.0,2001,4,74,3852.4
2.193,976.6,1578.0,2001,4,74,3895.4
2.313,1106.1,1578.0,2001,5,74,3935.7
2.434,1106.1,1578.0,2001,4,74,3974.4
2.554,1106.1,1578.0,2001,4,74,4009.2
2.676,686.1,1578.0,2001,29,76,4021.7
2.796,717.7,1578.0,2001,24,75,4057.8
2.917,847.2,1578.0,2001,24,74,4119.4
3.039,976.7,1578.0,2001,7,74,4186.1
3.159,976.7,1578.0,2001,13,74,4238.2
3.28,1106.2,1578.0,2001,11,74,4287.8
3.4,1106.2,1578.0,2001,11,74,4324.4
3.524,1106.2,1578.0,2001,7,74,4367.7
3.645,686.2,1578.0,1982,13,76,4387.1
3.767,686.2,1578.0,1980,54,75,4405.7
3.892,847.2,1578.0,1980,54,75,4434.2
4.014,847.2,1578.0,1980,7,75,4461.0
4.136,847.2,1578.0,1980,6,75,4503.5
4.26,847.2,1578.0,1980,6,74,4536.2
4.382,976.7,1578.0,1980,7,74,4562.3
4.504,976.7,1578.0,1980,3,74,4591.9
4.627,976.7,1578.0,1980,3,74,4620.1
4.749,1106.2,1578.0,1980,3,74,4647.8
4.871,1106.2,1578.0,1980,4,74,4677.1
4.993,1106.2,1578.0,1980,4,74,4701.3
5.115,1106.2,1578.0,1980,3,75,4729.8
5.237,686.3,1578.0,1980,3,77,4739.1
5.359,717.8,1578.0,1980,45,75,4767.4
5.48,847.3,1578.0,1980,4,75,4802.2
5.6,847.3,1578.0,1980,3,75,4828.9
5.722,847.3,1578.0,1980,3,75,4860.3
5.844,976.8,1578.0,1980,4,75,4896.0
5.965,976.8,1578.0,1980,5,75,4927.2
6.086,976.8,1578.0,1980,5,74,4960.0
6.207,1106.3,1578.0,1980,3,74,4988.1
6.329,1106.3,1578.0,1980,4,75,5019.5
6.451,1106.3,1578.0,1980,4,75,5046.6
6.578,1106.3,1578.0,1980,4,75,5075.1
6.701,686.3,1578.0,1980,14,77,5083.0
6.823,717.8,1578.0,1980,33,75,5117.0
6.952,847.3,1578.0,1980,4,75,5142.7
7.073,847.3,1578.0,1980,4,75,5175.8
7.196,847.3,1578.0,1980,3,75,5208.3
7.319,976.8,1578.0,1980,4,74,5234.5
7.44,976.8,1578.0,1980,4,75,5261.3
7.562,976.8,1578.0,1980,4,75,5288.1
7.683,976.8,1578.0,1980,3,75,5319.8
7.807,1106.3,1578.0,1980,4,75,5345.1
7.928,1106.3,1578.0,1980,4,75,5372.7
8.052,1106.3,1578.0,1980,5,75,5402.4
8.174,686.4,1578.0,1980,3,75,5416.6
8.295,689.9,1578.0,1980,45,75,5448.2
8.418,847.4,1578.0,1980,45,75,5493.3
8.541,847.4,1578.0,1980,6,75,5519.5
8.663,847.4,1578.0,1980,3,75,5547.3
8.786,847.4,1578.0,1980,4,75,5559.4
8.909,976.9,1578.0,1980,4,74,5589.8
9.03,976.9,1578.0,1980,5,75,5618.7
9.153,976.9,1578.0,1980,3,75,5650.7
9.278,1106.4,1578.0,1980,3,75,5674.2
9.399,1106.4,1578.0,1980,4,75,5697.8
9.522,1106.4,1578.0,1980,4,75,5723.1
9.644,1106.4,1578.0,1980,2,75,5749.8
9.768,686.5,1578.0,1980,2,78,5761.1
9.889,718.0,1578.0,1980,45,75,5804.4
10.009,847.5,1578.0,1980,5,75,5835.6
10.13,847.5,1578.0,1980,3,75,5868.2
10.253,847.5,1578.0,1980,3,75,5905.0
10.376,977.0,1578.0,1980,5,75,5940.6
10.497,977.0,1578.0,1980,5,75,5961.5
10.618,977.0,1578.0,1980,2,75,5974.6
10.739,977.0,1578.0,1980,2,75,5988.8
10.859,977.0,1578.0,1980,3,75,5985.3
10.98,1106.5,1578.0,1980,2,75,5983.7
11.101,1106.5,1578.0,1980,2,75,5976.2
11.223,1106.5,1578.0,1980,1,75,5972.8
11.344,1106.5,1578.0,1980,2,75,5966.5
11.466,1106.5,1578.0,1980,2,75,5964.2
11.588,1106.5,1578.0,1980,2,75,5962.1
11.71,1106.5,1578.0,1980,1,75,5958.8
11.83,1106.5,1578.0,1980,2,75,5951.9
11.952,1106.5,1578.0,1980,2,75,5950.7
12.074,1106.5,1578.0,1980,2,75,5944.1
12.196,1106.5,1578.0,1980,1,75,5950.1
12.314,1106.5,1578.0,1980,3,75,5943.8
12.436,1106.5,1578.0,1980,3,75,5934.2
12.558,1106.5,1578.0,1980,2,75,5931.2
12.68,1106.5,1578.0,1980,1,75,5924.1
12.802,686.5,1578.0,1980,44,77,5918.5
12.924,686.5,1578.0,1980,44,75,5927.8
13.047,718.0,1578.0,1980,3,75,5927.9
13.166,718.0,1578.0,1980,1,75,5942.5
13.284,847.5,1578.0,1980,1,75,5986.3
13.403,847.5,1578.0,1980,5,75,6029.9
13.521,847.5,1578.0,1980,5,75,6069.0
13.64,977.0,1578.0,1980,3,75,6111.1
13.758,977.0,1578.0,1980,3,75,6152.7
13.876,977.0,1578.0,1980,5,75,6193.4
13.993,1106.5,1578.0,1980,5,75,6235.8
14.112,1106.5,1578.0,1980,5,75,6279.4
14.23,1106.5,1578.0,1980,3,75,6323.1
14.348,686.6,1578.0,1980,39,76,6337.0
14.468,718.1,1578.0,1980,11,75,6356.4
14.603,847.6,1578.0,1980,11,75,6401.5
14.721,847.6,1578.0,1980,4,75,6445.0
14.839,977.1,1578.0,1980,5,75,6488.5
14.958,977.1,1578.0,1980,5,75,6533.0
15.076,977.1,1578.0,1980,5,75,6572.5
15.194,977.1,1578.0,1980,3,75,6608.2
15.314,1106.6,1578.0,1980,5,75,6649.4
15.432,1106.6,1578.0,1980,5,75,6684.8
15.556,1106.6,1578.0,1980,4,75,6720.3
15.678,686.6,1578.0,1980,38,77,6732.1
15.801,718.2,1578.0,1980,38,75,6761.2
15.923,847.7,1578.0,1980,11,75,6783.7
16.045,847.7,1578.0,1980,4,75,6806.5
16.168,847.7,1578.0,1980,3,75,6835.6
16.29,977.2,1578.0,1980,3,75,6881.9
16.412,977.2,1578.0,1980,6,75,6936.7
16.532,1106.7,1578.0,1980,7,75,6989.9
16.653,1106.7,1578.0,1980,5,75,7050.6
16.775,686.7,1578.0,1980,5,78,7086.1
16.895,847.7,1578.0,1980,47,75,7152.5
17.014,847.7,1578.0,1980,7,75,7209.3
17.135,847.7,1578.0,1980,7,75,7246.0
17.258,977.2,1578.0,1980,4,75,7274.0
17.381,977.2,1578.0,1980,4,75,7303.8
17.503,977.2,1578.0,1980,4,75,7333.0
17.626,1106.7,1578.0,1980,4,74,7358.7
17.748,1106.7,1578.0,1980,3,75,7389.2
17.871,1106.7,1578.0,1980,4,75,7418.0
17.993,1106.7,1578.0,1980,4,75,7442.1
18.116,686.8,1578.0,1980,4,78,7448.8
18.24,718.3,1578.0,1980,43,75,7474.9
18.364,847.8,1578.0,1980,4,75,7502.4
18.485,847.8,1578.0,1980,4,75,7532.6
18.608,847.8,1578.0,1980,4,75,7568.3
18.73,977.3,1578.0,1980,3,75,7598.9
18.853,977.3,1578.0,1980,4,75,7621.1
18.975,977.3,1578.0,1980,4,75,7645.4
19.097,977.3,1578.0,1980,4,75,7670.4
19.22,1106.8,1578.0,1980,2,75,7697.2
19.343,1106.8,1578.0,1980,4,75,7720.3
19.468,1106.8,1578.0,1980,4,75,7748.2
19.592,1106.8,1578.0,1980,4,75,7770.4
19.714,686.8,1578.0,1980,3,78,7778.5
19.835,693.8,1578.0,1980,44,75,7807.1
19.958,847.8,1578.0,1980,44,75,7833.5
20.079,847.8,1578.0,1980,4,75,7863.0
20.202,847.8,1578.0,1980,3,75,7890.5
20.324,847.8,1578.0,1980,4,75,7916.0
20.446,977.3,1578.0,1980,4,75,7940.8
20.569,977.3,1578.0,1980,4,75,7966.9
20.691,977.3,1578.0,1980,3,75,7992.0
20.815,977.3,1578.0,1980,3,75,8019.9
20.937,1106.8,1578.0,1980,4,75,8048.8
21.062,1106.8,1578.0,1980,4,75,8073.9
21.184,1106.8,1578.0,1980,3,75,8104.0
21.307,686.9,1578.0,1980,3,78,8115.8
21.429,690.4,1578.0,1980,45,75,8139.2
21.552,847.9,1578.0,1980,4,75,8164.7
21.675,847.9,1578.0,1980,3,75,8193.9
21.799,847.9,1578.0,1980,3,75,8217.8
21.922,847.9,1578.0,1980,4,75,8244.6
22.045,977.4,1578.0,1980,4,75,8271.2
22.169,977.4,1578.0,1980,3,75,8299.7
22.289,977.4,1578.0,1980,3,75,8326.7
22.413,977.4,1578.0,1980,4,75,8352.8
22.536,1106.9,1578.0,1980,4,75,8383.9
22.657,1106.9,1578.0,1980,4,75,8403.8
22.779,1106.9,1578.0,1980,3,75,8415.0
22.901,1106.9,1578.0,1980,3,75,8439.2
23.02,687.0,1578.0,1980,45,78,8440.4
23.144,687.0,1578.0,1980,45,75,8453.8
23.266,718.5,1578.0,1980,2,75,8456.4
23.387,718.5,1578.0,1980,2,75,8449.4
23.509,718.5,1578.0,1980,2,75,8437.9
23.632,848.0,1578.0,1980,2,75,8428.4
23.753,848.0,1578.0,1980,0,75,8417.5
23.876,848.0,1578.0,1980,5,75,8405.9
23.999,848.0,1578.0,1980,3,75,8396.7
24.122,848.0,1578.0,1980,3,75,8388.5
24.244,848.0,1578.0,1980,0,75,8381.0
24.367,848.0,1578.0,1980,2,75,8369.5
24.49,848.0,1578.0,1980,2,75,8358.0
24.612,848.0,1578.0,1980,2,75,8354.4
24.736,848.0,1578.0,1980,2,75,8346.3
24.858,848.0,1578.0,1980,2,75,8337.9
24.981,848.0,1578.0,1980,2,75,8332.3
25.104,848.0,1578.0,1980,2,75,8323.8
25.226,848.0,1578.0,1980,0,75,8312.1
25.349,848.0,1578.0,1980,2,75,8303.2
25.471,848.0,1578.0,1980,2,75,8297.0
25.595,848.0,1578.0,1980,2,75,8286.5
25.718,848.0,1578.0,1980,0,75,8275.1
25.841,848.0,1578.0,1980,2,75,8263.5
25.964,848.0,1578.0,1980,2,75,8253.3
26.087,848.0,1578.0,1980,2,75,8246.6
26.209,848.0,1578.0,1980,1,75,8237.0
26.332,977.5,1578.0,1980,1,75,8225.5
26.453,977.5,1578.0,1980,2,75,8215.0
26.575,977.5,1578.0,1980,2,75,8202.9
26.698,977.5,1578.0,1980,0,75,8190.6
26.821,977.5,1578.0,1980,0,75,8179.4
26.943,977.5,1578.0,1980,2,75,8167.1
27.066,977.5,1578.0,1980,2,75,8156.9
27.189,977.5,1578.0,1980,0,75,8144.8
27.313,977.5,1578.0,1980,0,75,8147.1
27.434,977.5,1578.0,1980,3,75,8189.9
27.552,977.5,1578.0,1980,5,75,8233.6
27.669,1107.0,1578.0,1980,5,75,8273.3
27.788,1107.0,1578.0,1980,3,75,8313.8
27.906,1107.0,1578.0,1980,5,75,8353.1
28.024,687.0,1578.0,1980,45,78,8371.8
28.142,718.5,1578.0,1980,45,75,8406.5
28.26,848.0,1578.0,1980,3,75,8442.8
28.378,848.0,1578.0,1980,5,75,8484.2
28.496,848.0,1578.0,1980,5,75,8525.2
28.614,977.5,1578.0,1980,5,75,8563.3
28.732,977.5,1578.0,1980,3,75,8602.0
28.85,977.5,1578.0,1980,3,75,8640.8
28.968,1107.0,1578.0,1980,5,75,8680.2
29.086,1107.0,1578.0,1980,5,75,8723.7
29.204,1107.0,1578.0,1980,4,75,8765.0
29.324,1107.0,1578.0,1980,4,75,8803.4
29.441,687.1,1578.0,1980,26,77,8823.0
29.559,718.6,1578.0,1980,25,75,8861.5
