layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.943352,1.002303
0,q_proj,4,8.296875,8.315741,1.002274
0,q_proj,8,5.824219,5.837402,1.002264
0,q_proj,12,4.582031,4.592371,1.002257
0,q_proj,16,3.972656,3.981604,1.002252
0,q_proj,20,3.65625,3.664476,1.00225
0,q_proj,24,3.376953,3.384543,1.002248
0,q_proj,28,3.222656,3.229895,1.002246
0,q_proj,32,3.021484,3.028265,1.002244
0,q_proj,36,2.916016,2.922557,1.002243
0,q_proj,40,2.849609,2.856,1.002243
0,q_proj,44,2.767578,2.773782,1.002242
0,q_proj,48,2.728516,2.734631,1.002241
0,q_proj,52,2.667969,2.673947,1.002241
0,q_proj,56,2.628906,2.634796,1.00224
0,q_proj,60,2.591797,2.597602,1.00224
0,q_proj,64,2.566406,2.572154,1.00224
0,q_proj,68,2.529297,2.53496,1.002239
0,q_proj,72,2.503906,2.509512,1.002239
0,q_proj,76,2.46875,2.474276,1.002238
0,q_proj,80,2.449219,2.4547,1.002238
0,q_proj,84,2.410156,2.41555,1.002238
0,q_proj,88,2.386719,2.392059,1.002237
0,q_proj,92,2.357422,2.362695,1.002237
0,q_proj,96,2.324219,2.329417,1.002237
0,q_proj,100,2.294922,2.300054,1.002236
0,q_proj,104,2.259766,2.264818,1.002236
0,q_proj,108,2.234375,2.23937,1.002235
0,q_proj,112,2.199219,2.204134,1.002235
0,q_proj,116,2.169922,2.174771,1.002235
0,q_proj,120,2.138672,2.14345,1.002234
0,q_proj,124,2.115234,2.119959,1.002234
0,k_proj,0,4.175781,4.17986,1.000977
0,k_proj,4,2.875,2.877802,1.000975
0,k_proj,8,2.638672,2.641243,1.000974
0,k_proj,12,2.572266,2.574771,1.000974
0,k_proj,16,2.488281,2.490705,1.000974
0,k_proj,20,2.455078,2.457469,1.000974
0,k_proj,24,2.423828,2.426189,1.000974
0,k_proj,28,2.386719,2.389043,1.000974
0,k_proj,32,2.373047,2.375358,1.000974
0,k_proj,36,2.34375,2.346032,1.000974
0,k_proj,40,2.328125,2.330392,1.000974
0,k_proj,44,2.298828,2.301066,1.000974
0,k_proj,48,2.28125,2.283471,1.000974
0,k_proj,52,2.259766,2.261966,1.000974
0,k_proj,56,2.238281,2.24046,1.000973
0,k_proj,60,2.226562,2.22873,1.000973
0,k_proj,64,2.207031,2.20918,1.000973
0,k_proj,68,2.185547,2.187674,1.000973
0,k_proj,72,2.158203,2.160304,1.000973
0,k_proj,76,2.138672,2.140753,1.000973
0,k_proj,80,2.105469,2.107518,1.000973
0,k_proj,84,2.076172,2.078192,1.000973
0,k_proj,88,2.042969,2.044957,1.000973
0,k_proj,92,1.999023,2.000968,1.000973
0,k_proj,96,1.958008,1.959913,1.000973
0,k_proj,100,1.914062,1.915924,1.000973
0,k_proj,104,1.869141,1.870958,1.000973
0,k_proj,108,1.820312,1.822083,1.000972
0,k_proj,112,1.78125,1.782982,1.000972
0,k_proj,116,1.750977,1.752679,1.000972
0,k_proj,120,1.724609,1.726286,1.000972
0,k_proj,124,1.710938,1.712601,1.000972
0,v_proj,0,1.24707,1.244824,0.998199
0,v_proj,4,0.82373,0.822249,0.998202
0,v_proj,8,0.696777,0.695525,0.998203
0,v_proj,12,0.658203,0.65702,0.998203
0,v_proj,16,0.650391,0.649222,0.998203
0,v_proj,20,0.644531,0.643373,0.998203
0,v_proj,24,0.639648,0.638499,0.998203
0,v_proj,28,0.635254,0.634113,0.998203
0,v_proj,32,0.631348,0.630213,0.998203
0,v_proj,36,0.627441,0.626314,0.998204
0,v_proj,40,0.623535,0.622415,0.998204
0,v_proj,44,0.619629,0.618516,0.998204
0,v_proj,48,0.615723,0.614617,0.998204
0,v_proj,52,0.612793,0.611692,0.998204
0,v_proj,56,0.60791,0.606818,0.998204
0,v_proj,60,0.603516,0.602432,0.998204
0,v_proj,64,0.600586,0.599507,0.998204
0,v_proj,68,0.596191,0.595121,0.998204
0,v_proj,72,0.59082,0.589759,0.998204
0,v_proj,76,0.587402,0.586347,0.998204
0,v_proj,80,0.583496,0.582448,0.998204
0,v_proj,84,0.57959,0.578549,0.998204
0,v_proj,88,0.57666,0.575625,0.998204
0,v_proj,92,0.572266,0.571238,0.998204
0,v_proj,96,0.567383,0.566364,0.998204
0,v_proj,100,0.562012,0.561002,0.998204
0,v_proj,104,0.557617,0.556616,0.998204
0,v_proj,108,0.552734,0.551742,0.998204
0,v_proj,112,0.548828,0.547843,0.998204
0,v_proj,116,0.542969,0.541994,0.998205
0,v_proj,120,0.537109,0.536145,0.998205
0,v_proj,124,0.533691,0.532733,0.998205
0,o_proj,0,5.992188,6.00082,1.001441
0,o_proj,4,3.150391,3.154862,1.001419
0,o_proj,8,2.304688,2.307935,1.001409
