wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
50.76,0,0,0,18,72,3.44532,31.3532,0.001,,,,,4096.0,,29838.6,20822.5,50740.0,659.5,1603.8,12740.9,24893.3
90.28,0,1,1,20,152,2.55449,12.8648,0.0,5.49123,0.64515,5.4532,0.0,4096.0,False,11258.6,27981.1,39503.3,673.0,1623.1,12572.4,24893.3
127.44,0,1,2,20,232,2.71263,15.0688,0.0,,,,,4096.0,,12394.2,24757.0,37162.0,686.5,1637.1,12978.9,24893.3
163.69,0,2,3,21,316,2.74011,15.4886,0.001,2.43273,0.22943,2.42189,0.0,4096.0,False,6183.5,29833.5,36237.2,673.0,1653.3,13075.5,24893.3
198.92,0,2,4,22,404,2.35902,10.5805,0.001,,,,,4096.0,,4843.7,30362.0,35218.0,686.5,1643.3,12920.5,24893.3
225.7,0,3,5,22,492,2.2348,9.3446,0.0009957224306869053,2.05623,0.21015,2.04546,0.0,4096.0,False,4281.2,22298.9,26771.3,673.0,1656.4,13026.9,24893.3
268.34,0,3,6,23,584,1.8455,6.3313,0.0009957224306869053,,,,,4096.0,,8685.0,33941.3,42636.3,686.5,1646.5,12240.3,24893.3
299.73,0,4,7,24,680,2.08266,8.0258,0.0009829629131445341,0.99635,0.15568,0.98412,0.0,4096.0,False,7097.5,24066.3,31379.8,673.0,1662.6,13020.8,24893.3
332.27,0,4,8,24,776,2.37344,10.7343,0.0009829629131445341,,,,,4096.0,,4173.7,28361.3,32542.3,686.5,1649.6,12770.5,24893.3
373.24,0,5,9,24,872,2.16937,8.7528,0.0009619397662556434,0.98749,0.13078,0.9788,0.0,4096.0,False,8359.7,32394.5,40963.1,673.0,1662.6,12337.2,24893.3
402.66,0,5,10,25,972,1.83624,6.2729,0.0009619397662556434,,,,,4096.0,,7340.1,22056.9,29412.4,686.5,1652.7,12193.1,24893.3
438.36,0,6,11,25,1072,1.50863,4.5205,0.0009330127018922195,1.14337,0.14142,1.13459,0.0,4096.0,False,10665.3,24817.9,35692.3,673.0,1665.7,13020.0,24893.3
466.17,0,6,12,26,1176,1.89363,6.6435,0.0009330127018922195,,,,,4096.0,,5167.1,22570.2,27798.2,686.5,1655.8,12983.8,24893.3
500.37,0,7,13,26,1280,1.80116,6.0567,0.0008966766701456176,0.79415,0.09164,0.78884,0.0,4096.0,False,9063.8,24864.0,34195.0,673.0,1668.9,12886.7,24893.3
540.16,0,7,14,27,1388,1.91706,6.8009,0.0008966766701456176,,,,,4096.0,,13910.9,25792.9,39780.7,686.5,1659.0,13119.7,24893.3
578.9,0,8,15,27,1496,1.97153,7.1817,0.0008535533905932737,1.31735,0.09617,1.31383,0.0,4096.0,False,10147.6,28336.3,38731.6,673.0,1672.0,13047.1,24893.3
611.77,0,8,16,27,1604,2.07768,7.9859,0.0008535533905932737,,,,,4096.0,,5396.4,27399.0,32868.8,686.5,1659.0,12353.2,24893.3
645.26,0,9,17,28,1716,1.76473,5.84,0.0008043807145043603,1.02934,0.0833,1.02596,0.0,4096.0,False,8663.3,24603.1,33477.4,673.0,1675.1,12948.5,24893.3
674.37,0,9,18,29,1832,1.7986,6.0412,0.0008043807145043603,,,,,4096.0,,6194.2,22852.4,29099.6,686.5,1665.2,13008.6,24893.3
702.7,0,10,19,30,1952,1.5372,4.6516,0.00075,0.7373,0.08069,0.73287,0.0,4096.0,False,4550.7,23567.0,28323.3,673.0,1681.4,12422.7,24893.3
740.18,0,10,20,32,2080,1.52468,4.5937,0.00075,,,,,4096.0,,14492.5,22919.6,37475.1,686.5,1674.6,13190.7,24893.3
781.26,0,11,21,33,2212,1.57162,4.8144,0.000691341716182545,0.70423,0.07824,0.69987,0.0,4096.0,False,8498.6,32319.0,41068.6,673.0,1690.7,12164.6,24893.3
819.47,0,11,22,34,2348,1.12989,3.0953,0.000691341716182545,,,,,4096.0,,13501.7,24646.4,38203.9,686.5,1680.8,12923.6,24893.3
857.83,0,12,23,36,2492,1.4429,4.2329,0.0006294095225512603,0.4945,0.07358,0.489,0.0,4096.0,False,8463.3,29637.1,38354.4,673.0,1700.1,12939.4,24893.3
897.94,0,12,24,37,2640,1.87444,6.5172,0.0006294095225512603,,,,,4096.0,,5463.2,34630.5,40108.2,686.5,1690.2,13148.0,24893.3
937.55,0,13,25,39,2796,1.80942,6.1069,0.000565263096110026,0.68479,0.09249,0.67852,0.0,4096.0,False,6662.4,32708.0,39600.7,673.0,1709.5,12717.7,24893.3
972.99,0,13,26,42,2964,1.27131,3.5655,0.000565263096110026,,,,,4096.0,,9364.4,26055.1,35431.6,686.5,1705.8,12888.0,24893.3
1008.82,0,14,27,46,3148,1.51829,4.5644,0.0005,3.48931,0.08363,3.48831,0.0,4096.0,False,7077.5,28522.1,35817.4,673.0,1731.3,12715.5,24893.3
1059.35,0,14,28,51,3352,1.72222,5.5969,0.0005,,,,,4096.0,,11766.3,38722.4,50523.2,686.5,1733.9,12668.1,24893.3
1104.54,0,15,29,56,3576,1.67024,5.3134,0.00043473690388997434,0.50699,0.06595,0.50268,0.0,4096.0,False,8955.8,35992.8,45184.5,673.0,1762.6,11651.9,24893.3
1158.9,0,15,30,62,3824,1.88749,6.6028,0.00043473690388997434,,,,,4096.0,,15578.7,38737.7,54352.1,686.5,1768.3,12274.0,24893.3
1215.72,0,16,31,66,4088,1.16519,3.2065,0.0003705904774487396,0.43606,0.06744,0.43081,0.0,4096.0,False,9769.5,46810.1,56815.1,673.0,1793.8,11076.4,24893.3
1266.45,0,16,32,70,4368,1.49717,4.469,0.0003705904774487396,,,,,4096.0,,16086.4,34579.8,50719.9,686.5,1793.3,12741.8,24893.3
1316.41,0,17,33,72,4656,1.61278,5.0167,0.0003086582838174551,0.45754,0.05539,0.45417,0.0,4096.0,False,9165.4,40554.1,49948.3,673.0,1812.6,12280.1,24893.3
1358.73,0,17,34,81,4980,1.30779,3.698,0.0003086582838174551,,,,,4096.0,,9796.0,32478.0,42323.1,686.5,1827.6,12314.6,24893.3
1410.22,0,18,35,82,5308,1.04292,2.8375,0.0002500000000000001,0.35531,0.04941,0.35186,0.0,4096.0,False,11243.2,40025.6,51476.2,673.0,1843.8,12486.9,24893.3
1460.52,0,18,36,84,5644,1.42139,4.1429,0.0002500000000000001,,,,,4096.0,,11342.9,38914.2,50296.0,686.5,1837.0,12406.2,24893.3
1508.44,0,19,37,90,6004,1.42352,4.1517,0.00019561928549563967,0.38886,0.06062,0.3841,0.0,4096.0,False,12573.9,35115.1,47913.4,673.0,1868.8,12184.6,24893.3
1570.88,0,19,38,95,6384,1.20116,3.324,0.00019561928549563967,,,,,4096.0,,16796.6,45598.2,62438.7,686.5,1871.4,11978.3,24893.3
1630.47,0,20,39,100,6784,1.56214,4.769,0.00014644660940672628,0.3539,0.04037,0.35159,0.0,4096.0,False,15185.4,44175.0,59581.9,673.0,1900.1,12408.9,24893.3
1693.2,0,20,40,103,7196,1.42106,4.1415,0.00014644660940672628,,,,,4096.0,,15469.5,47212.5,62730.7,686.5,1896.4,11985.4,24893.3
1751.14,0,21,41,108,7628,1.38721,4.0037,0.00010332332985438247,0.36002,0.04206,0.35756,0.0,4096.0,False,14174.7,43530.9,57929.9,673.0,1925.1,12784.1,24893.3
1805.93,0,21,42,110,8068,1.50361,4.4979,0.00010332332985438247,,,,,4096.0,,11986.5,42747.3,54786.5,686.5,1918.3,11384.0,24893.3
1870.22,0,22,43,116,8532,1.22543,3.4056,6.698729810778065e-05,0.30905,0.04289,0.30606,0.0,4096.0,False,17869.8,46159.1,64282.1,673.0,1950.1,12473.1,24893.3
1932.26,0,22,44,127,9040,1.52023,4.5733,6.698729810778065e-05,,,,,4096.0,,13105.4,48889.8,62040.4,686.5,1971.4,13299.4,24893.3
2017.2,0,23,45,142,9608,1.68075,5.3696,3.806023374435663e-05,0.27818,0.04482,0.27454,0.0,4096.0,False,24243.4,60454.3,84929.1,673.0,2031.4,11478.7,24893.3
2103.46,0,23,46,164,10264,1.68844,5.411,3.806023374435663e-05,,,,,4096.0,,19786.3,66398.6,86254.8,686.5,2087.1,11536.3,24893.3
2209.96,0,24,47,204,11080,1.34472,3.8371,1.70370868554659e-05,0.29013,0.04027,0.28732,0.0,4096.0,False,25054.8,81185.1,106495.5,673.0,2225.3,11457.4,24893.3
2309.69,0,24,48,236,12024,1.69612,5.4527,1.70370868554659e-05,,,,,4096.0,,28787.8,70807.1,99723.4,686.5,2312.3,11701.0,24893.3
2417.52,0,25,49,256,13048,1.2859,3.6179,4.277569313094809e-06,0.27555,0.03224,0.27366,0.0,4096.0,False,23356.4,84158.0,107826.4,673.0,2388.0,11818.2,24893.3
