t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,1301.1,1310.0,1645,4,72,3402.2
0.124,671.3,1310.0,1645,1,72,3432.1
0.244,832.3,1310.0,1645,1,72,3474.5
0.361,832.3,1310.0,1645,5,72,3514.7
0.479,832.3,1310.0,1645,5,72,3554.7
0.598,832.3,1310.0,1645,5,72,3594.5
0.716,961.8,1310.0,1645,4,72,3634.2
0.834,961.8,1310.0,1645,4,72,3671.8
0.953,961.8,1310.0,1645,5,72,3710.3
1.071,1091.3,1450.0,1785,5,72,3749.6
1.19,1091.3,1450.0,1785,4,72,3782.9
1.309,1091.3,1450.0,1785,4,72,3822.6
1.427,1097.7,1450.0,1905,4,73,3855.4
1.546,672.3,1570.0,1905,26,74,3867.7
1.663,703.8,1570.0,1905,41,72,3853.7
1.783,833.3,1570.0,1905,4,72,3861.1
1.9,833.3,1570.0,1905,4,72,3900.1
2.018,833.3,1570.0,1905,5,72,3940.1
2.136,962.8,1570.0,1905,4,72,3980.6
2.254,962.8,1570.0,1905,4,72,3904.5
2.373,962.8,1570.0,1905,4,72,3932.0
2.491,1092.3,1570.0,1905,5,72,3970.5
2.609,1092.3,1570.0,1905,5,72,4008.9
2.727,1092.3,1570.0,1905,5,72,4049.0
2.845,1092.3,1570.0,1905,3,72,4038.2
2.963,672.6,1570.0,1905,57,74,4046.0
3.081,704.1,1570.0,1905,57,73,4082.3
3.199,833.6,1570.0,1905,9,72,4118.7
3.317,833.6,1570.0,1905,3,72,4155.3
3.435,833.6,1570.0,1905,3,72,4192.2
3.554,833.6,1570.0,1905,4,72,4230.2
3.671,963.1,1570.0,1905,5,72,4268.4
3.79,963.1,1570.0,1905,3,72,4306.0
3.908,963.1,1570.0,1905,3,72,4350.1
4.026,1092.6,1570.0,1905,5,72,4389.8
4.145,1092.6,1570.0,1905,5,72,4427.6
4.263,1092.6,1570.0,1905,5,72,4467.7
4.381,672.8,1570.0,1905,3,74,4487.5
4.499,676.3,1570.0,1905,57,73,4517.3
4.616,833.8,1570.0,1905,57,73,4558.3
4.734,833.8,1570.0,1905,5,73,4599.2
4.852,833.8,1570.0,1905,4,73,4645.5
4.97,963.3,1570.0,1905,4,73,4662.6
5.091,963.3,1570.0,1905,4,73,4668.4
5.211,963.3,1570.0,1905,2,73,4689.8
5.332,963.3,1570.0,1905,3,73,4708.7
5.456,963.3,1570.0,1905,4,73,4727.1
5.579,1092.8,1570.0,1905,4,73,4744.8
5.701,1092.8,1570.0,1905,4,73,4769.0
5.825,1092.8,1570.0,1905,2,73,4792.2
5.947,1092.8,1570.0,1905,2,73,4817.1
6.07,673.1,1570.0,1905,4,76,4826.9
6.189,704.6,1570.0,1905,52,73,4850.3
6.313,834.1,1570.0,1905,3,73,4875.7
6.435,834.1,1570.0,1905,3,73,4905.0
6.556,834.1,1570.0,1905,4,73,4929.8
6.678,834.1,1570.0,1905,4,73,4954.4
6.8,963.6,1570.0,1905,3,73,4983.3
6.922,963.6,1570.0,1905,3,73,5008.5
7.044,963.6,1570.0,1905,4,73,5031.4
7.166,963.6,1570.0,1905,4,73,5056.8
7.288,1093.1,1570.0,1905,4,73,5082.1
7.407,1093.1,1570.0,1905,2,73,5108.0
7.529,1093.1,1570.0,1905,4,73,5132.7
7.651,1093.1,1570.0,1905,4,73,5158.1
7.772,673.3,1570.0,1905,4,76,5161.7
7.894,704.8,1570.0,1905,51,73,5189.6
8.016,834.3,1570.0,1905,4,73,5223.8
8.134,834.3,1570.0,1905,4,73,5253.8
8.255,834.3,1570.0,1905,4,73,5280.0
8.376,963.8,1570.0,1905,3,73,5310.9
8.498,963.8,1570.0,1905,4,73,5342.5
8.619,963.8,1570.0,1905,4,73,5372.4
8.741,963.8,1570.0,1905,4,73,5403.3
8.862,1093.3,1570.0,1905,3,73,5435.6
8.985,1093.3,1570.0,1905,4,73,5466.2
9.106,1093.3,1570.0,1905,4,73,5495.8
9.227,673.6,1570.0,1905,4,76,5505.0
9.347,705.1,1570.0,1905,52,74,5542.1
9.469,834.6,1570.0,1905,4,73,5570.2
9.592,834.6,1570.0,1905,4,73,5595.7
9.715,834.6,1570.0,1905,4,73,5618.4
9.837,834.6,1570.0,1905,3,73,5647.2
9.96,964.1,1570.0,1905,3,73,5676.4
10.082,964.1,1570.0,1905,4,73,5701.5
10.207,964.1,1570.0,1905,4,73,5730.1
10.33,964.1,1570.0,1905,1,73,5736.2
10.453,1093.6,1570.0,1905,1,73,5759.4
10.575,1093.6,1570.0,1905,4,73,5783.9
10.697,1093.6,1570.0,1905,4,73,5810.3
10.818,1093.6,1570.0,1905,2,73,5835.0
10.94,673.8,1570.0,1905,2,77,5842.3
11.059,705.3,1570.0,1905,52,74,5866.1
11.18,834.8,1570.0,1905,4,73,5892.7
11.302,834.8,1570.0,1905,4,74,5920.7
11.424,834.8,1570.0,1905,3,73,5946.2
11.548,834.8,1570.0,1905,4,73,5972.3
11.67,964.3,1570.0,1905,4,73,5997.5
11.792,964.3,1570.0,1905,4,73,6028.3
11.914,964.3,1570.0,1905,3,73,6061.1
12.038,1093.8,1570.0,1905,4,73,6090.7
12.159,1093.8,1570.0,1905,4,73,6119.1
12.283,1093.8,1570.0,1905,4,73,6155.8
12.403,1093.8,1570.0,1905,3,73,6182.6
12.525,674.1,1570.0,1905,49,76,6190.6
12.645,705.6,1570.0,1905,49,74,6214.4
12.768,835.1,1570.0,1905,7,74,6244.4
12.888,835.1,1570.0,1905,3,73,6286.3
13.01,835.1,1570.0,1905,5,73,6326.6
13.131,964.6,1570.0,1905,5,73,6370.7
13.252,964.6,1570.0,1905,5,73,6407.0
13.371,964.6,1570.0,1905,3,74,6445.0
13.493,1094.1,1570.0,1905,5,74,6478.9
13.615,1094.1,1570.0,1905,5,73,6516.7
13.736,1094.1,1570.0,1905,5,73,6556.0
13.854,674.3,1570.0,1905,51,76,6569.2
13.974,705.8,1570.0,1905,51,74,6603.5
