layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.832218,0.997448
0,q_proj,4,8.296875,8.276604,0.997557
0,q_proj,8,5.824219,5.810206,0.997594
0,q_proj,12,4.582031,4.571123,0.997619
0,q_proj,16,3.972656,3.963258,0.997634
0,q_proj,20,3.65625,3.647632,0.997643
0,q_proj,24,3.376953,3.369022,0.997651
0,q_proj,28,3.222656,3.215103,0.997656
0,q_proj,32,3.021484,3.014423,0.997663
0,q_proj,36,2.916016,2.909211,0.997667
0,q_proj,40,2.849609,2.842967,0.997669
0,q_proj,44,2.767578,2.761135,0.997672
0,q_proj,48,2.728516,2.722168,0.997673
0,q_proj,52,2.667969,2.661768,0.997676
0,q_proj,56,2.628906,2.6228,0.997677
0,q_proj,60,2.591797,2.585781,0.997679
0,q_proj,64,2.566406,2.560452,0.99768
0,q_proj,68,2.529297,2.523432,0.997681
0,q_proj,72,2.503906,2.498103,0.997682
0,q_proj,76,2.46875,2.463032,0.997684
0,q_proj,80,2.449219,2.443548,0.997685
0,q_proj,84,2.410156,2.40458,0.997686
0,q_proj,88,2.386719,2.381199,0.997687
0,q_proj,92,2.357422,2.351973,0.997689
0,q_proj,96,2.324219,2.31885,0.99769
0,q_proj,100,2.294922,2.289624,0.997691
0,q_proj,104,2.259766,2.254552,0.997693
0,q_proj,108,2.234375,2.229223,0.997694
0,q_proj,112,2.199219,2.194151,0.997696
0,q_proj,116,2.169922,2.164925,0.997697
0,q_proj,120,2.138672,2.13375,0.997699
0,q_proj,124,2.115234,2.110369,0.9977
0,k_proj,0,4.175781,4.175466,0.999925
0,k_proj,4,2.875,2.874575,0.999852
0,k_proj,8,2.638672,2.638238,0.999835
0,k_proj,12,2.572266,2.57183,0.999831
0,k_proj,16,2.488281,2.487844,0.999824
0,k_proj,20,2.455078,2.45464,0.999822
0,k_proj,24,2.423828,2.423389,0.999819
0,k_proj,28,2.386719,2.38628,0.999816
0,k_proj,32,2.373047,2.372608,0.999815
0,k_proj,36,2.34375,2.343311,0.999813
0,k_proj,40,2.328125,2.327686,0.999811
0,k_proj,44,2.298828,2.298388,0.999809
0,k_proj,48,2.28125,2.28081,0.999807
0,k_proj,52,2.259766,2.259326,0.999805
0,k_proj,56,2.238281,2.237842,0.999804
0,k_proj,60,2.226562,2.226123,0.999803
0,k_proj,64,2.207031,2.206592,0.999801
0,k_proj,68,2.185547,2.185107,0.999799
0,k_proj,72,2.158203,2.157764,0.999797
0,k_proj,76,2.138672,2.138233,0.999795
0,k_proj,80,2.105469,2.10503,0.999792
0,k_proj,84,2.076172,2.075734,0.999789
0,k_proj,88,2.042969,2.042531,0.999786
0,k_proj,92,1.999023,1.998587,0.999782
0,k_proj,96,1.958008,1.957572,0.999778
0,k_proj,100,1.914062,1.913629,0.999773
0,k_proj,104,1.869141,1.868708,0.999769
0,k_proj,108,1.820312,1.819882,0.999764
0,k_proj,112,1.78125,1.780821,0.999759
0,k_proj,116,1.750977,1.750549,0.999756
0,k_proj,120,1.724609,1.724184,0.999753
0,k_proj,124,1.710938,1.710513,0.999752
0,v_proj,0,1.24707,1.243655,0.997261
0,v_proj,4,0.82373,0.821572,0.997379
0,v_proj,8,0.696777,0.694985,0.997427
0,v_proj,12,0.658203,0.65652,0.997443
0,v_proj,16,0.650391,0.64873,0.997447
0,v_proj,20,0.644531,0.642887,0.997449
0,v_proj,24,0.639648,0.638018,0.997452
0,v_proj,28,0.635254,0.633636,0.997454
0,v_proj,32,0.631348,0.629741,0.997455
0,v_proj,36,0.627441,0.625846,0.997457
0,v_proj,40,0.623535,0.621951,0.997459
0,v_proj,44,0.619629,0.618055,0.997461
0,v_proj,48,0.615723,0.61416,0.997462
0,v_proj,52,0.612793,0.611239,0.997464
0,v_proj,56,0.60791,0.60637,0.997466
0,v_proj,60,0.603516,0.601988,0.997468
0,v_proj,64,0.600586,0.599066,0.99747
0,v_proj,68,0.596191,0.594684,0.997472
0,v_proj,72,0.59082,0.589328,0.997474
0,v_proj,76,0.587402,0.58592,0.997476
0,v_proj,80,0.583496,0.582024,0.997478
0,v_proj,84,0.57959,0.578129,0.99748
0,v_proj,88,0.57666,0.575208,0.997481
0,v_proj,92,0.572266,0.570825,0.997483
0,v_proj,96,0.567383,0.565956,0.997486
0,v_proj,100,0.562012,0.5606,0.997489
0,v_proj,104,0.557617,0.556218,0.997491
0,v_proj,108,0.552734,0.551349,0.997493
0,v_proj,112,0.548828,0.547454,0.997495
0,v_proj,116,0.542969,0.54161,0.997498
0,v_proj,120,0.537109,0.535767,0.997502
0,v_proj,124,0.533691,0.532359,0.997503
0,o_proj,0,5.992188,5.960797,0.994761
0,o_proj,4,3.150391,3.134604,0.994989
0,o_proj,8,2.304688,2.293391,0.995099
0,o_proj,12,1.967773,1.958237,0.995154
0,o_proj,16,1.761719,1.753249,0.995192
0,o_proj,20,1.685547,1.677469,0.995208
0,o_proj,24,1.599609,1.591973,0.995226
0,o_proj,28,1.535156,1.527849,0.99524
0,o_proj,32,1.500977,1.493844,0.995248
0,o_proj,36,1.467773,1.46081,0.995256
0,o_proj,40,1.444336,1.437492,0.995261
0,o_proj,44,1.419922,1.413202,0.995267
0,o_proj,48,1.404297,1.397656,0.995271
0,o_proj,52,1.379883,1.373366,0.995277
0,o_proj,56,1.368164,1.361706,0.99528
0,o_proj,60,1.348633,1.342274,0.995285
0,o_proj,64,1.338867,1.332558,0.995288
0,o_proj,68,1.326172,1.319927,0.995291
0,o_proj,72,1.314453,1.308267,0.995294
0,o_proj,76,1.306641,1.300494,0.995296
0,o_proj,80,1.295898,1.289806,0.995299
0,o_proj,84,1.286133,1.28009,0.995301
0,o_proj,88,1.276367,1.270373,0.995304
0,o_proj,92,1.266602,1.260657,0.995307
0,o_proj,96,1.259766,1.253855,0.995309
0,o_proj,100,1.250977,1.245111,0.995311
0,o_proj,104,1.244141,1.238309,0.995313
0,o_proj,108,1.236328,1.230536,0.995315
0,o_proj,112,1.225586,1.219848,0.995318
0,o_proj,116,1.21875,1.213046,0.99532
0,o_proj,120,1.208008,1.202358,0.995323
0,o_proj,124,1.200195,1.194585,0.995325
1,q_proj,0,10.46875,10.438471,0.997108
1,q_proj,4,6.605469,6.586648,0.997151
1,q_proj,8,5.5,5.484422,0.997168
1,q_proj,12,4.859375,4.845667,0.997179
1,q_proj,16,4.640625,4.627554,0.997183
1,q_proj,20,4.285156,4.273118,0.997191
1,q_proj,24,4.042969,4.031632,0.997196
1,q_proj,28,3.804688,3.794041,0.997202
1,q_proj,32,3.712891,3.702509,0.997204
1,q_proj,36,3.558594,3.548657,0.997208
1,q_proj,40,3.449219,3.439598,0.997211
1,q_proj,44,3.361328,3.35196,0.997213
1,q_proj,48,3.257812,3.248742,0.997216
1,q_proj,52,3.162109,3.153314,0.997219
1,q_proj,56,3.085938,3.077361,0.997221
1,q_proj,60,3.0,2.99167,0.997223
1,q_proj,64,2.925781,2.917664,0.997226
1,q_proj,68,2.863281,2.855343,0.997228
1,q_proj,72,2.816406,2.808602,0.997229
1,q_proj,76,2.744141,2.736543,0.997231
1,q_proj,80,2.6875,2.680065,0.997233
1,q_proj,84,2.632812,2.625533,0.997235
1,q_proj,88,2.574219,2.567107,0.997237
1,q_proj,92,2.523438,2.51647,0.997239
1,q_proj,96,2.476562,2.469729,0.997241
1,q_proj,100,2.425781,2.419093,0.997243
1,q_proj,104,2.382812,2.376246,0.997244
1,q_proj,108,2.316406,2.310029,0.997247
1,q_proj,112,2.275391,2.26913,0.997248
1,q_proj,116,2.21875,2.21265,0.997251
1,q_proj,120,2.167969,2.162013,0.997253
1,q_proj,124,2.134766,2.128904,0.997254
1,k_proj,0,4.707031,4.722784,1.003347
1,k_proj,4,3.84375,3.856488,1.003314
1,k_proj,8,3.541016,3.552703,1.003301
1,k_proj,12,3.230469,3.241084,1.003286
1,k_proj,16,3.083984,3.094095,1.003278
1,k_proj,20,2.882812,2.892232,1.003267
1,k_proj,24,2.794922,2.80404,1.003262
1,k_proj,28,2.685547,2.694291,1.003256
1,k_proj,32,2.550781,2.559066,1.003248
1,k_proj,36,2.494141,2.502232,1.003244
1,k_proj,40,2.410156,2.417962,1.003239
1,k_proj,44,2.300781,2.308215,1.003231
1,k_proj,48,2.210938,2.218067,1.003225
1,k_proj,52,2.164062,2.171034,1.003221
1,k_proj,56,2.121094,2.12792,1.003218
1,k_proj,60,2.064453,2.071088,1.003214
1,k_proj,64,2.0,2.006417,1.003209
1,k_proj,68,1.941406,1.947626,1.003204
1,k_proj,72,1.889648,1.895694,1.0032
1,k_proj,76,1.852539,1.858461,1.003196
1,k_proj,80,1.813477,1.819267,1.003193
1,k_proj,84,1.767578,1.773215,1.003189
1,k_proj,88,1.724609,1.730102,1.003185
1,k_proj,92,1.68457,1.689929,1.003181
1,k_proj,96,1.658203,1.663474,1.003179
1,k_proj,100,1.615234,1.620362,1.003174
1,k_proj,104,1.578125,1.583129,1.003171
1,k_proj,108,1.53418,1.539037,1.003166
1,k_proj,112,1.478516,1.483188,1.00316
1,k_proj,116,1.442383,1.446935,1.003156
1,k_proj,120,1.40918,1.413622,1.003153
1,k_proj,124,1.376953,1.381289,1.003149
1,v_proj,0,1.456055,1.455447,0.999583
1,v_proj,4,1.200195,1.199685,0.999575
1,v_proj,8,1.166016,1.165518,0.999573
1,v_proj,12,1.147461,1.146971,0.999573
1,v_proj,16,1.130859,1.130376,0.999572
1,v_proj,20,1.120117,1.119638,0.999572
1,v_proj,24,1.107422,1.106947,0.999571
1,v_proj,28,1.09668,1.096209,0.999571
1,v_proj,32,1.082031,1.081566,0.99957
1,v_proj,36,1.072266,1.071805,0.99957
1,v_proj,40,1.05957,1.059114,0.999569
1,v_proj,44,1.051758,1.051305,0.999569
1,v_proj,48,1.041016,1.040567,0.999569
1,v_proj,52,1.032227,1.031781,0.999568
1,v_proj,56,1.023438,1.022995,0.999568
1,v_proj,60,1.014648,1.01421,0.999568
