wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
46.65,0,0,0,18,72,3.44403,31.3128,0.001,,,,,4096.0,,24432.3,22133.6,46622.4,634.9,1582.7,13027.7,24893.3
85.48,0,1,1,20,152,2.55398,12.8581,0.0,0.64588,0.64588,0.0,0.0,4096.0,False,9437.7,29100.3,38814.8,636.2,1589.2,13189.5,24893.3
120.23,0,1,2,20,232,4.12117,61.6312,0.0,,,,,4096.0,,4447.3,30282.1,34753.1,637.4,1590.5,13044.3,24893.3
152.06,0,2,3,21,316,3.9619,52.5573,0.001,0.69593,0.69593,0.0,0.0,4096.0,False,6049.8,25580.2,31820.4,636.2,1594.3,13045.8,24893.3
194.29,0,2,4,22,404,3.0797,21.7519,0.001,,,,,4096.0,,4021.7,38183.8,42215.0,637.4,1595.7,12209.5,24893.3
225.32,0,3,5,22,492,3.3378,28.157,0.0009957224306869053,0.79891,0.79891,0.0,0.0,4096.0,False,8420.3,22407.1,31024.9,636.2,1596.9,13129.3,24893.3
259.19,0,3,6,23,584,2.67993,14.5841,0.0009957224306869053,,,,,4096.0,,6799.6,27051.1,33861.8,637.4,1598.4,12997.8,24893.3
289.4,0,4,7,24,680,2.96254,19.347,0.0009829629131445341,0.55819,0.55819,0.0,0.0,4096.0,False,3674.4,26332.6,30206.3,636.2,1602.2,12129.1,24893.3
332.97,0,4,8,24,776,3.81503,45.3781,0.0009829629131445341,,,,,4096.0,,18250.9,25246.2,43566.0,637.4,1601.0,13372.9,24893.3
368.52,0,5,9,24,872,3.2126,24.8437,0.0009619397662556434,0.61908,0.61908,0.0,0.0,4096.0,False,7511.5,27821.1,35542.5,636.2,1602.2,13083.7,24893.3
402.41,0,5,10,25,972,2.73711,15.4423,0.0009619397662556434,,,,,4096.0,,4392.1,29477.4,33877.9,637.4,1603.7,13399.3,24893.3
445.29,0,6,11,25,1072,2.51269,12.3381,0.0009330127018922195,0.55164,0.55164,0.0,0.0,4096.0,False,10713.4,31949.7,42870.5,636.2,1604.9,12062.3,24893.3
478.94,0,6,12,26,1176,3.21731,24.9608,0.0009330127018922195,,,,,4096.0,,10308.5,23255.0,33641.4,637.4,1606.3,12513.5,24893.3
520.11,0,7,13,26,1280,2.70762,14.9935,0.0008966766701456176,0.51769,0.51769,0.0,0.0,4096.0,False,14696.5,26196.6,41157.0,636.2,1607.5,12854.3,24893.3
560.86,0,7,14,27,1388,2.94016,18.9188,0.0008966766701456176,,,,,4096.0,,8381.3,32288.5,40743.7,637.4,1609.0,12535.5,24893.3
596.71,0,8,15,27,1496,3.19435,24.3942,0.0008535533905932737,0.45554,0.45554,0.0,0.0,4096.0,False,8959.1,26615.9,35845.5,636.2,1610.2,12301.3,24893.3
626.07,0,8,16,27,1604,3.06385,21.4098,0.0008535533905932737,,,,,4096.0,,8513.9,20774.2,29354.5,637.4,1609.0,12470.2,24893.3
660.23,0,9,17,28,1716,2.79128,16.3018,0.0008043807145043603,0.57286,0.57286,0.0,0.0,4096.0,False,11994.2,21883.2,34150.8,636.2,1612.8,12442.5,24893.3
697.66,0,9,18,29,1832,2.98269,19.7409,0.0008043807145043603,,,,,4096.0,,9610.2,27735.7,37424.4,637.4,1614.3,12378.0,24893.3
731.19,0,10,19,30,1952,2.52433,12.4825,0.00075,0.40924,0.40924,0.0,0.0,4096.0,False,10634.6,22644.6,33510.6,636.2,1618.1,11399.4,24893.3
769.45,0,10,20,32,2080,2.2572,9.5563,0.00075,,,,,4096.0,,16673.1,21511.5,38258.8,637.4,1622.2,12473.1,24893.3
806.54,0,11,21,33,2212,2.3633,10.6259,0.000691341716182545,0.39091,0.39091,0.0,0.0,4096.0,False,14795.0,22010.2,37079.0,636.2,1626.0,12649.8,24893.3
848.5,0,11,22,34,2348,2.37697,10.7722,0.000691341716182545,,,,,4096.0,,18577.9,23345.9,41951.3,637.4,1627.5,12873.9,24893.3
896.63,0,12,23,36,2492,2.56842,13.0452,0.0006294095225512603,0.54242,0.54242,0.0,0.0,4096.0,False,13386.1,34491.4,48118.0,636.2,1634.0,12143.2,24893.3
935.26,0,12,24,37,2640,2.77233,15.9958,0.0006294095225512603,,,,,4096.0,,11153.3,27452.2,38627.8,637.4,1635.4,12978.7,24893.3
976.97,0,13,25,39,2796,2.81335,16.6657,0.000565263096110026,0.35761,0.35761,0.0,0.0,4096.0,False,7836.1,33609.9,41694.6,636.2,1641.9,12901.5,24893.3
1012.21,0,13,26,42,2964,1.94655,7.0045,0.000565263096110026,,,,,4096.0,,7856.6,27354.2,35239.1,637.4,1648.6,12924.7,24893.3
1063.33,0,14,27,46,3148,2.28303,9.8063,0.0005,0.37337,0.37337,0.0,0.0,4096.0,False,10167.8,40697.7,51107.5,636.2,1660.4,12182.0,24893.3
1115.57,0,14,28,51,3352,2.72918,15.3203,0.0005,,,,,4096.0,,12107.9,40092.7,52233.4,637.4,1672.4,12877.5,24893.3
1161.9,0,15,29,56,3576,2.32753,10.2526,0.00043473690388997434,0.31479,0.31479,0.0,0.0,4096.0,False,9857.1,36216.2,46313.8,636.2,1686.9,11900.2,24893.3
1210.64,0,15,30,62,3824,2.52298,12.4657,0.00043473690388997434,,,,,4096.0,,11886.2,36838.1,48743.7,637.4,1701.5,12785.8,24893.3
1258.53,0,16,31,66,4088,1.63279,5.1181,0.0003705904774487396,0.23672,0.23672,0.0,0.0,4096.0,False,10048.8,37623.6,47877.6,636.2,1713.3,12463.0,24893.3
1299.16,0,16,32,70,4368,2.04376,7.7196,0.0003705904774487396,,,,,4096.0,,10013.5,30579.9,40627.9,637.4,1722.7,12551.8,24893.3
1341.45,0,17,33,72,4656,2.12096,8.3391,0.0003086582838174551,0.21701,0.21701,0.0,0.0,4096.0,False,10357.7,31709.3,42281.3,636.2,1729.2,12450.7,24893.3
1393.19,0,17,34,81,4980,1.75876,5.8052,0.0003086582838174551,,,,,4096.0,,13980.5,37704.8,51732.7,637.4,1751.8,12777.1,24893.3
