t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.003,1275.6,1306.0,1651,3,72,2483.4
0.136,659.0,1306.0,1651,3,72,2514.1
0.254,820.0,1306.0,1651,3,72,2558.9
0.372,820.0,1306.0,1651,4,72,2603.5
0.49,820.0,1306.0,1651,5,72,2646.5
0.609,949.5,1306.0,1651,5,72,2690.1
0.727,949.5,1306.0,1651,5,72,2732.4
0.845,949.5,1306.0,1651,3,72,2770.1
0.963,949.5,1306.0,1791,3,72,2808.3
1.081,1079.0,1446.0,1791,5,72,2846.1
1.198,1079.0,1446.0,1791,5,72,2884.1
1.317,1079.0,1446.0,1791,3,72,2923.3
1.435,659.8,1566.0,1911,3,73,2938.0
1.553,666.8,1566.0,1911,53,72,2972.0
1.672,820.8,1566.0,1911,4,72,3007.1
1.79,820.8,1566.0,1911,4,72,3043.6
1.908,820.8,1566.0,1911,3,72,3081.9
2.026,820.8,1566.0,1911,4,72,3119.6
2.144,950.3,1566.0,1911,4,72,3157.0
2.261,950.3,1566.0,1911,5,72,3195.0
2.38,950.3,1566.0,1911,3,72,3232.9
2.498,1079.8,1566.0,1911,5,72,3275.2
2.616,1079.8,1566.0,1911,5,72,3318.5
2.734,1079.8,1566.0,1911,5,72,3357.4
2.852,659.8,1566.0,1911,12,72,3382.4
2.97,663.3,1566.0,1911,12,72,3410.8
3.088,820.8,1566.0,1911,40,72,3415.8
3.206,820.8,1566.0,1911,5,72,3452.6
3.324,820.8,1566.0,1911,3,72,3488.3
3.442,820.8,1566.0,1911,3,72,3525.1
3.56,950.3,1566.0,1911,4,72,3561.4
3.679,950.3,1566.0,1911,4,72,3596.8
3.797,950.3,1566.0,1911,4,72,3592.6
3.915,1079.8,1566.0,1911,4,71,3632.7
4.033,1079.8,1566.0,1911,5,72,3672.8
4.15,1079.8,1566.0,1911,5,71,3716.6
4.268,659.9,1566.0,1911,5,72,3746.7
4.386,659.9,1566.0,1911,47,72,3773.6
4.505,820.9,1566.0,1911,5,72,3813.6
4.622,820.9,1566.0,1911,5,72,3851.2
4.74,820.9,1566.0,1911,5,72,3891.1
4.858,820.9,1566.0,1911,3,72,3933.1
4.976,950.4,1566.0,1911,3,72,3974.7
5.094,950.4,1566.0,1911,5,72,4010.1
5.213,950.4,1566.0,1911,4,72,4050.8
5.331,1079.9,1566.0,1911,4,72,4087.4
5.448,1079.9,1566.0,1911,3,72,4132.2
5.566,1079.9,1566.0,1911,5,72,4170.1
5.684,659.9,1566.0,1911,28,75,4191.3
5.801,691.4,1566.0,1911,28,73,4232.2
5.919,820.9,1566.0,1911,21,72,4267.2
6.037,820.9,1566.0,1911,5,72,4311.8
6.155,820.9,1566.0,1911,5,72,4354.3
6.273,950.4,1566.0,1911,5,72,4398.7
6.39,950.4,1566.0,1911,4,72,4389.7
6.508,950.4,1566.0,1911,5,72,4434.8
6.626,1079.9,1566.0,1911,5,72,4477.2
6.744,1079.9,1566.0,1911,5,72,4524.7
6.861,1079.9,1566.0,1911,4,72,4567.1
6.979,659.9,1566.0,1911,4,75,4584.7
7.097,691.4,1566.0,1911,44,72,4630.4
7.214,820.9,1566.0,1911,5,72,4683.3
7.332,820.9,1566.0,1911,5,72,4741.8
7.449,950.4,1566.0,1911,5,72,4792.7
7.568,950.4,1566.0,1911,6,72,4849.3
7.685,950.4,1566.0,1911,6,72,4900.4
7.803,1079.9,1566.0,1911,6,72,4943.7
7.921,1079.9,1566.0,1911,4,72,4999.7
8.039,660.0,1566.0,1911,13,75,5028.8
8.156,691.5,1566.0,1911,13,73,5083.8
8.274,821.0,1566.0,1911,38,72,5131.5
8.392,821.0,1566.0,1911,4,72,5173.8
8.509,950.5,1566.0,1911,6,72,5230.0
8.627,950.5,1566.0,1911,6,72,5285.2
8.744,950.5,1566.0,1911,6,72,5310.8
8.864,1080.0,1566.0,1911,4,72,5348.0
8.982,1080.0,1566.0,1911,4,72,5382.4
9.1,1080.0,1566.0,1911,5,72,5422.2
9.217,660.0,1566.0,1911,42,74,5444.1
9.335,691.5,1566.0,1911,42,72,5486.9
9.453,821.0,1566.0,1911,7,72,5525.4
9.57,821.0,1566.0,1911,5,72,5568.8
9.689,821.0,1566.0,1911,5,72,5608.5
9.806,950.5,1566.0,1911,5,72,5648.3
9.924,950.5,1566.0,1911,3,72,5690.7
10.043,950.5,1566.0,1911,5,72,5734.2
10.161,1080.0,1566.0,1911,5,72,5775.7
10.28,1080.0,1566.0,1911,5,72,5816.4
10.398,1080.0,1566.0,1911,3,72,5857.5
10.517,660.0,1566.0,1911,45,75,5874.5
10.635,691.5,1566.0,1911,45,72,5921.1
10.752,821.0,1566.0,1911,5,72,5966.4
10.87,821.0,1566.0,1911,3,72,5999.8
10.991,821.0,1566.0,1911,3,72,6030.6
11.11,950.5,1566.0,1911,4,72,6065.7
11.231,950.5,1566.0,1911,4,72,6092.6
11.353,950.5,1566.0,1911,4,72,6146.1
11.473,1080.0,1566.0,1911,4,72,6193.8
11.595,1080.0,1566.0,1911,6,72,6249.8
11.716,660.1,1566.0,1911,37,75,6266.4
11.836,821.1,1566.0,1911,37,72,6341.3
11.955,821.1,1566.0,1911,14,72,6396.5
12.076,950.6,1566.0,1911,5,72,6437.8
12.195,950.6,1566.0,1911,5,72,6480.8
12.316,950.6,1566.0,1911,5,72,6512.8
12.438,1080.1,1566.0,1911,3,72,6544.5
12.558,1080.1,1566.0,1911,4,72,6574.4
12.68,1080.1,1566.0,1911,4,72,6612.1
12.798,660.1,1566.0,1911,4,74,6632.3
12.918,821.1,1566.0,1911,45,73,6702.9
13.038,821.1,1566.0,1911,7,72,6753.3
13.157,821.1,1566.0,1911,7,72,6810.3
13.277,950.6,1566.0,1911,7,72,6874.3
13.396,1080.1,1566.0,1911,5,72,6928.2
13.516,1080.1,1566.0,1911,5,72,6977.0
13.634,1080.1,1566.0,1911,6,72,7020.5
13.753,660.1,1566.0,1911,16,75,7027.8
13.875,667.1,1566.0,1911,31,73,7042.7
13.996,821.1,1566.0,1911,31,72,7092.2
14.115,821.1,1566.0,1911,5,72,7116.1
14.235,821.1,1566.0,1911,4,72,7124.9
14.356,821.1,1566.0,1911,4,72,7141.8
14.477,950.6,1566.0,1911,2,72,7149.6
14.598,950.6,1566.0,1911,3,72,7161.6
14.719,950.6,1566.0,1911,5,72,7224.0
14.837,1080.1,1566.0,1911,5,72,7308.4
14.955,1080.1,1566.0,1911,7,72,7367.5
15.075,660.1,1566.0,1911,40,74,7394.7
15.197,821.2,1566.0,1911,14,72,7469.8
15.317,821.2,1566.0,1911,14,72,7498.1
15.437,821.2,1566.0,1911,2,72,7487.4
15.559,821.2,1566.0,1911,2,72,7488.6
15.68,821.2,1566.0,1911,2,72,7488.7
15.802,950.7,1566.0,1911,2,72,7517.9
15.922,950.7,1566.0,1911,3,72,7530.6
16.043,950.7,1566.0,1911,6,72,7603.0
16.161,1080.2,1566.0,1911,6,72,7674.4
16.28,660.2,1566.0,1911,8,75,7709.9
16.402,660.2,1566.0,1911,43,73,7712.8
16.524,691.7,1566.0,1911,43,72,7727.1
16.643,821.2,1566.0,1911,3,72,7746.3
16.764,821.2,1566.0,1911,4,72,7742.7
16.886,821.2,1566.0,1911,2,72,7755.1
17.005,821.2,1566.0,1911,2,72,7776.2
17.127,821.2,1566.0,1911,4,72,7774.8
17.249,950.7,1566.0,1911,3,72,7802.4
17.366,950.7,1566.0,1911,3,72,7851.2
17.487,950.7,1566.0,1911,4,72,7854.3
17.61,950.7,1566.0,1911,3,72,7863.1
17.733,1080.2,1566.0,1911,4,72,7883.3
17.854,1080.2,1566.0,1911,4,72,7877.9
17.976,1080.2,1566.0,1911,1,72,7879.9
18.098,1080.2,1566.0,1911,3,72,7915.6
18.217,1080.2,1566.0,1911,4,72,7916.4
18.339,1080.2,1566.0,1911,4,72,7932.1
18.461,660.2,1566.0,1911,2,75,7933.8
18.581,667.2,1566.0,1911,44,73,7962.3
18.706,691.7,1566.0,1911,3,72,7967.4
18.83,821.2,1566.0,1911,3,72,7972.8
18.95,821.2,1566.0,1911,2,72,7970.7
19.073,821.2,1566.0,1911,2,72,7960.5
19.194,821.2,1566.0,1911,2,72,7954.7
19.316,821.2,1566.0,1911,2,72,7950.0
19.437,821.2,1566.0,1911,1,72,7955.3
19.558,821.2,1566.0,1911,3,72,7957.1
19.679,821.2,1566.0,1911,3,72,7954.8
19.8,821.2,1566.0,1911,2,72,7947.6
19.921,950.7,1566.0,1911,2,73,7958.6
20.042,950.7,1566.0,1911,2,73,7973.1
20.163,950.7,1566.0,1911,3,72,7997.3
20.284,950.7,1566.0,1911,4,73,8020.1
20.404,1080.2,1566.0,1911,3,72,8030.4
20.525,1080.2,1566.0,1911,3,72,8047.3
20.645,1080.2,1566.0,1911,4,73,8050.6
20.767,1080.2,1566.0,1911,2,73,8077.9
20.888,1080.2,1566.0,1911,2,72,8079.7
21.01,660.2,1566.0,1911,2,75,8077.2
21.132,660.2,1566.0,1911,44,73,8081.2
21.254,821.2,1566.0,1911,3,73,8106.3
21.375,821.2,1566.0,1911,3,73,8108.0
21.496,821.2,1566.0,1911,2,73,8114.3
21.618,821.2,1566.0,1911,3,73,8134.5
21.739,821.2,1566.0,1911,4,73,8148.8
21.861,950.7,1566.0,1911,4,73,8162.5
