t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.002,45.1,90.0,471,2,75,3320.2
0.124,92.2,150.0,531,2,75,3378.3
0.242,221.7,270.0,651,4,75,3455.6
0.36,351.2,410.0,791,10,75,3535.0
0.478,351.2,410.0,791,10,75,3604.5
0.596,480.7,550.0,931,6,75,3643.7
0.716,480.7,550.0,1071,8,75,3714.8
0.835,68.5,690.0,1071,50,76,3757.2
0.953,222.5,690.0,1071,50,76,3833.3
1.071,222.5,690.0,1071,6,76,3910.7
1.19,352.0,690.0,1071,9,76,4021.9
1.308,481.5,690.0,1071,9,76,4109.2
1.426,61.7,830.0,1211,10,79,4160.9
1.544,222.7,830.0,1211,41,76,4253.7
1.661,222.7,830.0,1211,9,76,4353.7
1.78,352.2,830.0,1211,9,76,4430.5
1.898,481.7,830.0,1211,9,76,4514.6
2.016,481.7,830.0,1211,7,76,4601.1
2.133,65.4,830.0,1211,7,78,4645.7
2.251,222.9,830.0,1211,41,76,4734.3
2.369,352.4,830.0,1211,10,76,4836.0
2.487,352.4,830.0,1211,8,76,4915.3
2.608,481.9,830.0,1211,8,76,5020.6
2.729,62.1,830.0,1211,18,79,5073.0
2.851,352.7,830.0,1211,37,76,5239.6
2.971,482.2,830.0,1211,37,76,5365.2
3.092,62.4,830.0,1211,11,78,5451.8
3.214,223.4,830.0,1211,44,76,5553.9
3.336,352.9,830.0,1211,11,76,5666.9
3.457,352.9,830.0,1211,11,76,5761.5
3.579,62.6,830.0,1211,9,77,5863.5
3.701,223.6,830.0,1211,44,77,5935.9
3.823,223.6,830.0,1211,9,76,6036.7
3.944,353.1,830.0,1211,9,76,6135.3
4.065,482.6,830.0,1211,8,76,6230.6
4.207,62.8,830.0,1211,18,77,6275.6
4.385,223.8,830.0,1211,3,76,6341.1
4.624,353.3,830.0,1211,5,76,6412.2
4.931,353.3,830.0,1211,4,76,6465.3
5.256,482.8,830.0,1211,5,76,6508.1
5.585,66.6,830.0,1211,32,76,6531.1
5.839,224.1,830.0,1211,1,76,6571.3
6.207,353.6,830.0,1211,3,76,6604.0
6.567,353.6,830.0,1211,1,76,6636.0
6.945,483.1,830.0,1211,4,76,6680.9
7.285,63.3,830.0,1211,2,79,6739.2
7.404,224.3,830.0,1211,43,76,6841.1
7.523,353.8,830.0,1211,9,76,6940.4
7.641,483.3,830.0,1211,9,76,7058.8
7.759,63.5,830.0,1211,12,77,7153.5
7.879,224.5,830.0,1211,45,77,7251.8
7.997,354.0,830.0,1211,45,76,7355.0
8.115,354.0,830.0,1211,9,76,7440.8
8.233,483.5,830.0,1211,8,76,7526.6
8.352,483.5,830.0,1211,8,76,7598.1
8.47,224.8,830.0,1211,8,77,7673.6
8.588,224.8,830.0,1211,42,76,7776.7
8.706,354.3,830.0,1211,9,76,7896.5
8.824,483.8,830.0,1211,9,76,8012.2
8.942,64.0,830.0,1211,13,78,8069.5
9.06,225.0,830.0,1211,41,76,8172.1
9.178,354.5,830.0,1211,10,76,8274.9
9.297,484.0,830.0,1211,10,76,8378.9
9.416,484.0,830.0,1211,9,76,8465.9
9.534,64.2,830.0,1211,40,79,8511.8
9.652,225.2,830.0,1211,40,76,8595.7
9.77,354.7,830.0,1211,9,76,8686.5
9.888,354.7,830.0,1211,9,76,8777.5
10.006,484.2,830.0,1211,9,76,8887.1
10.124,64.5,830.0,1211,9,79,8949.1
10.242,225.5,830.0,1211,43,76,9063.1
10.361,355.0,830.0,1211,11,76,9165.4
10.479,355.0,830.0,1211,11,76,9254.0
10.598,484.5,830.0,1211,8,75,9359.3
10.723,68.2,830.0,1211,42,78,9409.0
10.842,225.7,830.0,1211,42,76,9509.1
10.961,355.2,830.0,1211,10,76,9606.6
11.079,484.7,830.0,1211,8,75,9705.0
11.197,484.7,830.0,1211,9,75,9797.4
11.315,64.9,830.0,1211,9,77,9849.1
11.434,225.9,830.0,1211,42,76,9931.7
11.552,355.4,830.0,1211,8,75,10030.7
11.671,355.4,830.0,1211,8,75,10114.3
11.803,484.9,830.0,1211,8,75,10222.7
11.924,484.9,830.0,1211,8,75,10207.7
12.047,484.9,830.0,1211,0,75,10193.1
12.172,65.1,830.0,1211,0,77,10183.1
12.294,65.1,830.0,1211,38,76,10178.8
12.417,65.1,830.0,1211,2,76,10166.9
12.54,65.1,830.0,1211,0,75,10156.7
12.663,68.6,830.0,1211,0,75,10146.7
12.785,96.7,830.0,1211,2,75,10137.1
12.908,96.7,830.0,1211,2,75,10128.7
13.031,96.7,830.0,1211,1,76,10120.2
13.154,96.7,830.0,1211,1,75,10111.7
13.277,226.2,830.0,1211,2,75,10100.3
13.401,226.2,830.0,1211,2,75,10086.2
13.525,226.2,830.0,1211,0,75,10073.8
13.648,226.2,830.0,1211,0,75,10066.5
13.77,226.2,830.0,1211,2,75,10058.0
13.892,226.2,830.0,1211,2,75,10052.6
14.015,226.2,830.0,1211,2,75,10042.5
14.138,226.2,830.0,1211,1,75,10032.8
14.261,226.2,830.0,1211,2,76,10027.4
14.383,226.2,830.0,1211,2,75,10018.3
14.504,226.2,830.0,1211,2,75,10017.1
14.627,226.2,830.0,1211,1,75,10006.1
14.752,226.2,830.0,1211,2,75,9995.5
14.874,226.2,830.0,1211,2,75,9987.6
14.997,226.2,830.0,1211,2,75,9985.4
15.12,226.2,830.0,1211,1,75,9971.9
15.243,355.7,830.0,1211,2,75,9967.3
15.365,355.7,830.0,1211,2,75,9954.7
15.489,355.7,830.0,1211,2,75,9943.0
15.611,355.7,830.0,1211,0,75,9930.7
15.733,355.7,830.0,1211,2,75,9917.9
15.855,355.7,830.0,1211,2,75,9910.9
15.977,355.7,830.0,1211,2,75,9897.5
16.102,355.7,830.0,1211,0,75,9886.9
16.223,355.7,830.0,1211,2,76,9876.5
16.345,355.7,830.0,1211,2,75,9868.8
16.467,355.7,830.0,1211,2,75,9857.2
16.588,355.7,830.0,1211,0,75,9837.5
16.71,355.7,830.0,1211,2,75,9826.3
16.832,355.7,830.0,1211,2,75,9816.0
16.954,355.7,830.0,1211,2,75,9805.1
17.075,355.7,830.0,1211,0,75,9793.9
17.197,355.7,830.0,1211,0,75,9782.3
17.32,355.7,830.0,1211,2,75,9773.6
17.442,355.7,830.0,1211,2,75,9763.4
17.565,355.7,830.0,1211,0,76,9750.9
17.687,355.7,830.0,1211,0,76,9743.0
17.81,355.7,830.0,1211,2,75,9730.2
17.931,355.7,830.0,1211,2,76,9719.0
18.053,355.7,830.0,1211,0,76,9708.0
18.175,485.2,830.0,1211,0,75,9701.1
18.3,65.4,830.0,1211,8,77,9773.8
18.419,226.4,830.0,1211,41,76,9852.1
18.537,226.4,830.0,1211,41,76,9923.6
18.656,355.9,830.0,1211,7,76,10007.0
18.775,355.9,830.0,1211,8,75,10085.1
18.893,485.4,830.0,1211,7,75,10161.0
19.011,65.6,830.0,1211,7,76,10217.9
19.129,97.1,830.0,1211,40,76,10279.3
19.248,226.6,830.0,1211,8,76,10354.7
19.366,356.1,830.0,1211,8,75,10431.1
19.485,356.1,830.0,1211,7,75,10526.5
19.603,485.6,830.0,1211,8,75,10615.7
19.722,65.8,830.0,1211,42,79,10669.5
19.841,226.8,830.0,1211,42,76,10730.0
19.961,226.8,830.0,1211,7,75,10764.0
20.081,356.3,830.0,1211,5,75,10854.5
20.2,356.3,830.0,1211,5,75,10950.6
20.318,485.8,830.0,1211,10,75,10995.0
20.436,66.1,830.0,1211,12,79,11038.6
20.555,97.6,830.0,1211,35,76,11103.0
20.678,227.1,830.0,1211,35,76,11194.4
20.803,356.6,830.0,1211,9,76,11273.0
20.924,486.1,830.0,1211,7,75,11356.6
21.046,486.1,830.0,1211,7,75,11432.4
21.169,69.8,830.0,1211,7,77,11476.8
21.293,227.3,830.0,1211,43,76,11573.7
21.414,356.8,830.0,1211,8,76,11664.1
21.537,486.3,830.0,1211,8,75,11738.9
21.659,486.3,830.0,1211,7,75,11821.3
21.78,66.5,830.0,1211,23,79,11855.8
21.903,227.5,830.0,1211,26,76,11935.8
22.025,227.5,830.0,1211,26,76,12020.9
22.147,357.0,830.0,1211,7,75,12095.2
22.268,486.5,830.0,1211,9,75,12165.5
22.389,486.5,830.0,1211,9,75,12239.2
22.512,73.8,830.0,1211,6,77,12276.0
22.634,227.8,830.0,1211,40,76,12323.5
22.757,227.8,830.0,1211,5,76,12333.7
22.878,227.8,830.0,1211,5,75,12324.2
22.999,227.8,830.0,1211,1,76,12319.0
23.12,227.8,830.0,1211,1,75,12308.7
23.241,227.8,830.0,1211,3,76,12299.2
23.363,227.8,830.0,1211,3,75,12289.7
23.484,227.8,830.0,1211,0,75,12278.7
23.606,227.8,830.0,1211,1,75,12274.7
23.728,227.8,830.0,1211,1,75,12264.6
23.852,357.3,830.0,1211,3,75,12256.8
23.973,357.3,830.0,1211,1,75,12246.3
24.095,357.3,830.0,1211,1,75,12237.8
24.218,357.3,830.0,1211,1,75,12231.5
24.341,357.3,830.0,1211,3,75,12221.1
24.464,357.3,830.0,1211,0,76,12211.5
24.586,357.3,830.0,1211,0,76,12200.4
24.708,357.3,830.0,1211,0,76,12188.7
24.83,357.3,830.0,1211,3,75,12180.8
24.952,357.3,830.0,1211,1,76,12169.6
25.076,357.3,830.0,1211,1,75,12162.7
25.198,357.3,830.0,1211,1,75,12158.5
25.321,357.3,830.0,1211,3,75,12147.4
25.444,357.3,830.0,1211,1,75,12138.1
25.566,357.3,830.0,1211,1,75,12129.7
25.688,357.3,830.0,1211,0,76,12119.5
25.811,357.3,830.0,1211,3,75,12111.7
25.933,357.3,830.0,1211,1,76,12103.4
26.056,357.3,830.0,1211,1,76,12094.0
26.179,486.8,830.0,1211,0,76,12084.0
26.301,486.8,830.0,1211,3,76,12071.8
26.424,486.8,830.0,1211,0,75,12060.0
26.546,486.8,830.0,1211,0,75,12050.1
26.669,486.8,830.0,1211,0,75,12041.0
26.791,486.8,830.0,1211,3,75,12037.3
26.912,486.8,830.0,1211,3,75,11883.0
27.035,67.0,830.0,1211,3,78,11872.6
27.154,228.0,830.0,1211,39,76,11781.4
27.275,228.0,830.0,1211,9,76,11662.2
27.394,357.5,830.0,1211,9,76,11482.3
27.514,487.0,830.0,1211,7,76,11395.7
