layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.870913,0.999139
0,q_proj,4,8.296875,8.289818,0.999149
0,q_proj,8,5.824219,5.819286,0.999153
0,q_proj,12,4.582031,4.578162,0.999155
0,q_proj,16,3.972656,3.969307,0.999157
0,q_proj,20,3.65625,3.653171,0.999158
0,q_proj,24,3.376953,3.374112,0.999159
0,q_proj,28,3.222656,3.219946,0.999159
0,q_proj,32,3.021484,3.018946,0.99916
0,q_proj,36,2.916016,2.913567,0.99916
0,q_proj,40,2.849609,2.847217,0.99916
0,q_proj,44,2.767578,2.765255,0.999161
0,q_proj,48,2.728516,2.726226,0.999161
0,q_proj,52,2.667969,2.66573,0.999161
0,q_proj,56,2.628906,2.626701,0.999161
0,q_proj,60,2.591797,2.589623,0.999161
0,q_proj,64,2.566406,2.564254,0.999161
0,q_proj,68,2.529297,2.527176,0.999162
0,q_proj,72,2.503906,2.501807,0.999162
0,q_proj,76,2.46875,2.466681,0.999162
0,q_proj,80,2.449219,2.447166,0.999162
0,q_proj,84,2.410156,2.408137,0.999162
0,q_proj,88,2.386719,2.384719,0.999162
0,q_proj,92,2.357422,2.355447,0.999162
0,q_proj,96,2.324219,2.322272,0.999162
0,q_proj,100,2.294922,2.293,0.999163
0,q_proj,104,2.259766,2.257874,0.999163
0,q_proj,108,2.234375,2.232504,0.999163
0,q_proj,112,2.199219,2.197378,0.999163
0,q_proj,116,2.169922,2.168106,0.999163
0,q_proj,120,2.138672,2.136882,0.999163
0,q_proj,124,2.115234,2.113465,0.999163
0,k_proj,0,4.175781,4.175851,1.000017
0,k_proj,4,2.875,2.875047,1.000016
0,k_proj,8,2.638672,2.638715,1.000016
0,k_proj,12,2.572266,2.572307,1.000016
0,k_proj,16,2.488281,2.488321,1.000016
0,k_proj,20,2.455078,2.455118,1.000016
0,k_proj,24,2.423828,2.423867,1.000016
0,k_proj,28,2.386719,2.386757,1.000016
0,k_proj,32,2.373047,2.373085,1.000016
0,k_proj,36,2.34375,2.343788,1.000016
0,k_proj,40,2.328125,2.328162,1.000016
0,k_proj,44,2.298828,2.298865,1.000016
0,k_proj,48,2.28125,2.281286,1.000016
0,k_proj,52,2.259766,2.259802,1.000016
0,k_proj,56,2.238281,2.238317,1.000016
0,k_proj,60,2.226562,2.226598,1.000016
0,k_proj,64,2.207031,2.207067,1.000016
0,k_proj,68,2.185547,2.185582,1.000016
0,k_proj,72,2.158203,2.158237,1.000016
0,k_proj,76,2.138672,2.138706,1.000016
0,k_proj,80,2.105469,2.105502,1.000016
0,k_proj,84,2.076172,2.076205,1.000016
0,k_proj,88,2.042969,2.043001,1.000016
0,k_proj,92,1.999023,1.999055,1.000016
0,k_proj,96,1.958008,1.958039,1.000016
0,k_proj,100,1.914062,1.914093,1.000016
0,k_proj,104,1.869141,1.86917,1.000016
0,k_proj,108,1.820312,1.820341,1.000016
0,k_proj,112,1.78125,1.781278,1.000016
0,k_proj,116,1.750977,1.751004,1.000016
0,k_proj,120,1.724609,1.724636,1.000016
0,k_proj,124,1.710938,1.710964,1.000016
0,v_proj,0,1.24707,1.244515,0.997951
0,v_proj,4,0.82373,0.822045,0.997953
0,v_proj,8,0.696777,0.695352,0.997954
0,v_proj,12,0.658203,0.656857,0.997955
0,v_proj,16,0.650391,0.64906,0.997955
0,v_proj,20,0.644531,0.643213,0.997955
0,v_proj,24,0.639648,0.63834,0.997955
0,v_proj,28,0.635254,0.633955,0.997955
0,v_proj,32,0.631348,0.630056,0.997955
0,v_proj,36,0.627441,0.626158,0.997955
0,v_proj,40,0.623535,0.62226,0.997955
0,v_proj,44,0.619629,0.618362,0.997955
0,v_proj,48,0.615723,0.614464,0.997955
0,v_proj,52,0.612793,0.61154,0.997955
0,v_proj,56,0.60791,0.606667,0.997955
0,v_proj,60,0.603516,0.602282,0.997955
0,v_proj,64,0.600586,0.599358,0.997955
0,v_proj,68,0.596191,0.594972,0.997955
0,v_proj,72,0.59082,0.589612,0.997955
0,v_proj,76,0.587402,0.586201,0.997955
0,v_proj,80,0.583496,0.582303,0.997955
