t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.0,656.0,668.0,1299,2,52,4087.7
0.118,656.6,670.0,1301,5,52,4178.3
0.237,720.8,730.0,1371,5,52,4265.6
0.356,850.3,870.0,1511,8,52,4366.0
0.474,979.8,990.0,1631,10,52,4476.9
0.592,1109.3,1130.0,1770,10,52,4597.6
0.711,1109.3,1130.0,1770,12,52,4705.1
0.829,1111.8,1132.0,1772,5,52,4797.7
0.951,690.2,1274.0,1915,50,54,4830.4
1.072,851.2,1274.0,1915,50,53,4941.6
1.192,980.7,1274.0,1915,28,53,5039.7
1.312,980.7,1274.0,1915,16,53,5133.2
1.434,1110.2,1274.0,1915,16,53,5228.5
1.552,690.4,1274.0,1915,15,56,5274.6
1.671,851.4,1274.0,1913,56,54,5362.5
1.794,851.4,1274.0,1921,22,54,5465.2
1.914,980.9,1274.0,1937,22,54,5580.7
2.038,1110.4,1274.0,1937,18,54,5679.9
2.164,690.7,1274.0,1937,27,57,5718.4
2.283,851.7,1274.0,1937,47,55,5834.1
2.403,981.2,1274.0,1937,47,54,5950.1
2.524,1110.7,1274.0,1937,17,54,6079.4
2.671,1120.3,1276.0,1939,18,56,6162.3
2.792,722.5,1276.0,1911,60,56,6216.4
2.913,852.0,1276.0,1911,60,55,6329.7
3.032,981.5,1276.0,1911,19,55,6381.2
3.154,981.5,1276.0,1911,14,55,6456.4
3.273,1111.0,1276.0,1899,14,55,6549.3
3.393,1120.1,1276.0,1914,19,56,6420.1
3.512,722.8,1276.0,1916,63,56,6432.7
3.639,852.3,1276.0,1914,19,55,6459.9
3.763,852.3,1276.0,1914,19,55,6489.1
3.886,852.3,1276.0,1914,15,55,6518.3
4.008,852.3,1276.0,1914,10,55,6542.8
4.131,981.8,1276.0,1914,4,55,6571.2
4.254,981.8,1276.0,1914,4,55,6601.6
4.381,981.8,1276.0,1914,14,55,6629.4
4.502,981.8,1276.0,1914,10,55,6647.6
4.624,981.8,1276.0,1890,9,55,6686.2
4.753,1111.3,1276.0,1767,9,55,6728.6
4.883,1111.3,1276.0,1763,17,56,6797.9
5.007,691.6,1276.0,1763,38,58,6830.6
5.128,852.6,1276.0,1763,40,56,6934.3
5.248,982.1,1276.0,1760,40,56,7049.5
5.37,1111.6,1276.0,1760,21,56,7156.7
5.492,1111.6,1276.0,1760,11,56,7254.7
5.613,691.8,1276.0,1760,11,57,7252.9
5.733,852.9,1276.0,1760,53,56,7241.3
5.859,852.9,1276.0,1760,8,56,7302.9
5.981,852.9,1276.0,1760,7,56,7330.2
6.106,982.4,1276.0,1766,7,56,7382.0
6.229,982.4,1276.0,1766,8,56,7411.0
6.351,982.4,1276.0,1766,11,56,7443.7
6.475,1111.9,1276.0,1766,10,56,7478.1
6.596,1111.9,1276.0,1764,10,56,7510.1
6.72,1111.9,1276.0,1764,10,56,7546.1
6.843,1111.9,1276.0,1764,10,56,7589.0
6.966,692.1,1276.0,1748,53,58,7601.2
7.089,723.6,1276.0,1742,53,57,7631.7
7.213,853.1,1276.0,1742,10,57,7670.7
7.34,853.1,1276.0,1742,11,56,7701.9
7.462,853.1,1276.0,1742,11,56,7736.3
7.586,853.1,1276.0,1741,4,56,7777.8
7.708,982.6,1276.0,1719,4,56,7820.9
7.83,982.6,1276.0,1716,8,56,7857.1
7.953,982.6,1276.0,1716,8,56,7895.1
8.075,1112.1,1276.0,1716,4,57,7931.5
8.197,1112.1,1276.0,1716,6,57,7969.5
8.318,1112.1,1276.0,1716,5,57,8008.7
8.441,692.4,1276.0,1716,5,58,8035.4
8.559,692.4,1276.0,1716,47,58,8055.7
8.683,723.9,1276.0,1716,6,57,8087.0
8.807,853.4,1276.0,1716,5,57,8126.7
8.931,853.4,1276.0,1716,5,57,8170.5
9.053,853.4,1276.0,1716,5,57,8211.5
9.174,982.9,1276.0,1716,6,57,8250.0
9.296,982.9,1276.0,1716,6,57,8286.5
9.418,982.9,1276.0,1716,5,57,8332.0
9.541,1112.4,1276.0,1716,7,57,8377.6
9.663,1112.4,1276.0,1716,5,57,8416.9
9.785,1112.4,1276.0,1716,5,57,8457.2
9.906,692.7,1278.0,1718,5,59,8480.6
10.024,692.7,1278.0,1718,47,58,8508.4
10.145,853.7,1278.0,1716,47,58,8546.4
10.266,853.7,1278.0,1716,7,58,8586.4
10.389,853.7,1278.0,1716,6,58,8626.7
10.51,853.7,1278.0,1716,4,58,8668.1
10.633,983.2,1278.0,1700,4,57,8712.1
10.755,983.2,1278.0,1700,7,58,8761.1
10.877,1112.7,1278.0,1700,7,58,8804.9
11.0,1112.7,1278.0,1700,4,58,8845.6
11.122,1112.7,1278.0,1700,4,58,8884.1
11.243,1112.7,1278.0,1700,8,58,8923.1
11.366,693.0,1278.0,1700,48,59,8933.9
11.489,724.5,1278.0,1700,11,58,8980.4
11.612,854.0,1278.0,1700,11,58,9020.4
11.734,854.0,1278.0,1700,10,58,9059.3
11.86,854.0,1278.0,1700,7,58,9102.9
11.982,983.5,1278.0,1700,7,58,9142.2
12.103,983.5,1278.0,1700,5,58,9183.7
12.226,983.5,1278.0,1700,6,58,9231.3
12.347,1113.0,1278.0,1700,7,58,9271.8
12.467,1113.0,1278.0,1700,7,58,9311.8
12.59,1113.0,1278.0,1700,5,58,9353.3
12.71,693.3,1278.0,1700,25,61,9371.2
12.828,724.8,1278.0,1700,30,59,9412.3
12.95,854.3,1278.0,1700,30,58,9454.6
13.07,854.3,1278.0,1700,4,58,9495.9
13.192,854.3,1278.0,1700,7,58,9537.2
13.313,983.8,1278.0,1700,7,58,9574.0
13.435,983.8,1278.0,1700,4,58,9617.1
13.557,983.8,1278.0,1700,5,58,9665.9
13.677,1113.3,1278.0,1700,8,59,9709.6
13.797,1113.3,1278.0,1700,8,59,9749.6
13.918,1113.3,1278.0,1700,6,58,9791.9
14.041,693.5,1278.0,1700,9,60,9813.9
14.159,693.5,1278.0,1700,9,59,9842.6
14.28,854.5,1278.0,1700,44,59,9890.0
14.401,854.5,1278.0,1700,6,59,9932.8
14.523,854.5,1278.0,1700,6,59,9974.5
14.643,984.0,1278.0,1700,6,59,10018.1
14.763,984.0,1278.0,1700,6,59,10063.1
14.884,984.0,1278.0,1700,5,59,10110.1
15.007,1113.5,1278.0,1700,6,59,10151.6
15.13,1113.5,1278.0,1700,6,59,10197.6
15.251,1113.5,1278.0,1700,5,59,10214.3
15.372,1113.5,1278.0,1700,6,59,10255.9
15.492,693.8,1278.0,1700,6,60,10274.1
15.612,725.3,1278.0,1700,48,59,10317.5
15.732,854.8,1278.0,1700,6,59,10363.0
15.853,854.8,1278.0,1700,7,59,10410.2
15.975,984.3,1278.0,1700,7,59,10446.1
16.096,984.3,1278.0,1700,5,59,10480.7
16.217,984.3,1278.0,1700,9,59,10510.1
16.347,984.3,1278.0,1709,9,59,10518.0
16.492,1113.8,1278.0,1709,9,59,10379.9
16.612,701.1,1278.0,1709,27,61,10382.7
16.731,855.1,1278.0,1709,44,60,10389.7
16.85,984.6,1278.0,1709,13,59,10377.7
16.968,1114.1,1278.0,1709,13,59,10383.1
17.088,694.4,1278.0,1709,23,62,10396.6
