wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
47.96,0,0,0,19,76,3.15607,23.4781,0.001,,,,,,4096.0,,23272.9,24662.3,47943.0,54.8,974.9,11257.3,24893.3
91.79,0,1,1,20,156,3.36498,28.9329,0.0,22.56764,0.0,0.0,0.0,22.56764,4096.0,False,14422.9,29247.6,43823.7,74.0,996.2,11579.8,24893.3
126.76,0,1,2,21,240,2.34667,10.4507,0.0,,,,,,4096.0,,12972.6,21963.4,34960.5,93.3,1018.9,10061.7,24893.3
161.48,0,2,3,22,328,2.14688,8.5581,0.001,11.87295,0.0,0.0,0.0,11.87295,4096.0,False,14122.3,20471.0,34715.1,74.0,1040.2,11672.8,24893.3
193.11,0,2,4,23,420,1.50571,4.5074,0.001,,,,,,4096.0,,10283.4,21335.1,31628.1,93.3,1024.3,11872.3,24893.3
223.78,0,3,5,24,516,2.70911,15.016,0.000992403876506104,11.04014,0.0,0.0,0.0,11.04014,4096.0,False,6893.4,23634.8,30663.0,74.0,1045.6,10148.3,24893.3
258.74,0,3,6,25,616,1.30247,3.6784,0.000992403876506104,,,,,,4096.0,,12728.3,22221.0,34959.6,93.3,1029.8,11236.5,24893.3
297.06,0,4,7,25,716,1.27308,3.5718,0.0009698463103929542,4.18343,0.0,0.0,0.0,4.18343,4096.0,False,12258.1,25938.2,38317.7,74.0,1048.4,11405.7,24893.3
332.11,0,4,8,25,816,1.59842,4.9452,0.0009698463103929542,,,,,,4096.0,,10746.7,24281.7,35042.4,93.3,1029.8,11486.1,24893.3
372.75,0,5,9,26,920,1.23077,3.4239,0.0009330127018922195,4.76909,0.0,0.0,0.0,4.76909,4096.0,False,10964.5,29535.2,40637.2,74.0,1051.1,10786.3,24893.3
405.09,0,5,10,27,1028,1.67244,5.3251,0.0009330127018922195,,,,,,4096.0,,11124.6,21195.3,32330.9,93.3,1035.3,11342.0,24893.3
444.66,0,6,11,27,1136,1.61192,5.0124,0.000883022221559489,4.22418,0.0,0.0,0.0,4.22418,4096.0,False,12196.9,27239.4,39561.7,74.0,1053.9,10785.6,24893.3
478.99,0,6,12,28,1248,1.57568,4.834,0.000883022221559489,,,,,,4096.0,,11945.6,22373.2,34333.3,93.3,1038.0,11141.8,24893.3
514.85,0,7,13,30,1368,1.55131,4.7176,0.0008213938048432696,3.3183,0.0,0.0,0.0,3.3183,4096.0,False,11814.8,23891.5,35849.7,74.0,1062.1,11045.9,24893.3
551.99,0,7,14,31,1492,1.49072,4.4403,0.0008213938048432696,,,,,,4096.0,,12166.0,24957.3,37136.8,93.3,1046.3,10729.8,24893.3
587.03,0,8,15,33,1624,1.34653,3.8441,0.00075,2.92278,0.0,0.0,0.0,2.92278,4096.0,False,12078.6,22815.7,35030.8,74.0,1070.3,11769.9,24893.3
618.89,0,8,16,35,1764,0.87975,2.4103,0.00075,,,,,,4096.0,,9664.2,22183.2,31860.3,93.3,1057.2,11686.9,24893.3
668.19,0,9,17,37,1912,1.1712,3.2259,0.0006710100716628344,1.79746,0.0,0.0,0.0,1.79746,4096.0,False,11873.6,37289.7,49287.8,74.0,1081.3,11014.1,24893.3
701.5,0,9,18,38,2064,1.82946,6.2305,0.0006710100716628344,,,,,,4096.0,,12060.1,21230.3,33317.0,93.3,1065.5,11831.4,24893.3
739.73,0,10,19,42,2232,1.16672,3.2114,0.0005868240888334653,2.58368,0.0,0.0,0.0,2.58368,4096.0,False,9608.8,28482.5,38222.3,74.0,1095.0,12085.3,24893.3
775.66,0,10,20,45,2412,1.14036,3.1279,0.0005868240888334653,,,,,,4096.0,,11906.2,23991.6,35926.6,93.3,1084.6,12116.7,24893.3
810.75,0,11,21,51,2616,1.56573,4.7862,0.0005,1.91772,0.0,0.0,0.0,1.91772,4096.0,False,9899.2,25043.5,35081.3,74.0,1119.6,12336.4,24893.3
845.27,0,11,22,56,2840,1.50873,4.521,0.0005,,,,,,4096.0,,7524.8,26950.9,34508.9,93.3,1114.8,12162.8,24893.3
892.06,0,12,23,66,3104,1.8212,6.1793,0.00041317591116653486,1.59774,0.0,0.0,0.0,1.59774,4096.0,False,12881.3,33776.0,46784.8,74.0,1160.8,12273.7,24893.3
934.3,0,12,24,70,3384,1.41896,4.1328,0.00041317591116653486,,,,,,4096.0,,12019.3,30197.2,42242.2,93.3,1153.2,11726.1,24893.3
975.87,0,13,25,72,3672,1.54628,4.694,0.0003289899283371657,1.82284,0.0,0.0,0.0,1.82284,4096.0,False,13072.5,28332.5,41556.2,74.0,1177.2,12128.3,24893.3
1017.21,0,13,26,82,4000,0.89392,2.4447,0.0003289899283371657,,,,,,4096.0,,10190.4,31115.1,41336.8,93.3,1186.1,11558.5,24893.3
1065.05,0,14,27,86,4344,1.27426,3.576,0.0002500000000000001,1.34398,0.0,0.0,0.0,1.34398,4096.0,False,13513.7,34155.0,47832.0,74.0,1215.6,10753.1,24893.3
1115.79,0,14,28,95,4724,1.07438,2.9282,0.0002500000000000001,,,,,,4096.0,,14733.1,35963.2,50738.4,93.3,1221.7,11660.5,24893.3
1186.62,0,15,29,103,5136,1.45056,4.2655,0.0001786061951567303,1.25994,0.0,0.0,0.0,1.25994,4096.0,False,16010.3,54645.3,70828.8,74.0,1262.2,11963.8,24893.3
1232.97,0,15,30,108,5568,1.3659,3.9192,0.0001786061951567303,,,,,,4096.0,,14258.7,32036.2,46344.0,93.3,1257.4,11773.4,24893.3
1294.44,0,16,31,113,6020,1.36372,3.9107,0.00011697777844051105,1.28948,0.0,0.0,0.0,1.28948,4096.0,False,16245.7,45048.4,61463.0,74.0,1289.6,11496.3,24893.3
1356.52,0,16,32,126,6524,1.27941,3.5945,0.00011697777844051105,,,,,,4096.0,,13101.0,48914.5,62070.3,93.3,1306.7,12586.9,24893.3
1420.44,0,17,33,148,7116,1.56339,4.775,6.698729810778065e-05,1.16604,0.0,0.0,0.0,1.16604,4096.0,False,14122.6,49604.9,63915.3,74.0,1385.7,11665.7,24893.3
1501.58,0,17,34,165,7776,1.59984,4.9522,6.698729810778065e-05,,,,,,4096.0,,17821.7,63253.2,81139.8,93.3,1413.8,11105.3,24893.3
1597.97,0,18,35,227,8684,1.46443,4.3251,3.0153689607045842e-05,1.09051,0.0,0.0,0.0,1.09051,4096.0,False,25419.7,70759.9,96386.2,74.0,1602.5,11630.5,24893.3
1689.61,0,18,36,242,9652,1.64364,5.174,3.0153689607045842e-05,,,,,,4096.0,,22993.0,68560.7,91629.4,93.3,1625.2,11092.4,24893.3
1751.87,0,19,37,256,10164,1.09394,2.986,7.59612349389599e-06,0.9549,0.0,0.0,0.0,0.9549,4096.0,False,19309.0,42786.2,62255.2,74.0,1332.5,11112.3,24893.3
