wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
39.33,0,0,0,19,76,3.15663,23.4913,0.001,,,,,,4096.0,,18857.8,20431.8,39297.7,687.5,1636.6,12372.2,24893.3
68.28,0,1,1,20,156,3.36443,28.917,0.0,6.12622,0.72361,6.06253,0.50265,0.0,4096.0,False,7327.8,21250.6,28935.6,702.8,1654.5,12666.5,24893.3
105.59,0,1,2,21,240,2.64364,14.0644,0.0,,,,,,4096.0,,7245.7,30051.6,37305.4,718.0,1673.5,12002.3,24893.3
135.96,0,2,3,22,328,2.33187,10.2972,0.001,2.11103,0.16295,1.87505,0.95606,0.0,4096.0,False,9524.4,20662.7,30372.6,702.8,1691.5,12966.8,24893.3
167.15,0,2,4,23,420,1.56718,4.7931,0.001,,,,,,4096.0,,5220.8,25955.7,31187.1,718.0,1680.0,12135.8,24893.3
198.99,0,3,5,24,516,2.91461,18.4416,0.000992403876506104,1.94325,0.21477,1.74155,0.83492,0.0,4096.0,False,7874.6,23771.8,31833.4,702.8,1697.9,12120.0,24893.3
232.65,0,3,6,25,616,1.66306,5.2754,0.000992403876506104,,,,,,4096.0,,6602.0,27011.4,33655.5,718.0,1686.4,12872.4,24893.3
265.43,0,4,7,25,716,1.53526,4.6425,0.0009698463103929542,1.31607,0.25184,1.1799,0.52579,0.0,4096.0,False,5555.3,25726.7,32767.3,702.8,1701.1,12484.4,24893.3
339.95,0,4,8,25,816,1.57533,4.8323,0.0009698463103929542,,,,,,4096.0,,52775.7,21663.3,74512.2,718.0,1686.4,12875.3,24893.3
369.45,0,5,9,26,920,1.34507,3.8385,0.0009330127018922195,1.1615,0.51438,0.78332,0.68622,0.0,4096.0,False,4824.4,24482.4,29494.7,702.8,1704.3,12443.2,24893.3
395.51,0,5,10,27,1028,1.59681,4.9373,0.0009330127018922195,,,,,,4096.0,,6318.7,19663.6,26057.1,718.0,1692.8,12400.3,24893.3
428.0,0,6,11,27,1136,1.59561,4.9313,0.000883022221559489,1.15152,0.34551,1.02604,0.39227,0.0,4096.0,False,8072.5,24199.3,32481.6,702.8,1707.5,12171.2,24893.3
458.71,0,6,12,28,1248,1.45994,4.3057,0.000883022221559489,,,,,,4096.0,,7723.2,22948.0,30704.6,718.0,1696.0,12351.1,24893.3
487.57,0,7,13,30,1368,1.5208,4.5759,0.0008213938048432696,0.70855,0.05584,0.69801,0.10818,0.0,4096.0,False,9412.0,19267.8,28856.2,702.8,1717.1,12441.8,24893.3
526.52,0,7,14,31,1492,1.50028,4.483,0.0008213938048432696,,,,,,4096.0,,16223.0,22704.3,38947.6,718.0,1705.6,12596.3,24893.3
557.07,0,8,15,33,1624,1.32305,3.7549,0.00075,0.7361,0.0571,0.72443,0.11741,0.0,4096.0,False,5925.0,24438.8,30539.7,702.8,1726.8,12788.7,24893.3
589.6,0,8,16,35,1764,0.89395,2.4448,0.00075,,,,,,4096.0,,6735.1,25764.5,32526.9,718.0,1718.5,12454.8,24893.3
621.85,0,9,17,37,1912,1.17056,3.2238,0.0006710100716628344,0.49481,0.05549,0.48399,0.08665,0.0,4096.0,False,8032.8,24029.1,32248.8,702.8,1739.6,12731.1,24893.3
654.59,0,9,18,38,2064,1.81561,6.1448,0.0006710100716628344,,,,,,4096.0,,7967.6,24745.5,32740.6,718.0,1728.1,12660.7,24893.3
689.9,0,10,19,42,2232,1.12743,3.0877,0.0005868240888334653,0.65162,0.0811,0.63131,0.13956,0.0,4096.0,False,7410.7,27710.8,35301.3,702.8,1755.7,11516.4,24893.3
722.54,0,10,20,45,2412,1.16354,3.2012,0.0005868240888334653,,,,,,4096.0,,11938.6,20688.0,32634.7,718.0,1750.5,12199.6,24893.3
772.21,0,11,21,51,2616,1.57512,4.8313,0.0005,0.4773,0.03812,0.4643,0.10388,0.0,4096.0,False,22887.6,26551.2,49660.3,702.8,1784.5,12766.4,24893.3
809.0,0,11,22,56,2840,1.56257,4.7711,0.0005,,,,,,4096.0,,7552.3,29203.2,36783.4,718.0,1785.8,12636.5,24893.3
850.19,0,12,23,66,3104,1.82705,6.2155,0.00041317591116653486,0.43051,0.04609,0.41551,0.10281,0.0,4096.0,False,9198.8,31766.1,41192.7,702.8,1832.7,12564.6,24893.3
890.13,0,12,24,70,3384,1.41349,4.1103,0.00041317591116653486,,,,,,4096.0,,7958.3,31938.8,39936.6,718.0,1830.8,11994.7,24893.3
933.62,0,13,25,72,3672,1.5472,4.6983,0.0003289899283371657,0.44289,0.0544,0.42938,0.09395,0.0,4096.0,False,11472.2,31813.9,43478.8,702.8,1851.9,13336.8,24893.3
990.98,0,13,26,82,4000,0.89863,2.4562,0.0003289899283371657,,,,,,4096.0,,15511.0,41807.6,57359.0,718.0,1869.3,12160.7,24893.3
1042.8,0,14,27,86,4344,1.28525,3.6156,0.0002500000000000001,0.39239,0.0502,0.38062,0.0811,0.0,4096.0,False,10654.0,40927.6,51812.2,702.8,1896.8,11462.6,24893.3
