wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
49.8,0,0,0,19,76,3.15706,23.5014,0.001,,,,,4096.0,,27806.3,21960.0,49776.5,666.1,1625.3,12966.3,24893.3
88.13,0,1,1,20,156,3.36492,28.9311,0.0,2.21205,0.72414,2.04115,0.44994,4096.0,False,12638.6,25436.0,38316.5,670.6,1632.9,13060.0,24893.3
120.75,0,1,2,21,240,3.69947,40.4257,0.0,,,,,4096.0,,5243.1,27366.7,32621.2,675.2,1640.8,12155.3,24893.3
158.7,0,2,3,22,328,2.83762,17.0751,0.001,2.33926,0.5177,2.11656,0.85107,4096.0,False,8801.4,28920.3,37934.6,670.6,1648.4,10924.9,24893.3
198.9,0,2,4,23,420,1.91072,6.758,0.001,,,,,4096.0,,18928.2,21258.3,40198.8,675.2,1647.2,13014.2,24893.3
232.03,0,3,5,24,516,3.55177,34.8749,0.000992403876506104,1.83959,0.42242,1.62183,0.7585,4096.0,False,6743.0,26146.4,33120.8,670.6,1654.8,12751.0,24893.3
271.72,0,3,6,25,616,2.25528,9.5379,0.000992403876506104,,,,,4096.0,,7378.9,32293.1,39685.3,675.2,1653.6,12220.0,24893.3
311.55,0,4,7,25,716,1.81594,6.1469,0.0009698463103929542,1.1965,0.27964,1.03546,0.53031,4096.0,False,9908.3,29694.8,39820.7,670.6,1658.0,12886.8,24893.3
341.15,0,4,8,25,816,2.03937,7.6858,0.0009698463103929542,,,,,4096.0,,4532.2,25053.6,29597.0,675.2,1653.6,12914.1,24893.3
376.7,0,5,9,26,920,1.74327,5.716,0.0009330127018922195,0.96607,0.29166,0.72808,0.56403,4096.0,False,6152.6,29118.0,35540.1,670.6,1661.2,10667.6,24893.3
447.16,0,5,10,27,1028,1.95175,7.041,0.0009330127018922195,,,,,4096.0,,29851.1,40550.9,70460.9,675.2,1660.0,12509.5,24893.3
487.97,0,6,11,27,1136,1.96682,7.1479,0.000883022221559489,1.05766,0.51898,0.60044,0.69912,4096.0,False,7487.2,33024.4,40792.4,670.6,1664.4,12788.0,24893.3
526.64,0,6,12,28,1248,1.63329,5.1207,0.000883022221559489,,,,,4096.0,,7536.3,31065.9,38670.5,675.2,1663.2,12166.8,24893.3
566.76,0,7,13,30,1368,1.71668,5.566,0.0008213938048432696,0.99683,0.54213,0.53448,0.64351,4096.0,False,9948.5,29883.3,40102.6,670.6,1674.0,12810.1,24893.3
602.5,0,7,14,31,1492,1.547,4.6973,0.0008213938048432696,,,,,4096.0,,8104.7,27568.6,35739.7,675.2,1672.9,12564.2,24893.3
642.03,0,8,15,33,1624,1.37638,3.9605,0.00075,0.42412,0.06073,0.40183,0.12135,4096.0,False,10758.3,28482.1,39519.8,670.6,1683.7,12691.7,24893.3
678.94,0,8,16,35,1764,1.13471,3.1103,0.00075,,,,,4096.0,,11860.2,25029.1,36911.0,675.2,1685.7,12365.3,24893.3
716.42,0,9,17,37,1912,1.30577,3.6905,0.0006710100716628344,0.45761,0.07105,0.43089,0.13671,4096.0,False,13154.4,24072.9,37469.6,670.6,1696.5,12545.9,24893.3
761.11,0,9,18,38,2064,1.9244,6.851,0.0006710100716628344,,,,,4096.0,,15357.1,29301.9,44680.4,675.2,1695.3,12836.4,24893.3
798.98,0,10,19,42,2232,1.24158,3.4611,0.0005868240888334653,0.39967,0.09557,0.35146,0.16456,4096.0,False,11173.5,26452.5,37865.9,670.6,1712.5,12762.9,24893.3
838.97,0,10,20,45,2412,1.26946,3.5589,0.0005868240888334653,,,,,4096.0,,8599.0,31349.0,39980.2,675.2,1717.8,12689.8,24893.3
876.14,0,11,21,51,2616,1.60135,4.9597,0.0005,0.3027,0.04183,0.27689,0.11492,4096.0,False,8522.6,28400.8,37162.9,670.6,1741.4,12086.2,24893.3
938.3,0,11,22,56,2840,1.60197,4.9628,0.0005,,,,,4096.0,,25344.4,36771.1,62156.1,675.2,1753.1,12776.9,24893.3
988.14,0,12,23,66,3104,1.93317,6.9114,0.00041317591116653486,0.32468,0.05681,0.29267,0.12857,4096.0,False,11614.4,37950.2,49828.3,670.6,1789.6,12581.8,24893.3
1042.62,0,12,24,70,3384,1.43862,4.2149,0.00041317591116653486,,,,,4096.0,,12563.7,41863.6,54477.1,675.2,1798.0,12376.1,24893.3
1100.48,0,13,25,72,3672,1.59081,4.9077,0.0003289899283371657,0.26396,0.05716,0.23614,0.10319,4096.0,False,14607.2,42956.3,57849.3,670.6,1808.8,12162.3,24893.3
1148.91,0,13,26,82,4000,0.95276,2.5929,0.0003289899283371657,,,,,4096.0,,10536.9,37841.9,48426.8,675.2,1836.5,12428.0,24893.3
1192.93,0,14,27,86,4344,1.34437,3.8358,0.0002500000000000001,0.29882,0.04924,0.27246,0.11241,4096.0,False,10016.6,33714.0,44003.3,670.6,1853.7,12090.9,24893.3
1253.56,0,14,28,95,4724,1.06097,2.8892,0.0002500000000000001,,,,,4096.0,,17170.2,43403.3,60625.6,675.2,1878.2,12552.7,24893.3
1321.33,0,15,29,103,5136,1.51923,4.5687,0.0001786061951567303,0.22044,0.03504,0.19705,0.0924,4096.0,False,13238.3,54282.6,67767.5,670.6,1908.3,11706.1,24893.3
1378.3,0,15,30,108,5568,1.45015,4.2637,0.0001786061951567303,,,,,4096.0,,14945.4,41955.1,56961.8,675.2,1919.9,12126.6,24893.3
1449.62,0,16,31,113,6020,1.3811,3.9793,0.00011697777844051105,0.19632,0.03548,0.17336,0.08502,4096.0,False,14386.0,56678.4,71311.4,670.6,1940.4,11882.2,24893.3
1514.43,0,16,32,126,6524,1.33281,3.7917,0.00011697777844051105,,,,,4096.0,,14145.3,50599.0,64810.8,675.2,1977.7,12212.6,24893.3
1596.46,0,17,33,148,7116,1.59395,4.9231,6.698729810778065e-05,0.21208,0.04935,0.18664,0.08779,4096.0,False,17265.0,64511.8,82018.2,670.6,2052.7,11899.4,24893.3
1684.58,0,17,34,165,7776,1.62676,5.0874,6.698729810778065e-05,,,,,4096.0,,20211.4,67835.4,88123.2,675.2,2102.9,11221.9,24893.3
1807.57,0,18,35,227,8684,1.47715,4.3805,3.0153689607045842e-05,0.16602,0.02797,0.1462,0.07352,4096.0,False,31888.8,90780.7,122981.2,670.6,2306.5,11387.4,24893.3
1926.08,0,18,36,242,9652,1.66633,5.2927,3.0153689607045842e-05,,,,,4096.0,,26138.2,92259.5,118503.3,675.2,2350.3,11486.6,24893.3
1992.49,0,19,37,256,10164,1.13635,3.1154,7.59612349389599e-06,0.1388,0.02944,0.12144,0.06041,4096.0,False,17180.0,48924.9,66407.7,670.6,1990.4,12429.2,24893.3
