t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,1281.2,1308.0,1688,3,75,3349.3
0.144,686.8,1308.0,1688,2,75,3380.6
0.261,847.8,1308.0,1688,5,75,3423.2
0.379,847.8,1308.0,1688,5,75,3461.8
0.497,847.8,1308.0,1688,3,75,3496.7
0.616,847.8,1308.0,1688,4,75,3529.8
0.734,977.3,1308.0,1688,4,75,3567.7
0.852,977.3,1308.0,1688,4,75,3607.7
0.971,977.3,1308.0,1688,3,75,3645.2
1.09,1106.8,1448.0,1828,4,75,3683.4
1.208,1106.8,1448.0,1828,4,75,3723.7
1.327,1106.8,1448.0,1828,5,75,3763.3
1.446,1106.8,1448.0,1828,3,75,3799.5
1.565,687.7,1568.0,1948,3,79,3809.2
1.683,719.2,1568.0,1948,51,76,3849.0
1.802,848.7,1568.0,1948,5,75,3887.7
1.921,848.7,1568.0,1948,3,75,3930.7
2.04,848.7,1568.0,1948,3,75,3973.8
2.158,978.2,1568.0,1948,5,75,4015.7
2.277,978.2,1568.0,1948,5,75,4057.2
2.395,978.2,1568.0,1948,5,75,4099.1
2.514,1107.7,1568.0,1948,3,75,4139.4
2.633,1107.7,1568.0,1948,5,75,4181.7
2.752,1107.7,1568.0,1948,5,75,4221.7
2.87,687.8,1568.0,1948,5,76,4249.1
2.988,687.8,1568.0,1948,51,77,4274.2
3.107,848.8,1568.0,1948,5,76,4313.7
3.225,848.8,1568.0,1948,5,75,4359.1
3.343,848.8,1568.0,1948,5,75,4407.0
3.462,978.3,1568.0,1948,4,75,4452.9
3.58,978.3,1568.0,1948,4,75,4499.6
3.698,978.3,1568.0,1948,5,75,4543.8
3.817,1107.8,1568.0,1948,3,75,4580.8
3.936,1107.8,1568.0,1948,6,75,4625.4
4.054,1107.8,1568.0,1948,6,75,4681.2
4.172,687.9,1568.0,1948,10,79,4698.8
4.291,719.4,1568.0,1948,49,76,4745.4
4.41,848.9,1568.0,1948,49,75,4780.1
4.528,848.9,1568.0,1948,3,75,4823.8
4.646,848.9,1568.0,1948,5,75,4876.1
4.764,978.4,1568.0,1948,5,75,4923.4
4.882,978.4,1568.0,1948,5,75,4969.5
5.001,1107.9,1568.0,1948,4,75,5014.3
5.12,1107.9,1568.0,1948,5,75,5053.1
5.238,1107.9,1568.0,1948,5,75,5090.1
5.356,1107.9,1568.0,1948,5,75,5129.8
5.475,687.9,1568.0,1948,28,78,5143.0
5.594,719.5,1568.0,1948,27,76,5184.1
5.712,849.0,1568.0,1948,27,75,5224.9
