wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
51.13,0,0,0,19,76,3.15703,23.5008,0.001,,,,,4096.0,,25250.0,25846.0,51105.7,22.4,964.6,12452.1,24893.3
99.27,0,1,1,20,156,3.36583,28.9575,0.0,2.87944,0.0,2.87944,0.0,4096.0,False,14087.6,33928.7,48130.4,25.5,970.7,12765.4,24893.3
136.29,0,1,2,21,240,3.43374,30.9925,0.0,,,,,4096.0,,10531.0,26471.7,37011.9,28.6,977.0,12105.5,24893.3
177.02,0,2,3,22,328,2.6767,14.537,0.001,2.19872,0.0,2.19872,0.0,4096.0,False,18324.5,22253.1,40719.4,25.5,983.1,10987.7,24893.3
218.19,0,2,4,23,420,1.81528,6.1428,0.001,,,,,4096.0,,19870.1,21286.6,41170.1,28.6,983.3,12661.3,24893.3
343.14,0,3,5,24,516,3.36486,28.9294,0.000992403876506104,1.73776,0.0,1.73776,0.0,4096.0,False,13002.4,111781.2,124938.8,25.5,989.4,12972.4,24893.3
373.39,0,3,6,25,616,2.07741,7.9838,0.000992403876506104,,,,,4096.0,,9094.9,21145.8,30247.9,28.6,989.5,12925.9,24893.3
409.3,0,4,7,25,716,1.81412,6.1357,0.0009698463103929542,0.86641,0.0,0.86641,0.0,4096.0,False,8335.4,27389.3,35893.1,25.5,992.5,12414.3,24893.3
447.03,0,4,8,25,816,2.04286,7.7126,0.0009698463103929542,,,,,4096.0,,9457.8,28265.0,37731.7,28.6,989.5,11637.7,24893.3
493.89,0,5,9,26,920,1.79962,6.0473,0.0009330127018922195,0.8632,0.0,0.8632,0.0,4096.0,False,20664.2,26017.3,46852.8,25.5,995.6,12965.2,24893.3
528.7,0,5,10,27,1028,2.12071,8.337,0.0009330127018922195,,,,,4096.0,,4807.5,29959.5,34808.6,28.6,995.7,12992.4,24893.3
563.34,0,6,11,27,1136,2.05973,7.8439,0.000883022221559489,0.60798,0.0,0.60798,0.0,4096.0,False,5137.9,29367.3,34623.1,25.5,998.7,12628.8,24893.3
600.35,0,6,12,28,1248,1.90108,6.6931,0.000883022221559489,,,,,4096.0,,8227.7,28754.0,37001.2,28.6,998.8,12893.1,24893.3
631.17,0,7,13,30,1368,1.9271,6.8696,0.0008213938048432696,0.51745,0.0,0.51745,0.0,4096.0,False,4284.7,26404.5,30814.1,25.5,1008.0,12689.0,24893.3
673.38,0,7,14,31,1492,1.86455,6.453,0.0008213938048432696,,,,,4096.0,,16924.2,25205.6,42204.5,28.6,1008.2,12392.9,24893.3
713.21,0,8,15,33,1624,1.63027,5.1053,0.00075,0.49247,0.0,0.49247,0.0,4096.0,False,11893.2,27732.3,39822.8,25.5,1017.4,12601.8,24893.3
752.43,0,8,16,35,1764,1.32544,3.7638,0.00075,,,,,4096.0,,11963.6,27210.9,39215.2,28.6,1020.7,12854.5,24893.3
787.72,0,9,17,37,1912,1.54517,4.6888,0.0006710100716628344,0.49179,0.0,0.49179,0.0,4096.0,False,10997.2,24140.0,35276.7,25.5,1029.9,12857.2,24893.3
823.22,0,9,18,38,2064,2.15211,8.603,0.0006710100716628344,,,,,4096.0,,8980.7,26500.0,35504.8,28.6,1030.0,12887.0,24893.3
866.45,0,10,19,42,2232,1.44429,4.2388,0.0005868240888334653,0.42755,0.0,0.42755,0.0,4096.0,False,7931.9,35135.1,43211.9,25.5,1045.4,12682.3,24893.3
904.05,0,10,20,45,2412,1.43327,4.1924,0.0005868240888334653,,,,,4096.0,,14788.7,22785.4,37603.8,28.6,1051.8,12909.3,24893.3
955.95,0,11,21,51,2616,1.7992,6.0448,0.0005,0.34889,0.0,0.34889,0.0,4096.0,False,9963.8,41763.3,51882.0,25.5,1073.5,11548.2,24893.3
1000.51,0,11,22,56,2840,1.7526,5.7696,0.0005,,,,,4096.0,,13326.2,31186.7,44555.8,28.6,1086.1,12769.7,24893.3
1050.06,0,12,23,66,3104,2.04426,7.7234,0.00041317591116653486,0.32707,0.0,0.32707,0.0,4096.0,False,10231.0,39166.2,49544.0,25.5,1120.2,12639.4,24893.3
1093.04,0,12,24,70,3384,1.58128,4.8612,0.00041317591116653486,,,,,4096.0,,9397.4,33524.4,42972.6,28.6,1129.7,12667.0,24893.3
1156.47,0,13,25,72,3672,1.71578,5.561,0.0003289899283371657,0.30432,0.0,0.30432,0.0,4096.0,False,14755.1,48503.2,63420.0,25.5,1138.9,12005.1,24893.3
1205.71,0,13,26,82,4000,1.04652,2.8477,0.0003289899283371657,,,,,4096.0,,14212.5,34968.1,49235.8,28.6,1167.1,12501.1,24893.3
1263.85,0,14,27,86,4344,1.43327,4.1924,0.0002500000000000001,0.24135,0.0,0.24135,0.0,4096.0,False,10925.7,47060.6,58137.5,25.5,1182.6,11345.9,24893.3
1317.24,0,14,28,95,4724,1.15895,3.1866,0.0002500000000000001,,,,,4096.0,,16070.5,37249.5,53380.3,28.6,1207.6,12587.3,24893.3
1371.84,0,15,29,103,5136,1.60236,4.9647,0.0001786061951567303,0.24767,0.0,0.24767,0.0,4096.0,False,12370.0,42091.7,54596.2,25.5,1235.6,12528.6,24893.3
1426.49,0,15,30,108,5568,1.51556,4.552,0.0001786061951567303,,,,,4096.0,,11262.5,43337.3,54645.1,28.6,1248.2,12239.6,24893.3
1484.3,0,16,31,113,6020,1.46104,4.3105,0.00011697777844051105,0.22092,0.0,0.22092,0.0,4096.0,False,14208.6,43427.9,57800.4,25.5,1266.7,12157.6,24893.3
1548.25,0,16,32,126,6524,1.39647,4.0409,0.00011697777844051105,,,,,4096.0,,12497.9,51399.9,63954.9,28.6,1304.3,11757.7,24893.3
1631.62,0,17,33,148,7116,1.65143,5.2144,6.698729810778065e-05,0.23025,0.0,0.23025,0.0,4096.0,False,18004.1,65193.5,83358.7,25.5,1375.9,11971.1,24893.3
1710.2,0,17,34,165,7776,1.66943,5.3091,6.698729810778065e-05,,,,,4096.0,,17234.6,61276.4,78575.2,28.6,1426.0,10943.1,24893.3
1836.58,0,18,35,227,8684,1.51727,4.5598,3.0153689607045842e-05,0.18531,0.0,0.18531,0.0,4096.0,False,39497.8,86697.3,126372.0,25.5,1622.4,11571.0,24893.3
1930.52,0,18,36,242,9652,1.70222,5.4861,3.0153689607045842e-05,,,,,4096.0,,22826.9,70986.9,93942.5,28.6,1666.3,11230.8,24893.3
1992.33,0,19,37,256,10164,1.1599,3.1896,7.59612349389599e-06,0.17718,0.0,0.17718,0.0,4096.0,False,15834.3,45791.9,61786.3,25.5,1315.4,12172.8,24893.3
