wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
44.28,0,0,0,19,76,3.15607,23.4781,0.001,,,,,4096.0,,21465.2,22784.5,44258.3,639.5,1587.9,12777.0,24893.3
81.23,0,1,1,20,156,3.36498,28.9329,0.0,0.72441,0.72441,0.0,0.0,4096.0,False,16805.2,19903.6,36936.1,643.1,1594.0,12893.0,24893.3
118.44,0,1,2,21,240,3.96127,52.5238,0.0,,,,,4096.0,,18638.2,18480.3,37204.9,646.6,1600.3,12198.8,24893.3
156.07,0,2,3,22,328,3.07904,21.7375,0.001,0.58064,0.58064,0.0,0.0,4096.0,False,16652.7,20762.0,37616.8,643.1,1606.4,12775.5,24893.3
195.77,0,2,4,23,420,2.13196,8.4314,0.001,,,,,4096.0,,19001.8,20614.2,39695.8,646.6,1605.6,11996.7,24893.3
238.09,0,3,5,24,516,3.77754,43.7086,0.000992403876506104,0.61274,0.61274,0.0,0.0,4096.0,False,16426.5,25596.2,42308.8,643.1,1611.6,12350.9,24893.3
276.08,0,3,6,25,616,2.98148,19.717,0.000992403876506104,,,,,4096.0,,18406.5,19572.2,37988.9,646.6,1610.9,11822.1,24893.3
321.62,0,4,7,25,716,2.48451,11.9952,0.0009698463103929542,0.6119,0.6119,0.0,0.0,4096.0,False,24036.4,21291.4,45530.9,643.1,1614.3,13010.5,24893.3
352.78,0,4,8,25,816,3.20754,24.7182,0.0009698463103929542,,,,,4096.0,,10441.0,20698.1,31153.5,646.6,1610.9,13132.8,24893.3
393.82,0,5,9,26,920,2.42581,11.3114,0.0009330127018922195,0.50436,0.50436,0.0,0.0,4096.0,False,14721.1,26101.1,41032.4,643.1,1616.9,12701.5,24893.3
424.99,0,5,10,27,1028,2.8149,16.6915,0.0009330127018922195,,,,,4096.0,,7690.8,23463.3,31166.4,646.6,1616.2,12589.5,24893.3
464.52,0,6,11,27,1136,3.08581,21.8852,0.000883022221559489,0.45838,0.45838,0.0,0.0,4096.0,False,13073.4,26175.8,39520.0,643.1,1619.6,12751.6,24893.3
499.96,0,6,12,28,1248,2.79572,16.3744,0.000883022221559489,,,,,4096.0,,12758.8,22603.7,35432.8,646.6,1618.8,12585.0,24893.3
533.71,0,7,13,30,1368,2.84986,17.2853,0.0008213938048432696,0.51588,0.51588,0.0,0.0,4096.0,False,9339.8,24147.0,33746.7,643.1,1627.5,12608.0,24893.3
572.44,0,7,14,31,1492,2.56742,13.0322,0.0008213938048432696,,,,,4096.0,,12621.9,26080.1,38720.7,646.6,1626.7,12966.8,24893.3
602.2,0,8,15,33,1624,2.2795,9.7718,0.00075,0.38144,0.38144,0.0,0.0,4096.0,False,5615.7,23872.7,29753.7,643.1,1635.4,13006.0,24893.3
635.21,0,8,16,35,1764,2.47025,11.8254,0.00075,,,,,4096.0,,5824.9,27159.4,33002.2,646.6,1637.3,10777.0,24893.3
688.7,0,9,17,37,1912,2.40323,11.0588,0.0006710100716628344,0.47233,0.47233,0.0,0.0,4096.0,False,29318.9,23950.4,53482.3,643.1,1646.0,12183.3,24893.3
729.98,0,9,18,38,2064,2.81621,16.7135,0.0006710100716628344,,,,,4096.0,,13320.1,27929.2,41274.2,646.6,1645.3,12576.3,24893.3
770.87,0,10,19,42,2232,1.94527,6.9955,0.0005868240888334653,0.3017,0.3017,0.0,0.0,4096.0,False,9672.2,30957.5,40883.9,643.1,1659.2,12811.1,24893.3
804.66,0,10,20,45,2412,2.2106,9.1212,0.0005868240888334653,,,,,4096.0,,6500.2,27257.0,33785.4,646.6,1663.8,12679.9,24893.3
843.41,0,11,21,51,2616,2.55869,12.9189,0.0005,0.39002,0.39002,0.0,0.0,4096.0,False,15628.9,22879.2,38737.6,643.1,1683.0,12221.7,24893.3
900.96,0,11,22,56,2840,2.32758,10.2531,0.0005,,,,,4096.0,,15465.2,42041.8,57545.9,646.6,1692.9,11161.6,24893.3
945.85,0,12,23,66,3104,2.51633,12.3831,0.00041317591116653486,0.27555,0.27555,0.0,0.0,4096.0,False,15395.6,29224.8,44870.7,643.1,1722.7,12595.0,24893.3
989.08,0,12,24,70,3384,2.04476,7.7273,0.00041317591116653486,,,,,4096.0,,11826.8,31359.1,43231.6,646.6,1729.9,12132.0,24893.3
