wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
37.28,0,0,0,19,76,3.15674,23.4938,0.001,,,,,,4096.0,,18791.4,18446.5,37247.2,19.4,963.0,12770.4,24893.3
70.72,0,1,1,20,156,3.36477,28.9268,0.0,2.14119,0.0,2.14119,0.0,0.0,4096.0,False,10033.9,22541.0,33422.0,20.9,967.6,13202.0,24893.3
93.42,0,1,2,21,240,3.58135,35.922,0.0,,,,,,4096.0,,4061.9,18625.1,22696.2,22.5,972.4,13083.8,24893.3
114.09,0,2,3,22,328,2.77364,16.0169,0.001,1.83005,0.0,1.83005,0.0,0.0,4096.0,False,3424.9,17164.9,20668.4,20.9,977.0,13137.1,24893.3
137.68,0,2,4,23,420,1.8966,6.6632,0.001,,,,,,4096.0,,7853.8,15716.4,23588.0,22.5,978.6,13227.5,24893.3
160.9,0,3,5,24,516,3.47146,32.1835,0.000992403876506104,1.45571,0.0,1.45571,0.0,0.0,4096.0,False,4356.1,18779.0,23214.6,20.9,983.2,13045.4,24893.3
183.58,0,3,6,25,616,2.2788,9.765,0.000992403876506104,,,,,,4096.0,,5071.1,17590.1,22673.5,22.5,984.8,13166.7,24893.3
210.07,0,4,7,25,716,1.8814,6.5627,0.0009698463103929542,1.01742,0.0,1.01742,0.0,0.0,4096.0,False,8812.4,17605.4,26487.5,20.9,986.3,13342.8,24893.3
238.83,0,4,8,25,816,2.15411,8.6203,0.0009698463103929542,,,,,,4096.0,,5354.2,23374.8,28757.1,22.5,984.8,13099.1,24893.3
263.26,0,5,9,26,920,1.87488,6.52,0.0009330127018922195,0.71159,0.0,0.71159,0.0,0.0,4096.0,False,3805.4,20512.1,24424.7,20.9,989.4,11910.3,24893.3
290.3,0,5,10,27,1028,2.1896,8.9316,0.0009330127018922195,,,,,,4096.0,,10052.7,16965.7,27037.4,22.5,991.0,13184.7,24893.3
313.58,0,6,11,27,1136,2.1725,8.7802,0.000883022221559489,0.6049,0.0,0.6049,0.0,0.0,4096.0,False,4302.3,18893.7,23272.9,20.9,992.5,12698.7,24893.3
339.22,0,6,12,28,1248,1.97871,7.2334,0.000883022221559489,,,,,,4096.0,,8454.2,17162.1,25630.4,22.5,994.2,12801.3,24893.3
366.06,0,7,13,30,1368,2.02568,7.5812,0.0008213938048432696,0.555,0.0,0.555,0.0,0.0,4096.0,False,7662.3,19094.6,26835.3,20.9,1001.9,13162.8,24893.3
394.21,0,7,14,31,1492,1.89693,6.6654,0.0008213938048432696,,,,,,4096.0,,8459.1,19665.7,28144.1,22.5,1003.5,13078.2,24893.3
420.17,0,8,15,33,1624,1.69281,5.4347,0.00075,0.42664,0.0,0.42664,0.0,0.0,4096.0,False,5068.3,20806.2,25960.3,20.9,1011.2,12773.0,24893.3
446.79,0,8,16,35,1764,1.44559,4.2443,0.00075,,,,,,4096.0,,7438.3,19166.0,26620.7,22.5,1016.0,12944.4,24893.3
476.79,0,9,17,37,1912,1.61043,5.005,0.0006710100716628344,0.4479,0.0,0.4479,0.0,0.0,4096.0,False,9850.4,20056.9,29990.5,20.9,1023.7,13110.4,24893.3
505.2,0,9,18,38,2064,2.22243,9.2298,0.0006710100716628344,,,,,,4096.0,,7534.9,20840.4,28404.6,22.5,1025.3,12996.1,24893.3
544.57,0,10,19,42,2232,1.50157,4.4887,0.0005868240888334653,0.37732,0.0,0.37732,0.0,0.0,4096.0,False,5606.8,33644.1,39366.0,20.9,1039.3,12504.0,24893.3
