layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.913425,1.000996
0,q_proj,4,8.296875,8.305121,1.000994
0,q_proj,8,5.824219,5.830003,1.000993
0,q_proj,12,4.582031,4.58658,1.000993
0,q_proj,16,3.972656,3.976599,1.000992
0,q_proj,20,3.65625,3.659878,1.000992
0,q_proj,24,3.376953,3.380303,1.000992
0,q_proj,28,3.222656,3.225853,1.000992
0,q_proj,32,3.021484,3.024481,1.000992
0,q_proj,36,2.916016,2.918907,1.000992
0,q_proj,40,2.849609,2.852435,1.000992
0,q_proj,44,2.767578,2.770322,1.000991
0,q_proj,48,2.728516,2.731221,1.000992
0,q_proj,52,2.667969,2.670614,1.000991
0,q_proj,56,2.628906,2.631512,1.000991
0,q_proj,60,2.591797,2.594366,1.000991
0,q_proj,64,2.566406,2.56895,1.000991
0,q_proj,68,2.529297,2.531804,1.000991
0,q_proj,72,2.503906,2.506388,1.000991
0,q_proj,76,2.46875,2.471197,1.000991
0,q_proj,80,2.449219,2.451646,1.000991
0,q_proj,84,2.410156,2.412545,1.000991
0,q_proj,88,2.386719,2.389084,1.000991
0,q_proj,92,2.357422,2.359758,1.000991
0,q_proj,96,2.324219,2.326522,1.000991
0,q_proj,100,2.294922,2.297196,1.000991
0,q_proj,104,2.259766,2.262005,1.000991
0,q_proj,108,2.234375,2.236589,1.000991
0,q_proj,112,2.199219,2.201398,1.000991
0,q_proj,116,2.169922,2.172072,1.000991
0,q_proj,120,2.138672,2.140791,1.000991
0,q_proj,124,2.115234,2.11733,1.000991
0,k_proj,0,4.175781,4.178663,1.00069
0,k_proj,4,2.875,2.876961,1.000682
0,k_proj,8,2.638672,2.640467,1.00068
0,k_proj,12,2.572266,2.574014,1.00068
0,k_proj,16,2.488281,2.489971,1.000679
0,k_proj,20,2.455078,2.456744,1.000679
0,k_proj,24,2.423828,2.425472,1.000678
0,k_proj,28,2.386719,2.388337,1.000678
0,k_proj,32,2.373047,2.374656,1.000678
0,k_proj,36,2.34375,2.345338,1.000678
0,k_proj,40,2.328125,2.329703,1.000678
0,k_proj,44,2.298828,2.300385,1.000677
0,k_proj,48,2.28125,2.282795,1.000677
0,k_proj,52,2.259766,2.261295,1.000677
0,k_proj,56,2.238281,2.239796,1.000677
0,k_proj,60,2.226562,2.228069,1.000677
0,k_proj,64,2.207031,2.208524,1.000676
0,k_proj,68,2.185547,2.187025,1.000676
0,k_proj,72,2.158203,2.159662,1.000676
0,k_proj,76,2.138672,2.140117,1.000676
0,k_proj,80,2.105469,2.106891,1.000675
0,k_proj,84,2.076172,2.077574,1.000675
0,k_proj,88,2.042969,2.044347,1.000675
0,k_proj,92,1.999023,2.000371,1.000674
0,k_proj,96,1.958008,1.959327,1.000674
0,k_proj,100,1.914062,1.915351,1.000673
0,k_proj,104,1.869141,1.870398,1.000673
0,k_proj,108,1.820312,1.821536,1.000672
0,k_proj,112,1.78125,1.782447,1.000672
0,k_proj,116,1.750977,1.752152,1.000671
0,k_proj,120,1.724609,1.725767,1.000671
0,k_proj,124,1.710938,1.712085,1.000671
0,v_proj,0,1.24707,1.243817,0.997391
0,v_proj,4,0.82373,0.821583,0.997393
0,v_proj,8,0.696777,0.694961,0.997394
0,v_proj,12,0.658203,0.656488,0.997394
0,v_proj,16,0.650391,0.648696,0.997394
0,v_proj,20,0.644531,0.642852,0.997394
0,v_proj,24,0.639648,0.637981,0.997394
0,v_proj,28,0.635254,0.633598,0.997394
0,v_proj,32,0.631348,0.629702,0.997394
0,v_proj,36,0.627441,0.625806,0.997394
0,v_proj,40,0.623535,0.62191,0.997394
0,v_proj,44,0.619629,0.618014,0.997394
0,v_proj,48,0.615723,0.614118,0.997394
0,v_proj,52,0.612793,0.611196,0.997394
0,v_proj,56,0.60791,0.606326,0.997394
0,v_proj,60,0.603516,0.601943,0.997394
0,v_proj,64,0.600586,0.599021,0.997394
0,v_proj,68,0.596191,0.594638,0.997394
0,v_proj,72,0.59082,0.589281,0.997394
0,v_proj,76,0.587402,0.585872,0.997394
0,v_proj,80,0.583496,0.581976,0.997394
0,v_proj,84,0.57959,0.57808,0.997394
0,v_proj,88,0.57666,0.575158,0.997394
0,v_proj,92,0.572266,0.570774,0.997394
0,v_proj,96,0.567383,0.565904,0.997394
0,v_proj,100,0.562012,0.560547,0.997394
0,v_proj,104,0.557617,0.556164,0.997395
0,v_proj,108,0.552734,0.551294,0.997395
0,v_proj,112,0.548828,0.547398,0.997395
0,v_proj,116,0.542969,0.541554,0.997395
0,v_proj,120,0.537109,0.53571,0.997395
0,v_proj,124,0.533691,0.532301,0.997395
0,o_proj,0,5.992188,5.989659,0.999578
0,o_proj,4,3.150391,3.149065,0.999579
0,o_proj,8,2.304688,2.30372,0.99958
0,o_proj,12,1.967773,1.966948,0.99958
0,o_proj,16,1.761719,1.76098,0.999581
0,o_proj,20,1.685547,1.68484,0.999581
0,o_proj,24,1.599609,1.598939,0.999581
0,o_proj,28,1.535156,1.534513,0.999581
0,o_proj,32,1.500977,1.500347,0.999581
0,o_proj,36,1.467773,1.467158,0.999581
0,o_proj,40,1.444336,1.443731,0.999581
0,o_proj,44,1.419922,1.419327,0.999581
0,o_proj,48,1.404297,1.403708,0.999581
0,o_proj,52,1.379883,1.379305,0.999581
0,o_proj,56,1.368164,1.367591,0.999581
0,o_proj,60,1.348633,1.348068,0.999581
0,o_proj,64,1.338867,1.338306,0.999581
0,o_proj,68,1.326172,1.325616,0.999581
0,o_proj,72,1.314453,1.313902,0.999581
0,o_proj,76,1.306641,1.306093,0.999581
0,o_proj,80,1.295898,1.295356,0.999581
0,o_proj,84,1.286133,1.285594,0.999581
0,o_proj,88,1.276367,1.275833,0.999581
0,o_proj,92,1.266602,1.266071,0.999581
0,o_proj,96,1.259766,1.259238,0.999581
0,o_proj,100,1.250977,1.250453,0.999581
0,o_proj,104,1.244141,1.24362,0.999581
0,o_proj,108,1.236328,1.23581,0.999581
0,o_proj,112,1.225586,1.225073,0.999581
0,o_proj,116,1.21875,1.21824,0.999581
0,o_proj,120,1.208008,1.207502,0.999581
0,o_proj,124,1.200195,1.199693,0.999581
1,q_proj,0,10.46875,10.459436,0.99911
1,q_proj,4,6.605469,6.599596,0.999111
1,q_proj,8,5.5,5.495111,0.999111
1,q_proj,12,4.859375,4.855056,0.999111
1,q_proj,16,4.640625,4.636501,0.999111
1,q_proj,20,4.285156,4.281348,0.999111
1,q_proj,24,4.042969,4.039376,0.999111
1,q_proj,28,3.804688,3.801307,0.999112
1,q_proj,32,3.712891,3.709592,0.999112
1,q_proj,36,3.558594,3.555432,0.999112
1,q_proj,40,3.449219,3.446155,0.999112
1,q_proj,44,3.361328,3.358342,0.999112
1,q_proj,48,3.257812,3.254919,0.999112
1,q_proj,52,3.162109,3.159301,0.999112
1,q_proj,56,3.085938,3.083196,0.999112
1,q_proj,60,3.0,2.997335,0.999112
1,q_proj,64,2.925781,2.923183,0.999112
1,q_proj,68,2.863281,2.860738,0.999112
1,q_proj,72,2.816406,2.813905,0.999112
1,q_proj,76,2.744141,2.741704,0.999112
1,q_proj,80,2.6875,2.685113,0.999112
1,q_proj,84,2.632812,2.630475,0.999112
1,q_proj,88,2.574219,2.571933,0.999112
1,q_proj,92,2.523438,2.521197,0.999112
1,q_proj,96,2.476562,2.474363,0.999112
1,q_proj,100,2.425781,2.423627,0.999112
1,q_proj,104,2.382812,2.380697,0.999112
1,q_proj,108,2.316406,2.31435,0.999112
1,q_proj,112,2.275391,2.273371,0.999112
1,q_proj,116,2.21875,2.21678,0.999112
1,q_proj,120,2.167969,2.166044,0.999112
1,q_proj,124,2.134766,2.13287,0.999112
1,k_proj,0,4.707031,4.716675,1.002049
1,k_proj,4,3.84375,3.851574,1.002036
1,k_proj,8,3.541016,3.548204,1.00203
1,k_proj,12,3.230469,3.237008,1.002024
1,k_proj,16,3.083984,3.090217,1.002021
1,k_proj,20,2.882812,2.888626,1.002017
1,k_proj,24,2.794922,2.800552,1.002015
1,k_proj,28,2.685547,2.69095,1.002012
1,k_proj,32,2.550781,2.555905,1.002009
1,k_proj,36,2.494141,2.499147,1.002007
1,k_proj,40,2.410156,2.414988,1.002005
1,k_proj,44,2.300781,2.305387,1.002002
1,k_proj,48,2.210938,2.215358,1.001999
1,k_proj,52,2.164062,2.168386,1.001998
1,k_proj,56,2.121094,2.125328,1.001996
1,k_proj,60,2.064453,2.068571,1.001995
1,k_proj,64,2.0,2.003985,1.001993
1,k_proj,68,1.941406,1.945271,1.001991
1,k_proj,72,1.889648,1.893407,1.001989
1,k_proj,76,1.852539,1.856221,1.001988
1,k_proj,80,1.813477,1.817078,1.001986
1,k_proj,84,1.767578,1.771086,1.001984
1,k_proj,88,1.724609,1.728029,1.001983
1,k_proj,92,1.68457,1.687908,1.001981
1,k_proj,96,1.658203,1.661487,1.00198
1,k_proj,100,1.615234,1.61843,1.001979
1,k_proj,104,1.578125,1.581245,1.001977
1,k_proj,108,1.53418,1.53721,1.001975
1,k_proj,112,1.478516,1.481432,1.001973
1,k_proj,116,1.442383,1.445226,1.001971
1,k_proj,120,1.40918,1.411955,1.00197
1,k_proj,124,1.376953,1.379663,1.001968
1,v_proj,0,1.456055,1.454601,0.999002
1,v_proj,4,1.200195,1.199,0.999004
1,v_proj,8,1.166016,1.164855,0.999004
1,v_proj,12,1.147461,1.146319,0.999004
1,v_proj,16,1.130859,1.129734,0.999005
1,v_proj,20,1.120117,1.119002,0.999005
1,v_proj,24,1.107422,1.10632,0.999005
1,v_proj,28,1.09668,1.095588,0.999005
1,v_proj,32,1.082031,1.080955,0.999005
1,v_proj,36,1.072266,1.071199,0.999005
1,v_proj,40,1.05957,1.058516,0.999005
1,v_proj,44,1.051758,1.050712,0.999005
1,v_proj,48,1.041016,1.03998,0.999005
1,v_proj,52,1.032227,1.0312,0.999006
1,v_proj,56,1.023438,1.02242,0.999006
1,v_proj,60,1.014648,1.01364,0.999006
1,v_proj,64,1.006836,1.005835,0.999006
1,v_proj,68,0.996582,0.995591,0.999006
1,v_proj,72,0.989746,0.988762,0.999006
1,v_proj,76,0.981445,0.98047,0.999006
1,v_proj,80,0.973145,0.972178,0.999006
1,v_proj,84,0.964355,0.963397,0.999006
1,v_proj,88,0.957031,0.95608,0.999006
1,v_proj,92,0.948242,0.9473,0.999007
1,v_proj,96,0.938965,0.938032,0.999007
1,v_proj,100,0.929688,0.928764,0.999007
1,v_proj,104,0.921875,0.920959,0.999007
1,v_proj,108,0.914551,0.913643,0.999007
1,v_proj,112,0.902344,0.901448,0.999007
1,v_proj,116,0.891113,0.890229,0.999007
1,v_proj,120,0.882812,0.881936,0.999007
1,v_proj,124,0.869629,0.868766,0.999008
1,o_proj,0,3.714844,3.719744,1.001319
1,o_proj,4,3.15625,3.160404,1.001316
1,o_proj,8,2.941406,2.945274,1.001315
1,o_proj,12,2.832031,2.835753,1.001314
1,o_proj,16,2.753906,2.757524,1.001314
1,o_proj,20,2.644531,2.648004,1.001313
1,o_proj,24,2.552734,2.556084,1.001312
1,o_proj,28,2.496094,2.499368,1.001312
1,o_proj,32,2.433594,2.436785,1.001311
1,o_proj,36,2.365234,2.368335,1.001311
1,o_proj,40,2.314453,2.317486,1.001311
1,o_proj,44,2.257812,2.260771,1.00131
1,o_proj,48,2.21875,2.221656,1.00131
1,o_proj,52,2.173828,2.176675,1.001309
1,o_proj,56,2.132812,2.135604,1.001309
1,o_proj,60,2.103516,2.106269,1.001309
1,o_proj,64,2.066406,2.06911,1.001309
1,o_proj,68,2.027344,2.029996,1.001308
1,o_proj,72,2.001953,2.004571,1.001308
1,o_proj,76,1.97168,1.974258,1.001308
1,o_proj,80,1.948242,1.950789,1.001307
1,o_proj,84,1.917969,1.920476,1.001307
1,o_proj,88,1.890625,1.893096,1.001307
1,o_proj,92,1.876953,1.879406,1.001307
1,o_proj,96,1.850586,1.853004,1.001306
1,o_proj,100,1.827148,1.829535,1.001306
1,o_proj,104,1.807617,1.809978,1.001306
1,o_proj,108,1.782227,1.784554,1.001306
1,o_proj,112,1.764648,1.766952,1.001306
1,o_proj,116,1.741211,1.743484,1.001305
1,o_proj,120,1.714844,1.717082,1.001305
1,o_proj,124,1.697266,1.69948,1.001305
2,q_proj,0,5.542969,5.538573,0.999207
2,q_proj,4,4.480469,4.476913,0.999206
2,q_proj,8,3.992188,3.989018,0.999206
2,q_proj,12,3.779297,3.776296,0.999206
2,q_proj,16,3.548828,3.546009,0.999206
2,q_proj,20,3.376953,3.37427,0.999206
2,q_proj,24,3.296875,3.294256,0.999206
2,q_proj,28,3.212891,3.210338,0.999205
2,q_proj,32,3.119141,3.116662,0.999205
2,q_proj,36,3.052734,3.050308,0.999205
2,q_proj,40,2.998047,2.995664,0.999205
2,q_proj,44,2.9375,2.935165,0.999205
2,q_proj,48,2.859375,2.857102,0.999205
2,q_proj,52,2.810547,2.808313,0.999205
2,q_proj,56,2.769531,2.767329,0.999205
2,q_proj,60,2.722656,2.720492,0.999205
2,q_proj,64,2.699219,2.697073,0.999205
2,q_proj,68,2.644531,2.642429,0.999205
2,q_proj,72,2.607422,2.605349,0.999205
2,q_proj,76,2.568359,2.566317,0.999205
2,q_proj,80,2.544922,2.542898,0.999205
2,q_proj,84,2.503906,2.501915,0.999205
2,q_proj,88,2.46875,2.466787,0.999205
2,q_proj,92,2.4375,2.435561,0.999205
2,q_proj,96,2.396484,2.394578,0.999205
2,q_proj,100,2.373047,2.371159,0.999205
2,q_proj,104,2.339844,2.337982,0.999205
2,q_proj,108,2.3125,2.31066,0.999204
2,q_proj,112,2.287109,2.28529,0.999204
2,q_proj,116,2.25,2.24821,0.999204
2,q_proj,120,2.230469,2.228694,0.999204
2,q_proj,124,2.199219,2.197469,0.999204
2,k_proj,0,3.027344,3.020202,0.997641
2,k_proj,4,2.621094,2.614937,0.997651
2,k_proj,8,2.443359,2.437631,0.997656
2,k_proj,12,2.353516,2.348004,0.997658
2,k_proj,16,2.269531,2.264222,0.997661
2,k_proj,20,2.240234,2.234996,0.997662
2,k_proj,24,2.205078,2.199924,0.997663
2,k_proj,28,2.167969,2.162904,0.997664
2,k_proj,32,2.140625,2.135626,0.997665
2,k_proj,36,2.119141,2.114193,0.997665
2,k_proj,40,2.085938,2.08107,0.997666
2,k_proj,44,2.064453,2.059637,0.997667
2,k_proj,48,2.041016,2.036256,0.997668
2,k_proj,52,2.017578,2.012875,0.997669
2,k_proj,56,1.996094,1.991442,0.997669
2,k_proj,60,1.976562,1.971957,0.99767
2,k_proj,64,1.958984,1.954421,0.997671
2,k_proj,68,1.933594,1.929092,0.997672
2,k_proj,72,1.916016,1.911556,0.997672
2,k_proj,76,1.893555,1.889148,0.997673
2,k_proj,80,1.874023,1.869664,0.997674
2,k_proj,84,1.851562,1.847257,0.997674
2,k_proj,88,1.834961,1.830695,0.997675
2,k_proj,92,1.81543,1.81121,0.997676
2,k_proj,96,1.794922,1.790752,0.997677
2,k_proj,100,1.771484,1.76737,0.997678
2,k_proj,104,1.749023,1.744963,0.997678
2,k_proj,108,1.714844,1.710865,0.99768
2,k_proj,112,1.693359,1.689432,0.997681
2,k_proj,116,1.658203,1.654359,0.997682
2,k_proj,120,1.638672,1.634875,0.997683
2,k_proj,124,1.603516,1.599802,0.997684
2,v_proj,0,1.208008,1.206693,0.998912
2,v_proj,4,0.993164,0.992082,0.998911
2,v_proj,8,0.961914,0.960866,0.998911
2,v_proj,12,0.941406,0.940381,0.99891
2,v_proj,16,0.929199,0.928187,0.99891
2,v_proj,20,0.917969,0.916969,0.99891
2,v_proj,24,0.90332,0.902336,0.99891
2,v_proj,28,0.894531,0.893556,0.99891
2,v_proj,32,0.883789,0.882826,0.99891
