wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
38.24,0,0,0,19,76,3.15673,23.4936,0.001,,,,,,4096.0,,19956.8,18260.6,38226.7,666.1,1625.3,12563.6,24893.3
71.97,0,1,1,20,156,3.3645,28.919,0.0,2.35374,0.72519,2.18233,0.5016,0.0,4096.0,False,8541.3,23910.6,33718.3,670.6,1632.9,12847.5,24893.3
99.84,0,1,2,21,240,3.58588,36.0852,0.0,,,,,,4096.0,,7361.7,20499.8,27870.9,675.2,1640.8,11620.2,24893.3
128.22,0,2,3,22,328,2.78028,16.1236,0.001,2.37572,0.46073,2.05079,1.10727,0.0,4096.0,False,10005.4,18201.4,28375.1,670.6,1648.4,12769.8,24893.3
154.37,0,2,4,23,420,1.88577,6.5914,0.001,,,,,,4096.0,,4226.9,21898.1,26147.0,675.2,1647.2,10897.5,24893.3
184.13,0,3,5,24,516,3.47801,32.3954,0.000992403876506104,1.91753,0.39428,1.59528,0.9882,0.0,4096.0,False,11674.7,17899.3,29749.5,670.6,1654.8,12942.4,24893.3
219.67,0,3,6,25,616,2.15582,8.6349,0.000992403876506104,,,,,,4096.0,,10635.0,24889.2,35534.7,675.2,1653.6,11659.1,24893.3
248.43,0,4,7,25,716,1.77951,5.927,0.0009698463103929542,1.15154,0.26829,0.97222,0.55574,0.0,4096.0,False,10018.2,18535.2,28752.0,670.6,1658.0,12073.3,24893.3
280.66,0,4,8,25,816,1.95396,7.0566,0.0009698463103929542,,,,,,4096.0,,14100.4,18101.3,32230.0,675.2,1653.6,12911.1,24893.3
304.64,0,5,9,26,920,1.67596,5.3439,0.0009330127018922195,0.98742,0.35295,0.69463,0.60656,0.0,4096.0,False,5796.7,17996.9,23969.0,670.6,1661.2,12622.8,24893.3
331.56,0,5,10,27,1028,1.87859,6.5443,0.0009330127018922195,,,,,,4096.0,,6849.3,20067.7,26925.2,675.2,1660.0,12512.4,24893.3
365.45,0,6,11,27,1136,1.87248,6.5044,0.000883022221559489,1.1976,0.61619,0.59129,0.8396,0.0,4096.0,False,9096.9,24576.4,33872.7,670.6,1664.4,12650.0,24893.3
391.47,0,6,12,28,1248,1.59555,4.931,0.000883022221559489,,,,,,4096.0,,4737.7,21268.8,26022.5,675.2,1663.2,11446.3,24893.3
420.21,0,7,13,30,1368,1.65637,5.2402,0.0008213938048432696,0.56376,0.1211,0.52301,0.1721,0.0,4096.0,False,10425.8,18122.8,28729.1,670.6,1674.0,12848.7,24893.3
444.58,0,7,14,31,1492,1.54577,4.6916,0.0008213938048432696,,,,,,4096.0,,5634.4,18719.5,24368.6,675.2,1672.9,12696.2,24893.3
473.52,0,8,15,33,1624,1.36531,3.9169,0.00075,0.44399,0.06008,0.42174,0.12511,0.0,4096.0,False,10530.9,18170.3,28936.4,670.6,1683.7,12564.2,24893.3
499.48,0,8,16,35,1764,1.11448,3.048,0.00075,,,,,,4096.0,,6826.1,19111.9,25959.2,675.2,1685.7,13334.4,24893.3
544.64,0,9,17,37,1912,1.30463,3.6863,0.0006710100716628344,0.46881,0.06927,0.44375,0.13444,0.0,4096.0,False,13152.2,31818.8,45147.8,670.6,1696.5,12606.5,24893.3
