t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.002,20.9,26.0,316,2,67,3074.8
0.127,205.5,226.0,516,0,67,3164.3
0.244,205.5,226.0,516,8,67,3254.6
0.365,335.0,346.0,636,10,67,3364.7
0.483,464.5,486.0,776,10,66,3455.3
0.602,468.9,508.0,920,8,67,3511.9
0.72,76.7,630.0,920,56,67,3549.2
0.839,206.2,630.0,920,56,67,3643.5
0.958,335.7,630.0,920,8,67,3699.0
1.077,335.7,630.0,920,6,67,3806.7
1.197,474.0,630.0,920,17,67,3912.4
1.317,76.7,630.0,920,17,67,3972.5
1.436,206.2,630.0,920,46,67,4087.5
1.556,335.7,630.0,920,10,67,4198.1
1.674,465.2,630.0,920,10,67,4295.7
1.794,45.3,630.0,920,9,69,4328.1
1.913,206.3,630.0,920,47,68,4417.0
2.032,335.8,630.0,920,8,67,4510.6
2.171,335.8,630.0,920,2,67,4542.8
2.478,465.3,630.0,920,4,67,4589.5
2.803,45.3,630.0,920,46,68,4638.5
3.012,206.4,630.0,920,7,67,4744.0
3.239,335.9,630.0,920,5,68,4835.9
3.357,465.4,630.0,920,5,67,4945.4
3.475,45.4,630.0,920,10,68,5005.3
3.593,76.9,630.0,920,45,68,5083.4
3.711,335.9,630.0,920,13,68,5228.9
3.83,465.4,630.0,920,13,67,5340.4
3.948,45.5,630.0,920,27,71,5394.8
4.066,206.5,630.0,920,37,68,5506.8
4.185,336.0,630.0,920,37,67,5627.5
4.303,465.5,630.0,920,11,67,5742.0
4.421,45.5,630.0,920,10,69,5812.4
4.539,206.5,630.0,920,47,68,5912.0
4.657,206.5,630.0,920,47,67,6011.2
4.774,336.0,630.0,920,9,67,6109.9
4.892,465.5,630.0,920,10,67,6219.8
5.01,45.6,630.0,920,10,70,6270.7
5.128,206.6,630.0,920,47,68,6373.6
5.248,336.1,630.0,920,9,67,6465.4
5.366,336.1,630.0,920,9,67,6548.0
5.483,465.6,630.0,920,8,67,6641.1
5.601,45.6,630.0,920,8,69,6701.6
5.72,206.6,630.0,920,47,68,6791.0
5.837,336.1,630.0,920,47,67,6912.8
5.958,336.1,630.0,920,11,67,7022.8
6.076,465.6,630.0,920,10,67,7144.0
6.201,77.2,630.0,920,10,68,7204.1
6.319,206.7,630.0,920,49,67,7331.7
6.437,336.2,630.0,920,11,67,7450.9
6.555,465.7,630.0,920,11,67,7583.7
6.673,45.7,630.0,920,11,69,7624.2
6.791,206.7,630.0,920,48,67,7715.6
6.909,336.2,630.0,920,8,67,7810.8
