layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.848267,0.99815
0,q_proj,4,8.296875,8.282412,0.998257
0,q_proj,8,5.824219,5.814285,0.998294
0,q_proj,12,4.582031,4.574333,0.99832
0,q_proj,16,3.972656,3.966042,0.998335
0,q_proj,20,3.65625,3.650195,0.998344
0,q_proj,24,3.376953,3.37139,0.998353
0,q_proj,28,3.222656,3.217363,0.998358
0,q_proj,32,3.021484,3.016543,0.998364
0,q_proj,36,2.916016,2.911257,0.998368
0,q_proj,40,2.849609,2.844967,0.998371
0,q_proj,44,2.767578,2.763078,0.998374
0,q_proj,48,2.728516,2.724083,0.998375
0,q_proj,52,2.667969,2.663641,0.998378
0,q_proj,56,2.628906,2.624646,0.998379
0,q_proj,60,2.591797,2.5876,0.998381
0,q_proj,64,2.566406,2.562254,0.998382
0,q_proj,68,2.529297,2.525208,0.998383
0,q_proj,72,2.503906,2.499861,0.998385
0,q_proj,76,2.46875,2.464766,0.998386
0,q_proj,80,2.449219,2.445268,0.998387
0,q_proj,84,2.410156,2.406273,0.998389
0,q_proj,88,2.386719,2.382875,0.99839
0,q_proj,92,2.357422,2.353629,0.998391
0,q_proj,96,2.324219,2.320483,0.998393
0,q_proj,100,2.294922,2.291236,0.998394
0,q_proj,104,2.259766,2.25614,0.998396
0,q_proj,108,2.234375,2.230793,0.998397
0,q_proj,112,2.199219,2.195697,0.998399
0,q_proj,116,2.169922,2.16645,0.9984
0,q_proj,120,2.138672,2.135253,0.998401
0,q_proj,124,2.115234,2.111856,0.998403
0,k_proj,0,4.175781,4.180309,1.001084
0,k_proj,4,2.875,2.877613,1.000909
0,k_proj,8,2.638672,2.640964,1.000869
0,k_proj,12,2.572266,2.57447,1.000857
0,k_proj,16,2.488281,2.490375,1.000841
0,k_proj,20,2.455078,2.457128,1.000835
0,k_proj,24,2.423828,2.425838,1.000829
0,k_proj,28,2.386719,2.388681,1.000822
0,k_proj,32,2.373047,2.374991,1.000819
0,k_proj,36,2.34375,2.345656,1.000813
0,k_proj,40,2.328125,2.330012,1.00081
0,k_proj,44,2.298828,2.300678,1.000805
0,k_proj,48,2.28125,2.283077,1.000801
0,k_proj,52,2.259766,2.261565,1.000796
0,k_proj,56,2.238281,2.240054,1.000792
0,k_proj,60,2.226562,2.22832,1.000789
0,k_proj,64,2.207031,2.208765,1.000785
0,k_proj,68,2.185547,2.187253,1.000781
0,k_proj,72,2.158203,2.159875,1.000775
0,k_proj,76,2.138672,2.14032,1.000771
0,k_proj,80,2.105469,2.107076,1.000764
0,k_proj,84,2.076172,2.077743,1.000757
0,k_proj,88,2.042969,2.0445,1.000749
0,k_proj,92,1.999023,2.000502,1.000739
0,k_proj,96,1.958008,1.959437,1.00073
0,k_proj,100,1.914062,1.915439,1.000719
0,k_proj,104,1.869141,1.870464,1.000708
0,k_proj,108,1.820312,1.821579,1.000696
0,k_proj,112,1.78125,1.782471,1.000686
0,k_proj,116,1.750977,1.752163,1.000678
0,k_proj,120,1.724609,1.725766,1.000671
0,k_proj,124,1.710938,1.712079,1.000667
0,v_proj,0,1.24707,1.243607,0.997222
