wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
34.0,0,0,0,19,76,3.1562,23.4811,0.001,,,,,,4096.0,,16808.3,17164.1,33981.2,667.5,1616.6,12752.4,24893.3
69.31,0,1,1,20,156,3.36535,28.9438,0.0,0.84413,0.72427,0.0,0.43358,0.0,4096.0,False,11749.1,23344.6,35306.7,672.8,1624.4,12376.7,24893.3
98.14,0,1,2,21,240,3.90456,49.6281,0.0,,,,,,4096.0,,8882.6,19938.0,28826.2,678.1,1632.5,12572.1,24893.3
129.32,0,2,3,22,328,3.02934,20.6836,0.001,1.01781,0.55718,0.0,0.85176,0.0,4096.0,False,11664.3,19329.9,31165.7,672.8,1640.3,12482.5,24893.3
154.21,0,2,4,23,420,2.08218,8.0219,0.001,,,,,,4096.0,,7925.6,16952.3,24887.8,678.1,1637.9,12748.6,24893.3
183.31,0,3,5,24,516,3.72843,41.6135,0.000992403876506104,0.9724,0.5798,0.0,0.78064,0.0,4096.0,False,7952.4,20968.2,29093.3,672.8,1645.6,12497.8,24893.3
209.3,0,3,6,25,616,2.81278,16.6561,0.000992403876506104,,,,,,4096.0,,4809.9,21170.0,25987.3,678.1,1643.2,11504.9,24893.3
236.1,0,4,7,25,716,2.30818,10.0561,0.0009698463103929542,0.88948,0.58048,0.0,0.67395,0.0,4096.0,False,9749.5,16865.6,26794.4,672.8,1648.3,12430.8,24893.3
269.19,0,4,8,25,816,2.88757,17.9496,0.0009698463103929542,,,,,,4096.0,,6879.0,26203.7,33092.2,678.1,1643.2,11924.8,24893.3
301.26,0,5,9,26,920,2.1384,8.4858,0.0009330127018922195,0.89062,0.48595,0.0,0.74636,0.0,4096.0,False,8366.4,23516.7,32060.6,672.8,1651.0,12315.0,24893.3
335.88,0,5,10,27,1028,2.39716,10.9919,0.0009330127018922195,,,,,,4096.0,,6875.1,27715.4,34616.2,678.1,1648.5,12119.8,24893.3
370.23,0,6,11,27,1136,2.61884,13.7198,0.000883022221559489,1.10134,0.62071,0.0,0.90976,0.0,4096.0,False,7585.2,26565.1,34340.3,672.8,1653.6,12668.6,24893.3
398.25,0,6,12,28,1248,2.13614,8.4667,0.000883022221559489,,,,,,4096.0,,7119.4,20865.6,28012.6,678.1,1651.2,12496.5,24893.3
427.43,0,7,13,30,1368,2.26549,9.6359,0.0008213938048432696,1.01609,0.57823,0.0,0.83552,0.0,4096.0,False,7985.1,20936.9,29177.1,672.8,1661.6,12198.6,24893.3
462.51,0,7,14,31,1492,1.90046,6.689,0.0008213938048432696,,,,,,4096.0,,9578.8,25483.8,35076.1,678.1,1659.2,12605.6,24893.3
491.73,0,8,15,33,1624,1.72964,5.6386,0.00075,0.4967,0.28671,0.0,0.4056,0.0,4096.0,False,5321.1,23695.4,29209.8,672.8,1669.6,12241.5,24893.3
530.08,0,8,16,35,1764,1.61844,5.0452,0.00075,,,,,,4096.0,,8134.5,30206.2,38352.8,678.1,1669.9,11268.8,24893.3
562.62,0,9,17,37,1912,1.74361,5.718,0.0006710100716628344,0.61713,0.30217,0.0,0.5381,0.0,4096.0,False,9901.9,22429.1,32530.8,672.8,1680.3,12711.3,24893.3
594.64,0,9,18,38,2064,2.16985,8.7569,0.0006710100716628344,,,,,,4096.0,,8228.5,23761.2,32013.1,678.1,1677.9,13121.3,24893.3
627.75,0,10,19,42,2232,1.43065,4.1814,0.0005868240888334653,0.39178,0.16966,0.0,0.35314,0.0,4096.0,False,11601.8,21302.5,33102.8,672.8,1693.7,12089.4,24893.3
675.61,0,10,20,45,2412,1.47978,4.392,0.0005868240888334653,,,,,,4096.0,,11484.6,36346.4,47854.0,678.1,1696.6,12905.9,24893.3
707.75,0,11,21,51,2616,1.85302,6.3791,0.0005,0.48453,0.19147,0.0,0.44509,0.0,4096.0,False,8265.7,23685.8,32140.0,672.8,1717.7,12357.6,24893.3
747.79,0,11,22,56,2840,1.75372,5.7761,0.0005,,,,,,4096.0,,11946.7,28056.1,40037.4,678.1,1725.9,12361.6,24893.3
791.28,0,12,23,66,3104,2.04717,7.7459,0.00041317591116653486,0.30789,0.12741,0.0,0.28029,0.0,4096.0,False,11651.4,31634.4,43481.8,672.8,1757.8,12032.2,24893.3
835.6,0,12,24,70,3384,1.56837,4.7988,0.00041317591116653486,,,,,,4096.0,,10678.6,33603.3,44310.1,678.1,1763.3,11871.9,24893.3
