t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.0,666.9,684.0,1095,11,64,3673.4
0.118,848.4,864.0,1275,5,64,3768.4
0.236,848.4,864.0,1275,5,64,3856.6
0.355,977.9,984.0,1395,7,64,3958.9
0.473,1107.4,1124.0,1535,11,64,4046.3
0.591,1107.4,1124.0,1675,11,64,4126.8
0.709,719.6,1264.0,1675,24,65,4172.0
0.828,849.1,1264.0,1675,28,64,4251.5
0.946,978.6,1264.0,1675,28,64,4358.8
1.067,1108.1,1264.0,1675,12,64,4467.8
1.185,1108.1,1264.0,1675,9,64,4564.7
1.304,688.2,1264.0,1675,45,65,4606.5
1.424,849.2,1264.0,1675,45,65,4713.8
1.543,978.7,1264.0,1675,12,65,4821.5
1.661,1108.2,1264.0,1675,8,65,4915.8
1.781,1108.2,1264.0,1675,8,64,5015.2
1.899,719.8,1264.0,1675,15,66,5070.7
2.018,849.3,1264.0,1675,40,65,5167.9
2.14,978.8,1264.0,1675,6,65,5211.8
2.263,978.8,1264.0,1675,6,65,5252.6
2.385,1108.3,1264.0,1675,4,65,5298.4
2.507,1108.3,1264.0,1675,7,64,5330.5
2.629,1108.3,1264.0,1675,4,65,5363.4
2.75,688.4,1264.0,1675,4,67,5383.9
2.868,719.9,1264.0,1675,40,65,5413.2
2.989,849.4,1264.0,1675,7,65,5448.9
3.11,849.4,1264.0,1675,7,65,5484.2
3.232,849.4,1264.0,1675,4,65,5518.2
3.354,978.9,1264.0,1675,4,65,5560.4
3.475,978.9,1264.0,1675,8,65,5597.8
3.597,1108.4,1264.0,1675,8,65,5633.1
3.718,1108.4,1264.0,1675,4,65,5665.2
3.842,1108.4,1264.0,1675,4,65,5701.5
3.964,688.5,1264.0,1675,43,66,5713.0
4.088,849.5,1264.0,1675,43,65,5742.3
4.208,849.5,1264.0,1675,4,65,5783.3
4.329,849.5,1264.0,1675,4,65,5820.1
4.448,979.0,1264.0,1675,4,65,5862.0
4.569,979.0,1264.0,1675,7,64,5904.8
4.689,1108.5,1264.0,1675,4,65,5948.5
4.81,1108.5,1264.0,1675,4,65,5992.2
4.931,1112.0,1264.0,1675,4,65,6032.0
5.051,688.6,1264.0,1675,37,65,6057.0
5.172,849.6,1264.0,1675,11,65,6101.0
5.293,849.6,1264.0,1675,11,65,6149.5
5.415,849.6,1264.0,1675,4,65,6192.6
5.536,979.1,1264.0,1675,7,65,6237.2
5.657,979.1,1264.0,1675,4,65,6282.7
5.777,1108.6,1264.0,1675,4,65,6321.5
5.898,1108.6,1264.0,1675,4,65,6359.7
6.021,1108.6,1264.0,1675,7,65,6400.6
6.144,688.7,1264.0,1675,40,66,6413.2
6.267,849.7,1264.0,1675,40,65,6456.1
6.394,849.7,1264.0,1675,4,65,6503.2
6.515,849.7,1264.0,1675,7,65,6546.2
6.637,979.2,1264.0,1675,4,65,6589.7
6.759,979.2,1264.0,1675,4,65,6636.1
6.881,1108.7,1264.0,1675,4,65,6681.4
7.003,1108.7,1264.0,1675,7,65,6727.4
7.124,1108.7,1264.0,1675,7,65,6773.0
7.245,688.8,1264.0,1675,14,66,6788.3
7.368,849.8,1264.0,1675,30,65,6828.4
7.49,849.8,1264.0,1675,7,65,6875.3
7.612,849.8,1264.0,1675,7,65,6920.2
7.736,979.3,1264.0,1675,4,65,6963.2
7.858,979.3,1264.0,1675,4,65,7010.8
7.98,1108.8,1264.0,1675,7,65,7053.2
8.102,1108.8,1264.0,1675,7,65,7096.9
8.224,1108.8,1264.0,1675,4,64,7140.6
8.344,688.9,1264.0,1675,40,66,7160.3
8.466,850.0,1264.0,1675,40,65,7206.9
8.587,850.0,1264.0,1675,7,65,7249.1
8.709,850.0,1264.0,1675,4,65,7290.6
8.83,979.5,1264.0,1675,4,65,7338.4
8.952,979.5,1264.0,1675,4,65,7382.4
9.074,1109.0,1264.0,1675,7,65,7427.9
9.195,1109.0,1264.0,1675,4,65,7474.6
9.316,1111.4,1264.0,1675,11,64,7510.2
9.436,692.6,1264.0,1675,11,65,7535.1
9.558,850.1,1264.0,1675,37,65,7578.7
9.679,850.1,1264.0,1675,4,65,7622.8
9.801,979.6,1264.0,1675,4,65,7670.4
9.923,979.6,1264.0,1675,4,65,7712.4
10.044,979.6,1264.0,1675,7,65,7760.3
10.166,1109.1,1264.0,1675,5,65,7809.8
10.289,1109.1,1264.0,1675,5,65,7854.0
10.41,689.1,1264.0,1675,4,67,7878.3
10.529,720.7,1264.0,1675,43,65,7915.6
10.651,850.2,1264.0,1675,4,65,7964.4
10.772,850.2,1264.0,1675,4,65,8011.3
10.892,979.7,1264.0,1675,5,65,8065.7
11.015,979.7,1264.0,1675,8,65,8119.7
11.137,1109.2,1264.0,1675,8,64,8163.4
11.258,1109.2,1264.0,1675,4,64,8210.2
11.379,1109.2,1264.0,1675,4,64,8252.7
11.501,689.3,1264.0,1675,43,66,8272.5
11.621,850.3,1264.0,1675,43,65,8321.2
11.743,850.3,1264.0,1675,4,65,8368.6
11.864,979.8,1264.0,1675,5,65,8421.8
11.986,979.8,1264.0,1675,8,64,8467.6
12.108,979.8,1264.0,1675,8,64,8518.7
12.228,1109.3,1264.0,1675,4,64,8566.8
12.35,1109.3,1264.0,1675,5,64,8622.6
