layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.826403,0.997194
0,q_proj,4,8.296875,8.275522,0.997426
0,q_proj,8,5.824219,5.809702,0.997508
0,q_proj,12,4.582031,4.570864,0.997563
0,q_proj,16,3.972656,3.963105,0.997596
0,q_proj,20,3.65625,3.647529,0.997615
0,q_proj,24,3.376953,3.368961,0.997633
0,q_proj,28,3.222656,3.215064,0.997644
0,q_proj,32,3.021484,3.014411,0.997659
0,q_proj,36,2.916016,2.909213,0.997667
0,q_proj,40,2.849609,2.842978,0.997673
0,q_proj,44,2.767578,2.761156,0.997679
0,q_proj,48,2.728516,2.722193,0.997683
0,q_proj,52,2.667969,2.6618,0.997688
0,q_proj,56,2.628906,2.622837,0.997691
0,q_proj,60,2.591797,2.585822,0.997695
0,q_proj,64,2.566406,2.560496,0.997697
0,q_proj,68,2.529297,2.52348,0.9977
0,q_proj,72,2.503906,2.498154,0.997703
0,q_proj,76,2.46875,2.463086,0.997706
0,q_proj,80,2.449219,2.443604,0.997708
0,q_proj,84,2.410156,2.40464,0.997711
0,q_proj,88,2.386719,2.381262,0.997714
0,q_proj,92,2.357422,2.352039,0.997717
0,q_proj,96,2.324219,2.318919,0.99772
0,q_proj,100,2.294922,2.289696,0.997723
0,q_proj,104,2.259766,2.254628,0.997726
0,q_proj,108,2.234375,2.229301,0.997729
0,q_proj,112,2.199219,2.194232,0.997733
0,q_proj,116,2.169922,2.165009,0.997736
0,q_proj,120,2.138672,2.133837,0.997739
0,q_proj,124,2.115234,2.110458,0.997742
0,k_proj,0,4.175781,4.173446,0.999441
0,k_proj,4,2.875,2.873044,0.99932
0,k_proj,8,2.638672,2.636804,0.999292
0,k_proj,12,2.572266,2.570423,0.999284
0,k_proj,16,2.488281,2.486473,0.999273
0,k_proj,20,2.455078,2.453283,0.999269
0,k_proj,24,2.423828,2.422046,0.999265
0,k_proj,28,2.386719,2.384952,0.99926
0,k_proj,32,2.373047,2.371286,0.999258
0,k_proj,36,2.34375,2.342001,0.999254
0,k_proj,40,2.328125,2.326383,0.999252
0,k_proj,44,2.298828,2.297099,0.999248
0,k_proj,48,2.28125,2.279528,0.999245
0,k_proj,52,2.259766,2.258053,0.999242
0,k_proj,56,2.238281,2.236578,0.999239
0,k_proj,60,2.226562,2.224864,0.999237
0,k_proj,64,2.207031,2.205342,0.999235
0,k_proj,68,2.185547,2.183867,0.999231
0,k_proj,72,2.158203,2.156535,0.999227
0,k_proj,76,2.138672,2.137013,0.999224
0,k_proj,80,2.105469,2.103825,0.999219
0,k_proj,84,2.076172,2.074542,0.999215
0,k_proj,88,2.042969,2.041354,0.99921
0,k_proj,92,1.999023,1.99743,0.999203
0,k_proj,96,1.958008,1.956434,0.999196
0,k_proj,100,1.914062,1.91251,0.999189
0,k_proj,104,1.869141,1.86761,0.999181
0,k_proj,108,1.820312,1.818807,0.999173
0,k_proj,112,1.78125,1.779764,0.999166
0,k_proj,116,1.750977,1.749506,0.99916
0,k_proj,120,1.724609,1.723153,0.999155
0,k_proj,124,1.710938,1.709488,0.999153
0,v_proj,0,1.24707,1.243425,0.997077
0,v_proj,4,0.82373,0.821523,0.99732
0,v_proj,8,0.696777,0.694979,0.997418
0,v_proj,12,0.658203,0.656526,0.997452
0,v_proj,16,0.650391,0.648738,0.997459
0,v_proj,20,0.644531,0.642897,0.997464
0,v_proj,24,0.639648,0.638029,0.997469
0,v_proj,28,0.635254,0.633649,0.997473
0,v_proj,32,0.631348,0.629754,0.997477
0,v_proj,36,0.627441,0.62586,0.99748
0,v_proj,40,0.623535,0.621966,0.997484
0,v_proj,44,0.619629,0.618072,0.997488
0,v_proj,48,0.615723,0.614178,0.997491
0,v_proj,52,0.612793,0.611257,0.997494
0,v_proj,56,0.60791,0.60639,0.997499
0,v_proj,60,0.603516,0.602009,0.997503
0,v_proj,64,0.600586,0.599088,0.997506
0,v_proj,68,0.596191,0.594707,0.99751
0,v_proj,72,0.59082,0.589353,0.997516
0,v_proj,76,0.587402,0.585945,0.997519
0,v_proj,80,0.583496,0.582051,0.997523
0,v_proj,84,0.57959,0.578157,0.997527
0,v_proj,88,0.57666,0.575236,0.99753
0,v_proj,92,0.572266,0.570855,0.997535
0,v_proj,96,0.567383,0.565987,0.99754
0,v_proj,100,0.562012,0.560632,0.997545
0,v_proj,104,0.557617,0.556251,0.99755
0,v_proj,108,0.552734,0.551383,0.997555
0,v_proj,112,0.548828,0.547489,0.997559
0,v_proj,116,0.542969,0.541647,0.997566
0,v_proj,120,0.537109,0.535805,0.997572
0,v_proj,124,0.533691,0.532398,0.997576
0,o_proj,0,5.992188,5.960547,0.99472
0,o_proj,4,3.150391,3.135273,0.995201
0,o_proj,8,2.304688,2.294166,0.995435
0,o_proj,12,1.967773,1.959022,0.995553
0,o_proj,16,1.761719,1.754028,0.995635
0,o_proj,20,1.685547,1.678245,0.995668
0,o_proj,24,1.599609,1.592742,0.995707
0,o_proj,28,1.535156,1.528612,0.995737
0,o_proj,32,1.500977,1.494604,0.995754
0,o_proj,36,1.467773,1.461566,0.995771
0,o_proj,40,1.444336,1.438245,0.995783
0,o_proj,44,1.419922,1.413952,0.995795
0,o_proj,48,1.404297,1.398404,0.995803
0,o_proj,52,1.379883,1.37411,0.995817
0,o_proj,56,1.368164,1.362449,0.995823
0,o_proj,60,1.348633,1.343014,0.995834
0,o_proj,64,1.338867,1.333296,0.995839
0,o_proj,68,1.326172,1.320663,0.995846
0,o_proj,72,1.314453,1.309002,0.995853
0,o_proj,76,1.306641,1.301227,0.995857
0,o_proj,80,1.295898,1.290537,0.995863
0,o_proj,84,1.286133,1.28082,0.995869
0,o_proj,88,1.276367,1.271101,0.995874
0,o_proj,92,1.266602,1.261383,0.99588
0,o_proj,96,1.259766,1.254581,0.995884
0,o_proj,100,1.250977,1.245834,0.995889
0,o_proj,104,1.244141,1.239031,0.995893
0,o_proj,108,1.236328,1.231257,0.995898
0,o_proj,112,1.225586,1.220567,0.995905
0,o_proj,116,1.21875,1.213764,0.995909
0,o_proj,120,1.208008,1.203074,0.995915
0,o_proj,124,1.200195,1.195299,0.99592
1,q_proj,0,10.46875,10.450954,0.9983
1,q_proj,4,6.605469,6.594437,0.99833
1,q_proj,8,5.5,5.490879,0.998342
1,q_proj,12,4.859375,4.851356,0.99835
1,q_proj,16,4.640625,4.63298,0.998353
1,q_proj,20,4.285156,4.278119,0.998358
1,q_proj,24,4.042969,4.036344,0.998361
1,q_proj,28,3.804688,3.798469,0.998365
1,q_proj,32,3.712891,3.706827,0.998367
1,q_proj,36,3.558594,3.552792,0.99837
1,q_proj,40,3.449219,3.443602,0.998372
1,q_proj,44,3.361328,3.355861,0.998373
1,q_proj,48,3.257812,3.25252,0.998375
1,q_proj,52,3.162109,3.156978,0.998377
1,q_proj,56,3.085938,3.080935,0.998379
1,q_proj,60,3.0,2.995142,0.998381
1,q_proj,64,2.925781,2.921048,0.998382
1,q_proj,68,2.863281,2.858653,0.998384
1,q_proj,72,2.816406,2.811857,0.998385
1,q_proj,76,2.744141,2.739713,0.998386
1,q_proj,80,2.6875,2.683167,0.998388
1,q_proj,84,2.632812,2.628571,0.998389
1,q_proj,88,2.574219,2.570076,0.99839
1,q_proj,92,2.523438,2.519379,0.998392
1,q_proj,96,2.476562,2.472583,0.998393
1,q_proj,100,2.425781,2.421886,0.998394
1,q_proj,104,2.382812,2.378989,0.998395
1,q_proj,108,2.316406,2.312694,0.998397
1,q_proj,112,2.275391,2.271746,0.998398
1,q_proj,116,2.21875,2.2152,0.9984
1,q_proj,120,2.167969,2.164503,0.998402
1,q_proj,124,2.134766,2.131355,0.998402
1,k_proj,0,4.707031,4.720892,1.002945
1,k_proj,4,3.84375,3.854824,1.002881
1,k_proj,8,3.541016,3.551126,1.002855
1,k_proj,12,3.230469,3.239599,1.002826
1,k_proj,16,3.083984,3.092655,1.002811
1,k_proj,20,2.882812,2.890856,1.00279
1,k_proj,24,2.794922,2.802692,1.00278
1,k_proj,28,2.685547,2.69298,1.002768
1,k_proj,32,2.550781,2.557799,1.002751
1,k_proj,36,2.494141,2.500985,1.002744
1,k_proj,40,2.410156,2.416744,1.002733
1,k_proj,44,2.300781,2.307036,1.002718
1,k_proj,48,2.210938,2.21692,1.002706
1,k_proj,52,2.164062,2.169903,1.002699
1,k_proj,56,2.121094,2.126805,1.002693
1,k_proj,60,2.064453,2.069994,1.002684
1,k_proj,64,2.0,2.005348,1.002674
1,k_proj,68,1.941406,1.946579,1.002664
1,k_proj,72,1.889648,1.894667,1.002656
1,k_proj,76,1.852539,1.857447,1.002649
1,k_proj,80,1.813477,1.818269,1.002643
1,k_proj,84,1.767578,1.772235,1.002634
1,k_proj,88,1.724609,1.729139,1.002627
1,k_proj,92,1.68457,1.688982,1.002619
1,k_proj,96,1.658203,1.662538,1.002614
1,k_proj,100,1.615234,1.619443,1.002606
1,k_proj,104,1.578125,1.582225,1.002598
1,k_proj,108,1.53418,1.538152,1.002589
1,k_proj,112,1.478516,1.482326,1.002577
1,k_proj,116,1.442383,1.446089,1.002569
1,k_proj,120,1.40918,1.41279,1.002562
1,k_proj,124,1.376953,1.38047,1.002554
1,v_proj,0,1.456055,1.456548,1.000339
1,v_proj,4,1.200195,1.20059,1.000329
1,v_proj,8,1.166016,1.166398,1.000328
1,v_proj,12,1.147461,1.147836,1.000327
1,v_proj,16,1.130859,1.131228,1.000326
1,v_proj,20,1.120117,1.120482,1.000326
1,v_proj,24,1.107422,1.107782,1.000325
1,v_proj,28,1.09668,1.097036,1.000325
1,v_proj,32,1.082031,1.082382,1.000324
1,v_proj,36,1.072266,1.072612,1.000323
1,v_proj,40,1.05957,1.059912,1.000323
1,v_proj,44,1.051758,1.052097,1.000322
1,v_proj,48,1.041016,1.041351,1.000322
1,v_proj,52,1.032227,1.032558,1.000322
1,v_proj,56,1.023438,1.023766,1.000321
1,v_proj,60,1.014648,1.014974,1.000321
1,v_proj,64,1.006836,1.007158,1.00032
1,v_proj,68,0.996582,0.996901,1.00032
1,v_proj,72,0.989746,0.990062,1.000319
1,v_proj,76,0.981445,0.981758,1.000319
1,v_proj,80,0.973145,0.973454,1.000318
1,v_proj,84,0.964355,0.964662,1.000318
1,v_proj,88,0.957031,0.957335,1.000318
1,v_proj,92,0.948242,0.948543,1.000317
1,v_proj,96,0.938965,0.939262,1.000317
1,v_proj,100,0.929688,0.929981,1.000316
1,v_proj,104,0.921875,0.922166,1.000316
1,v_proj,108,0.914551,0.914839,1.000315
1,v_proj,112,0.902344,0.902628,1.000315
1,v_proj,116,0.891113,0.891393,1.000314
1,v_proj,120,0.882812,0.883089,1.000313
1,v_proj,124,0.869629,0.869901,1.000313
1,o_proj,0,3.714844,3.728556,1.003691
1,o_proj,4,3.15625,3.167678,1.003621
1,o_proj,8,2.941406,2.951967,1.00359
1,o_proj,12,2.832031,2.842153,1.003574
1,o_proj,16,2.753906,2.763715,1.003562
1,o_proj,20,2.644531,2.653905,1.003544
1,o_proj,24,2.552734,2.561743,1.003529
1,o_proj,28,2.496094,2.504878,1.003519
