wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
38.66,0,0,0,19,76,3.15607,23.4781,0.001,,,,,,4096.0,,18729.1,19901.5,38639.3,639.5,1586.9,12331.5,24893.3
65.98,0,1,1,20,156,3.36498,28.9329,0.0,0.72441,0.72441,0.0,0.0,0.0,4096.0,False,7437.1,19686.4,27311.0,643.1,1592.9,12741.2,24893.3
92.61,0,1,2,21,240,3.96109,52.5145,0.0,,,,,,4096.0,,6463.7,20155.7,26628.9,646.6,1599.2,12680.9,24893.3
118.48,0,2,3,22,328,3.07905,21.7376,0.001,0.57985,0.57985,0.0,0.0,0.0,4096.0,False,5489.6,20189.4,25867.2,643.1,1605.2,12429.8,24893.3
145.06,0,2,4,23,420,2.13099,8.4232,0.001,,,,,,4096.0,,5742.8,20824.8,26573.0,646.6,1604.3,12535.7,24893.3
174.66,0,3,5,24,516,3.7771,43.6891,0.000992403876506104,0.61267,0.61267,0.0,0.0,0.0,4096.0,False,10457.0,18933.9,29595.8,643.1,1610.3,12874.3,24893.3
203.24,0,3,6,25,616,2.98012,19.6902,0.000992403876506104,,,,,,4096.0,,3895.2,24665.4,28576.2,646.6,1609.5,12685.4,24893.3
239.13,0,4,7,25,716,2.48451,11.9953,0.0009698463103929542,0.61211,0.61211,0.0,0.0,0.0,4096.0,False,8728.1,26348.7,35889.4,643.1,1612.9,11866.5,24893.3
282.48,0,4,8,25,816,3.20896,24.7534,0.0009698463103929542,,,,,,4096.0,,19397.8,23911.2,43316.3,646.6,1609.5,12938.0,24893.3
321.04,0,5,9,26,920,2.42562,11.3092,0.0009330127018922195,0.50412,0.50412,0.0,0.0,0.0,4096.0,False,9250.5,29147.2,38555.1,643.1,1615.5,12713.3,24893.3
356.64,0,5,10,27,1028,2.81557,16.7026,0.0009330127018922195,,,,,,4096.0,,5444.6,30126.5,35598.0,646.6,1614.7,12051.6,24893.3
389.6,0,6,11,27,1136,3.08634,21.8968,0.000883022221559489,0.45865,0.45865,0.0,0.0,0.0,4096.0,False,6618.2,26162.5,32944.8,643.1,1618.1,12487.0,24893.3
421.0,0,6,12,28,1248,2.79495,16.3617,0.000883022221559489,,,,,,4096.0,,7888.8,23496.3,31406.2,646.6,1617.3,11717.6,24893.3
450.21,0,7,13,30,1368,2.84921,17.2742,0.0008213938048432696,0.51605,0.51605,0.0,0.0,0.0,4096.0,False,9008.5,20026.4,29198.0,643.1,1625.8,12324.0,24893.3
478.4,0,7,14,31,1492,2.56695,13.026,0.0008213938048432696,,,,,,4096.0,,7657.6,20510.2,28185.6,646.6,1625.0,12791.7,24893.3
506.8,0,8,15,33,1624,2.2789,9.766,0.00075,0.38105,0.38105,0.0,0.0,0.0,4096.0,False,5844.0,22388.9,28399.4,643.1,1633.6,11903.2,24893.3
536.81,0,8,16,35,1764,2.46925,11.8136,0.00075,,,,,,4096.0,,8203.6,21780.4,30000.2,646.6,1635.4,12764.2,24893.3
574.88,0,9,17,37,1912,2.40263,11.0522,0.0006710100716628344,0.47153,0.47153,0.0,0.0,0.0,4096.0,False,7066.3,30827.8,38064.8,643.1,1643.9,12188.6,24893.3
605.88,0,9,18,38,2064,2.81655,16.719,0.0006710100716628344,,,,,,4096.0,,9011.1,21968.1,30998.4,646.6,1643.1,13623.9,24893.3
655.21,0,10,19,42,2232,1.9453,6.9957,0.0005868240888334653,0.30193,0.30193,0.0,0.0,0.0,4096.0,False,17234.5,31927.0,49322.5,643.1,1656.9,12632.8,24893.3
688.57,0,10,20,45,2412,2.21025,9.118,0.0005868240888334653,,,,,,4096.0,,7806.7,25537.8,33361.8,646.6,1661.2,12662.8,24893.3
728.23,0,11,21,51,2616,2.55882,12.9205,0.0005,0.39012,0.39012,0.0,0.0,0.0,4096.0,False,10563.2,28913.7,39649.9,643.1,1680.1,11136.4,24893.3
763.23,0,11,22,56,2840,2.32787,10.2561,0.0005,,,,,,4096.0,,11108.8,23852.5,34995.0,646.6,1689.6,12632.7,24893.3
802.32,0,12,23,66,3104,2.51703,12.3918,0.00041317591116653486,0.27579,0.27579,0.0,0.0,0.0,4096.0,False,10630.5,28269.7,39085.0,643.1,1718.9,12576.8,24893.3
848.98,0,12,24,70,3384,2.04427,7.7235,0.00041317591116653486,,,,,,4096.0,,9758.7,36864.8,46655.8,646.6,1725.8,11682.7,24893.3
891.59,0,13,25,72,3672,2.12242,8.3513,0.0003289899283371657,0.2179,0.2179,0.0,0.0,0.0,4096.0,False,11650.8,30772.3,42601.8,643.1,1734.4,12499.0,24893.3
944.07,0,13,26,82,4000,1.4267,4.1649,0.0003289899283371657,,,,,,4096.0,,12329.2,40115.7,52483.1,646.6,1756.8,12016.9,24893.3
985.74,0,14,27,86,4344,1.74721,5.7386,0.0002500000000000001,0.17531,0.17531,0.0,0.0,0.0,4096.0,False,10732.9,30741.0,41661.6,643.1,1770.6,11968.5,24893.3
1034.06,0,14,28,95,4724,1.37485,3.9545,0.0002500000000000001,,,,,,4096.0,,12264.8,36026.0,48320.8,646.6,1790.4,11912.7,24893.3
1095.04,0,15,29,103,5136,1.83211,6.2471,0.0001786061951567303,0.14962,0.14962,0.0,0.0,0.0,4096.0,False,14022.7,46730.3,60964.2,643.1,1814.6,11924.7,24893.3
1152.56,0,15,30,108,5568,1.91802,6.8075,0.0001786061951567303,,,,,,4096.0,,13999.7,43470.5,57520.5,646.6,1824.1,12000.3,24893.3
1208.46,0,16,31,113,6020,1.67687,5.3488,0.00011697777844051105,0.16617,0.16617,0.0,0.0,0.0,4096.0,False,13784.3,41885.2,55891.3,643.1,1840.4,11540.1,24893.3
1263.18,0,16,32,126,6524,1.62026,5.0544,0.00011697777844051105,,,,,,4096.0,,15095.1,39569.9,54714.8,646.6,1870.6,10912.5,24893.3
