t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.002,639.0,656.0,981,1,67,3126.1
0.138,822.1,836.0,1141,1,67,3191.0
0.257,822.1,836.0,1141,6,67,3259.1
0.376,951.6,956.0,1261,8,67,3351.5
0.495,1081.1,1096.0,1401,8,67,3447.9
0.614,1082.4,1116.0,1423,9,67,3526.5
0.734,668.8,1238.0,1543,50,67,3562.7
0.853,822.8,1238.0,1543,9,67,3679.5
0.972,952.3,1238.0,1543,9,67,3784.6
1.093,1081.8,1238.0,1543,6,67,3905.7
1.337,693.4,1238.0,1543,45,68,3952.4
1.574,952.4,1238.0,1543,6,68,4092.9
1.871,1081.9,1238.0,1543,2,68,4219.5
2.176,823.0,1238.0,1543,46,68,4339.9
2.379,952.5,1238.0,1543,7,68,4452.9
2.525,1082.0,1238.0,1543,7,68,4543.2
2.643,1082.0,1238.0,1543,7,68,4620.7
2.761,662.1,1238.0,1543,32,69,4661.0
2.879,823.1,1238.0,1543,17,68,4754.5
2.999,952.6,1238.0,1543,17,68,4842.0
3.117,952.6,1238.0,1543,8,68,4920.0
3.234,1082.1,1238.0,1543,7,68,4953.6
3.354,662.1,1238.0,1543,7,68,4987.1
3.472,693.6,1238.0,1543,31,68,5052.0
3.59,823.1,1238.0,1543,20,68,5150.9
3.708,952.6,1238.0,1543,9,68,5242.0
3.828,1082.1,1238.0,1543,9,68,5336.5
3.946,1082.1,1238.0,1543,8,68,5418.2
4.064,662.2,1238.0,1543,42,69,5468.6
4.182,823.2,1238.0,1543,42,68,5547.3
4.3,952.7,1238.0,1543,8,68,5635.5
4.418,952.7,1238.0,1543,7,67,5717.4
4.536,1082.2,1238.0,1543,7,67,5798.4
4.654,1082.2,1238.0,1543,7,67,5874.0
4.771,665.8,1238.0,1543,32,69,5912.3
4.889,823.3,1238.0,1543,18,68,6011.7
5.007,952.8,1238.0,1543,18,67,6122.5
5.125,1082.3,1238.0,1543,9,67,6241.9
5.243,1082.3,1238.0,1543,10,67,6318.6
5.361,669.3,1238.0,1543,10,68,6365.5
5.478,823.3,1238.0,1543,42,67,6439.7
5.596,952.8,1238.0,1543,7,67,6518.2
5.715,952.8,1238.0,1543,7,67,6595.1
5.833,1082.3,1238.0,1543,7,67,6677.8
5.95,662.4,1238.0,1543,8,69,6756.3
6.068,823.4,1238.0,1543,43,68,6831.6
6.185,823.4,1238.0,1543,43,67,6930.2
6.303,952.9,1238.0,1543,9,67,7005.9
6.421,1082.4,1238.0,1543,6,67,7088.6
6.539,1082.4,1238.0,1543,6,67,7168.1
6.656,662.5,1238.0,1543,7,70,7175.3
6.774,823.5,1238.0,1543,43,67,7260.8
6.892,823.5,1238.0,1543,7,67,7357.2
7.01,953.0,1238.0,1543,7,67,7437.7
7.128,1082.5,1238.0,1543,9,67,7528.7
7.246,1082.5,1238.0,1543,8,67,7609.6
7.363,694.1,1238.0,1543,8,68,7655.5
7.48,823.6,1238.0,1543,42,67,7751.4
7.6,953.1,1238.0,1543,8,67,7833.6
7.718,953.1,1238.0,1543,8,67,7920.2
7.836,1082.6,1238.0,1543,8,67,8033.0
7.955,666.1,1238.0,1543,19,68,8081.3
8.073,823.6,1238.0,1543,36,67,8212.3
8.192,953.1,1238.0,1543,36,67,8325.2
8.311,1082.6,1238.0,1543,10,67,8415.3
8.429,662.7,1238.0,1543,20,69,8461.7
8.549,823.7,1238.0,1543,32,67,8573.8
8.667,953.2,1238.0,1543,32,67,8666.9
8.785,1082.7,1238.0,1543,9,67,8776.1
8.904,662.8,1238.0,1543,14,67,8852.5
9.023,823.8,1238.0,1543,14,68,8927.7
9.141,953.3,1238.0,1543,39,67,9043.1
9.261,953.3,1238.0,1543,10,67,9149.5
9.383,1082.8,1238.0,1543,9,69,9244.9
9.579,823.9,1238.0,1543,3,67,9318.8
9.864,953.4,1238.0,1543,6,67,9379.4
10.146,953.4,1238.0,1543,5,67,9436.7
10.467,1082.9,1238.0,1543,4,67,9498.7
10.704,694.4,1238.0,1543,4,68,9538.7
10.841,823.9,1238.0,1543,7,67,9618.9
11.086,953.4,1238.0,1543,2,67,9639.4
11.422,1082.9,1238.0,1543,2,67,9728.1
11.701,663.0,1238.0,1543,41,68,9752.6
11.941,824.0,1238.0,1543,2,67,9775.0
12.265,824.0,1238.0,1543,1,67,9794.4
12.6,953.5,1238.0,1543,2,67,9823.7
12.918,1083.0,1238.0,1543,2,67,9869.4
13.224,663.1,1238.0,1543,42,68,9912.3
13.473,824.1,1238.0,1543,3,67,9939.1
13.794,824.1,1238.0,1543,1,67,9970.4
14.095,953.6,1238.0,1543,2,67,9995.8
14.427,1083.1,1238.0,1543,2,67,10038.5
14.752,1083.1,1238.0,1543,31,69,10042.5
15.092,824.1,1238.0,1543,2,67,10074.7
15.41,824.1,1238.0,1543,2,67,10127.2
15.73,953.6,1238.0,1543,2,67,10227.0
15.848,1083.1,1238.0,1543,8,67,10321.3
15.965,663.2,1238.0,1543,15,70,10371.1
16.083,824.2,1238.0,1543,15,68,10457.9
16.201,824.2,1238.0,1543,36,67,10557.3
16.319,953.7,1238.0,1543,8,67,10648.7
16.436,1083.2,1238.0,1543,8,67,10735.9
16.554,663.3,1238.0,1543,8,68,10699.4
16.681,824.3,1238.0,1543,41,68,10772.1
16.799,824.3,1238.0,1543,10,67,10862.9
16.917,953.8,1238.0,1543,10,67,10951.2
17.035,1083.3,1238.0,1543,8,67,11043.8
17.153,1083.3,1238.0,1543,9,67,11143.6
17.272,694.9,1238.0,1543,44,68,11197.4
17.391,824.4,1238.0,1543,44,67,11288.8
17.509,953.9,1238.0,1543,8,67,11373.5
17.626,953.9,1238.0,1543,8,67,11436.1
17.747,1083.4,1238.0,1543,8,67,11487.9
17.867,1083.4,1238.0,1543,5,67,11524.0
17.987,1083.4,1238.0,1543,4,67,11531.2
18.107,663.4,1238.0,1543,40,69,11552.0
18.226,694.9,1238.0,1543,40,67,11551.3
18.349,694.9,1238.0,1543,2,67,11539.7
18.469,694.9,1238.0,1543,1,67,11526.3
18.589,694.9,1238.0,1543,1,67,11516.1
18.71,824.4,1238.0,1543,2,67,11504.9
18.829,824.4,1238.0,1543,0,67,11491.7
18.949,824.4,1238.0,1543,1,67,11483.9
19.069,824.4,1238.0,1543,1,67,11472.2
19.189,824.4,1238.0,1543,2,67,11462.2
19.308,824.4,1238.0,1543,0,67,11450.6
19.427,824.4,1238.0,1543,0,67,11439.9
19.547,824.4,1238.0,1543,1,67,11426.4
19.667,824.4,1238.0,1543,2,67,11420.9
19.788,824.4,1238.0,1543,0,67,11407.5
19.908,824.4,1238.0,1543,0,67,11394.1
20.029,824.4,1238.0,1543,1,67,11393.3
20.148,824.4,1238.0,1543,2,67,11380.3
20.268,824.4,1238.0,1543,1,67,11377.2
20.388,824.4,1238.0,1543,1,67,11363.9
20.508,824.4,1238.0,1543,1,67,11249.1
20.627,953.9,1238.0,1543,6,67,11280.7
20.746,1083.4,1238.0,1543,6,67,10982.9
20.869,1083.4,1238.0,1543,7,67,10886.5
