wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
42.41,0,0,0,19,76,3.15663,23.4913,0.001,,,,,,4096.0,,23556.8,18810.8,42378.4,687.5,1636.6,12501.4,24893.3
77.83,0,1,1,20,156,3.36443,28.917,0.0,6.12622,0.72361,6.06253,0.50265,0.0,4096.0,False,14542.5,20438.4,35401.2,702.8,1654.5,12572.0,24893.3
112.83,0,1,2,21,240,2.64364,14.0644,0.0,,,,,,4096.0,,10699.1,24296.1,35006.0,718.0,1673.5,11407.8,24893.3
146.95,0,2,3,22,328,2.33187,10.2972,0.001,2.11103,0.16295,1.87505,0.95606,0.0,4096.0,False,14284.9,19638.1,34109.1,702.8,1691.5,12268.3,24893.3
177.7,0,2,4,23,420,1.56718,4.7931,0.001,,,,,,4096.0,,9697.9,21036.0,30745.4,718.0,1680.0,12146.1,24893.3
209.25,0,3,5,24,516,2.91461,18.4416,0.000992403876506104,1.94325,0.21477,1.74155,0.83492,0.0,4096.0,False,11238.7,20104.9,31540.7,702.8,1697.9,12558.4,24893.3
240.7,0,3,6,25,616,1.66306,5.2754,0.000992403876506104,,,,,,4096.0,,9521.2,21906.8,31450.5,718.0,1686.4,11592.0,24893.3
273.48,0,4,7,25,716,1.53526,4.6425,0.0009698463103929542,1.31607,0.25184,1.1799,0.52579,0.0,4096.0,False,10719.2,21857.1,32770.2,702.8,1701.1,12036.7,24893.3
308.73,0,4,8,25,816,1.57533,4.8323,0.0009698463103929542,,,,,,4096.0,,9483.6,25755.4,35250.7,718.0,1686.4,12537.6,24893.3
344.97,0,5,9,26,920,1.34507,3.8385,0.0009330127018922195,1.1615,0.51438,0.78332,0.68622,0.0,4096.0,False,7729.6,28309.7,36236.9,702.8,1704.3,11683.7,24893.3
380.42,0,5,10,27,1028,1.59681,4.9373,0.0009330127018922195,,,,,,4096.0,,7924.2,27503.8,35440.1,718.0,1692.8,12002.9,24893.3
413.23,0,6,11,27,1136,1.59561,4.9313,0.000883022221559489,1.15152,0.34551,1.02604,0.39227,0.0,4096.0,False,8412.6,24182.0,32800.1,702.8,1707.5,12866.0,24893.3
446.06,0,6,12,28,1248,1.45994,4.3057,0.000883022221559489,,,,,,4096.0,,9404.2,23406.7,32831.9,718.0,1696.0,12073.6,24893.3
479.55,0,7,13,30,1368,1.5208,4.5759,0.0008213938048432696,0.70855,0.05584,0.69801,0.10818,0.0,4096.0,False,7460.0,25823.2,33478.3,702.8,1717.1,12806.6,24893.3
514.12,0,7,14,31,1492,1.50028,4.483,0.0008213938048432696,,,,,,4096.0,,6587.3,27962.5,34572.8,718.0,1705.6,12287.7,24893.3
544.68,0,8,15,33,1624,1.32305,3.7549,0.00075,0.7361,0.0571,0.72443,0.11741,0.0,4096.0,False,7348.5,23017.0,30546.1,702.8,1726.8,13061.1,24893.3
580.05,0,8,16,35,1764,0.89395,2.4448,0.00075,,,,,,4096.0,,8227.5,27114.5,35366.7,718.0,1718.5,11255.0,24893.3
614.84,0,9,17,37,1912,1.17056,3.2238,0.0006710100716628344,0.49481,0.05549,0.48399,0.08665,0.0,4096.0,False,10610.3,23963.8,34783.4,702.8,1739.6,12379.6,24893.3
647.88,0,9,18,38,2064,1.81561,6.1448,0.0006710100716628344,,,,,,4096.0,,8619.0,24391.9,33039.0,718.0,1728.1,11999.9,24893.3
678.42,0,10,19,42,2232,1.12743,3.0877,0.0005868240888334653,0.65162,0.0811,0.63131,0.13956,0.0,4096.0,False,9159.1,21177.7,30530.9,702.8,1755.7,12047.2,24893.3
713.96,0,10,20,45,2412,1.16354,3.2012,0.0005868240888334653,,,,,,4096.0,,11711.7,23805.1,35536.8,718.0,1750.5,11837.0,24893.3
753.01,0,11,21,51,2616,1.57512,4.8313,0.0005,0.4773,0.03812,0.4643,0.10388,0.0,4096.0,False,12430.5,26406.6,39042.5,702.8,1784.5,12156.8,24893.3
791.11,0,11,22,56,2840,1.56257,4.7711,0.0005,,,,,,4096.0,,9302.7,28769.8,38098.9,718.0,1785.8,11881.4,24893.3
843.83,0,12,23,66,3104,1.82705,6.2155,0.00041317591116653486,0.43051,0.04609,0.41551,0.10281,0.0,4096.0,False,12611.9,39883.9,52715.3,702.8,1832.7,12035.3,24893.3
888.4,0,12,24,70,3384,1.41349,4.1103,0.00041317591116653486,,,,,,4096.0,,11851.9,32683.1,44564.8,718.0,1830.8,12621.0,24893.3
