t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.0,656.0,668.0,1063,10,70,4079.0
0.119,656.6,670.0,1065,12,70,4173.2
0.238,720.8,730.0,1275,15,70,4259.3
0.359,850.3,870.0,1275,15,70,4344.3
0.478,979.8,990.0,1395,17,70,4438.4
0.598,979.8,990.0,1535,17,70,4526.8
0.718,1109.3,1130.0,1535,17,70,4622.0
0.837,1110.2,1132.0,1537,17,70,4724.7
0.959,1119.2,1254.0,1659,14,70,4819.4
1.079,697.2,1274.0,1679,69,71,4867.0
1.198,851.2,1274.0,1679,69,70,4955.2
1.317,980.7,1274.0,1679,17,70,5058.4
1.437,1110.2,1274.0,1679,18,70,5175.3
1.558,1113.5,1274.0,1679,18,70,5266.3
1.677,690.4,1274.0,1679,31,71,5307.4
1.804,851.4,1274.0,1679,53,71,5406.3
1.923,980.9,1274.0,1679,17,71,5512.3
2.041,1110.4,1274.0,1679,17,71,5615.3
2.16,1110.4,1274.0,1679,18,71,5708.4
2.281,690.7,1274.0,1679,55,73,5743.4
2.4,851.7,1274.0,1679,22,71,5837.1
2.521,981.2,1274.0,1679,22,71,5905.0
2.642,981.2,1274.0,1679,15,71,5961.5
2.769,981.2,1274.0,1679,14,71,6011.5
2.896,1110.7,1274.0,1679,14,71,6065.3
3.023,1110.7,1274.0,1679,14,71,6107.4
3.153,667.8,1276.0,1681,14,73,6134.9
3.28,698.0,1276.0,1681,58,72,6163.2
3.405,852.0,1276.0,1681,14,72,6211.2
3.53,852.0,1276.0,1681,14,71,6260.3
3.659,981.5,1276.0,1681,15,71,6309.4
3.786,981.5,1276.0,1681,14,71,6359.6
3.912,981.5,1276.0,1681,14,71,6403.1
4.041,1111.0,1276.0,1681,14,71,6441.9
4.167,1111.0,1276.0,1681,15,71,6471.3
4.291,691.3,1276.0,1681,23,74,6481.1
4.412,691.3,1276.0,1681,46,72,6475.4
4.536,722.8,1276.0,1681,46,72,6477.0
4.658,852.3,1276.0,1681,12,71,6479.3
4.78,852.3,1276.0,1681,11,72,6463.9
4.901,852.3,1276.0,1681,11,71,6450.1
5.024,852.3,1276.0,1681,10,71,6436.8
5.146,852.3,1276.0,1681,12,72,6419.1
5.268,852.3,1276.0,1681,11,72,6407.2
5.391,852.3,1276.0,1681,11,71,6394.3
5.512,852.3,1276.0,1681,11,71,6374.6
5.637,852.3,1276.0,1681,11,72,6356.1
5.759,852.3,1276.0,1681,11,71,6333.8
5.881,852.3,1276.0,1681,11,72,6315.5
6.005,852.3,1276.0,1681,11,72,6295.5
6.128,852.3,1276.0,1681,11,72,6264.2
6.251,852.3,1276.0,1681,11,72,6226.8
6.374,852.3,1276.0,1681,11,72,6214.5
6.499,852.3,1276.0,1681,11,72,6202.6
6.621,852.3,1276.0,1681,11,72,6191.7
6.744,852.3,1276.0,1681,11,72,6179.0
6.868,852.3,1276.0,1681,10,72,6166.5
6.989,981.8,1276.0,1681,11,72,6159.7
7.11,981.8,1276.0,1681,11,72,6149.1
7.232,981.8,1276.0,1681,11,72,6136.2
7.355,981.8,1276.0,1681,9,72,6116.5
7.478,981.8,1276.0,1681,0,72,6097.9
7.601,981.8,1276.0,1681,8,72,6086.4
7.724,981.8,1276.0,1681,8,72,6083.5
7.846,981.8,1276.0,1681,10,72,6072.1
7.969,981.8,1276.0,1681,9,72,6062.4
8.092,981.8,1276.0,1681,14,72,6045.9
8.215,1111.3,1276.0,1681,14,72,6091.8
8.336,1111.3,1276.0,1681,15,72,6084.9
8.46,1111.3,1276.0,1681,10,72,6072.6
8.582,1111.3,1276.0,1681,10,72,6059.8
8.705,1111.3,1276.0,1681,10,72,6053.4
8.828,1111.3,1276.0,1681,10,72,6042.2
8.95,1111.3,1276.0,1681,10,72,6031.1
9.072,1111.3,1276.0,1681,10,72,6018.7
9.196,1111.3,1276.0,1681,10,72,6007.4
9.319,1111.3,1276.0,1681,10,72,5996.0
9.444,1111.3,1276.0,1681,10,72,5983.9
