layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.85117,0.998276
0,q_proj,4,8.296875,8.282873,0.998312
0,q_proj,8,5.824219,5.814462,0.998325
0,q_proj,12,4.582031,4.574394,0.998333
0,q_proj,16,3.972656,3.966055,0.998338
0,q_proj,20,3.65625,3.650185,0.998341
0,q_proj,24,3.376953,3.371361,0.998344
0,q_proj,28,3.222656,3.217325,0.998346
0,q_proj,32,3.021484,3.016493,0.998348
0,q_proj,36,2.916016,2.911202,0.998349
0,q_proj,40,2.849609,2.844908,0.99835
0,q_proj,44,2.767578,2.763015,0.998351
0,q_proj,48,2.728516,2.724018,0.998352
0,q_proj,52,2.667969,2.663573,0.998352
0,q_proj,56,2.628906,2.624576,0.998353
0,q_proj,60,2.591797,2.587529,0.998353
0,q_proj,64,2.566406,2.562181,0.998354
0,q_proj,68,2.529297,2.525134,0.998354
0,q_proj,72,2.503906,2.499786,0.998355
0,q_proj,76,2.46875,2.464689,0.998355
0,q_proj,80,2.449219,2.445191,0.998355
0,q_proj,84,2.410156,2.406194,0.998356
0,q_proj,88,2.386719,2.382796,0.998356
0,q_proj,92,2.357422,2.353548,0.998357
0,q_proj,96,2.324219,2.320401,0.998357
0,q_proj,100,2.294922,2.291153,0.998358
0,q_proj,104,2.259766,2.256056,0.998358
0,q_proj,108,2.234375,2.230707,0.998359
0,q_proj,112,2.199219,2.19561,0.998359
0,q_proj,116,2.169922,2.166363,0.99836
0,q_proj,120,2.138672,2.135165,0.99836
0,q_proj,124,2.115234,2.111767,0.998361
0,k_proj,0,4.175781,4.17968,1.000934
0,k_proj,4,2.875,2.877545,1.000885
0,k_proj,8,2.638672,2.640978,1.000874
0,k_proj,12,2.572266,2.574505,1.000871
0,k_proj,16,2.488281,2.490437,1.000866
0,k_proj,20,2.455078,2.457201,1.000864
0,k_proj,24,2.423828,2.42592,1.000863
0,k_proj,28,2.386719,2.388773,1.000861
0,k_proj,32,2.373047,2.375088,1.00086
0,k_proj,36,2.34375,2.345762,1.000858
0,k_proj,40,2.328125,2.330122,1.000858
0,k_proj,44,2.298828,2.300796,1.000856
0,k_proj,48,2.28125,2.283201,1.000855
0,k_proj,52,2.259766,2.261695,1.000854
0,k_proj,56,2.238281,2.240189,1.000852
0,k_proj,60,2.226562,2.228459,1.000852
0,k_proj,64,2.207031,2.208909,1.000851
0,k_proj,68,2.185547,2.187403,1.000849
0,k_proj,72,2.158203,2.160033,1.000848
0,k_proj,76,2.138672,2.140482,1.000847
0,k_proj,80,2.105469,2.107247,1.000845
0,k_proj,84,2.076172,2.077921,1.000843
0,k_proj,88,2.042969,2.044686,1.000841
0,k_proj,92,1.999023,2.000698,1.000838
0,k_proj,96,1.958008,1.959643,1.000835
0,k_proj,100,1.914062,1.915655,1.000832
0,k_proj,104,1.869141,1.87069,1.000829
0,k_proj,108,1.820312,1.821815,1.000826
0,k_proj,112,1.78125,1.782715,1.000823
0,k_proj,116,1.750977,1.752413,1.00082
0,k_proj,120,1.724609,1.726021,1.000818
0,k_proj,124,1.710938,1.712336,1.000817
0,v_proj,0,1.24707,1.244162,0.997668
0,v_proj,4,0.82373,0.821859,0.997729
0,v_proj,8,0.696777,0.695212,0.997753
0,v_proj,12,0.658203,0.65673,0.997762
0,v_proj,16,0.650391,0.648936,0.997763
0,v_proj,20,0.644531,0.643091,0.997765
0,v_proj,24,0.639648,0.638219,0.997766
0,v_proj,28,0.635254,0.633835,0.997767
0,v_proj,32,0.631348,0.629938,0.997768
0,v_proj,36,0.627441,0.626041,0.997769
0,v_proj,40,0.623535,0.622144,0.99777
0,v_proj,44,0.619629,0.618247,0.997771
0,v_proj,48,0.615723,0.61435,0.997771
0,v_proj,52,0.612793,0.611428,0.997772
0,v_proj,56,0.60791,0.606557,0.997773
0,v_proj,60,0.603516,0.602172,0.997774
0,v_proj,64,0.600586,0.59925,0.997775
0,v_proj,68,0.596191,0.594866,0.997776
0,v_proj,72,0.59082,0.589507,0.997778
0,v_proj,76,0.587402,0.586097,0.997778
0,v_proj,80,0.583496,0.5822,0.997779
0,v_proj,84,0.57959,0.578303,0.99778
0,v_proj,88,0.57666,0.575381,0.997781
0,v_proj,92,0.572266,0.570997,0.997782
0,v_proj,96,0.567383,0.566125,0.997784
0,v_proj,100,0.562012,0.560767,0.997785
0,v_proj,104,0.557617,0.556383,0.997786
0,v_proj,108,0.552734,0.551511,0.997787
0,v_proj,112,0.548828,0.547614,0.997789
0,v_proj,116,0.542969,0.541769,0.99779
0,v_proj,120,0.537109,0.535923,0.997792
0,v_proj,124,0.533691,0.532513,0.997793
0,o_proj,0,5.992188,5.972291,0.99668
0,o_proj,4,3.150391,3.140304,0.996798
0,o_proj,8,2.304688,2.29744,0.996855
0,o_proj,12,1.967773,1.961641,0.996884
0,o_proj,16,1.761719,1.756264,0.996904
0,o_proj,20,1.685547,1.680341,0.996912
0,o_proj,24,1.599609,1.594684,0.996921
0,o_proj,28,1.535156,1.530441,0.996928
0,o_proj,32,1.500977,1.496372,0.996932
0,o_proj,36,1.467773,1.463277,0.996936
