t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,1289.7,1298.0,1700,4,69,3261.1
0.122,716.6,1298.0,1700,2,69,3323.6
0.243,846.1,1298.0,1700,2,69,3401.0
0.364,975.6,1298.0,1700,8,69,3485.2
0.483,1105.1,1438.0,1840,7,69,3562.7
0.603,1105.1,1438.0,1840,5,69,3614.6
0.724,685.8,1558.0,1960,5,70,3663.9
0.844,717.3,1558.0,1960,43,70,3707.0
0.963,846.8,1558.0,1960,14,70,3783.1
1.083,976.3,1558.0,1960,14,69,3854.4
1.202,976.3,1558.0,1960,7,69,3928.0
1.325,1105.8,1558.0,1960,9,69,4013.5
1.446,685.8,1558.0,1960,17,70,4056.8
1.566,717.4,1558.0,1960,17,70,4098.5
1.689,846.9,1558.0,1960,34,69,4174.5
1.811,976.4,1558.0,1960,8,69,4244.5
1.931,976.4,1558.0,1960,6,69,4322.8
2.051,1105.9,1558.0,1960,6,69,4398.3
2.173,685.9,1558.0,1960,6,69,4448.9
2.293,717.4,1558.0,1960,47,70,4488.2
2.415,846.9,1558.0,1960,47,70,4547.5
2.536,846.9,1558.0,1960,5,70,4614.5
2.658,976.4,1558.0,1960,7,70,4719.7
2.779,1105.9,1558.0,1960,8,70,4790.6
2.899,1105.9,1558.0,1960,8,70,4841.3
3.019,693.0,1558.0,1960,23,71,4876.9
3.14,847.0,1558.0,1960,23,70,4941.9
3.261,847.0,1558.0,1960,8,70,5011.5
3.383,976.5,1558.0,1960,8,70,5082.3
3.504,1106.0,1558.0,1960,6,70,5159.9
3.624,1106.0,1558.0,1960,6,70,5225.0
3.745,686.0,1558.0,1960,6,72,5259.0
3.867,847.0,1558.0,1960,44,70,5319.4
3.986,976.5,1558.0,1960,6,70,5418.8
4.106,1106.0,1558.0,1960,10,70,5539.5
4.226,1106.0,1558.0,1960,10,70,5621.5
4.346,686.1,1558.0,1960,11,73,5656.0
4.466,847.1,1558.0,1960,42,70,5771.0
4.585,976.6,1558.0,1960,42,70,5872.3
4.704,1106.1,1558.0,1960,9,70,5994.0
4.823,1106.1,1558.0,1960,9,70,6020.0
4.943,686.2,1558.0,1960,41,71,6043.6
5.062,847.2,1558.0,1960,41,70,6080.2
5.183,847.2,1558.0,1960,4,70,6151.2
5.303,976.7,1558.0,1960,9,70,6248.5
5.423,1106.2,1558.0,1960,9,70,6354.1
5.543,686.2,1558.0,1960,9,73,6403.7
5.663,847.2,1558.0,1960,43,71,6521.6
5.782,976.7,1558.0,1960,11,70,6615.1
5.901,1106.2,1558.0,1960,11,70,6710.9
6.021,1106.2,1558.0,1960,8,70,6809.4
6.141,693.3,1558.0,1960,43,71,6845.9
6.261,847.3,1558.0,1960,8,70,6901.4
6.541,847.3,1558.0,1960,2,70,6888.0
6.932,976.8,1558.0,1960,1,70,6894.8
7.304,1106.3,1558.0,1960,1,70,6913.0
7.666,1106.3,1558.0,1960,3,70,6935.7
8.027,693.3,1558.0,1960,24,70,6934.1
8.37,847.3,1558.0,1960,1,70,6927.6
8.731,847.3,1558.0,1960,1,70,6906.6
9.165,976.8,1558.0,1960,2,70,6904.2
9.488,976.8,1558.0,1960,4,70,6990.1
9.607,1106.3,1558.0,1960,4,70,7061.5
9.724,1106.4,1558.0,1960,6,70,7128.1
9.843,693.4,1558.0,1960,44,71,7171.3
9.961,847.4,1558.0,1960,7,70,7257.0
10.079,976.9,1558.0,1960,7,70,7306.5
10.2,976.9,1558.0,1960,8,70,7374.9
10.318,1106.4,1558.0,1960,8,70,7457.0
10.436,686.5,1558.0,1960,8,72,7514.0
10.554,718.0,1558.0,1960,43,71,7577.3
10.673,847.5,1558.0,1960,6,70,7652.2
10.79,977.0,1558.0,1960,8,70,7738.0
10.908,977.0,1558.0,1960,8,70,7811.3
11.026,1106.5,1558.0,1960,6,70,7877.7
11.146,1106.5,1558.0,1960,5,70,7950.9
11.264,686.5,1558.0,1960,5,71,7984.6
11.384,847.5,1558.0,1960,43,70,8059.2
11.503,847.5,1558.0,1960,6,70,8127.7
11.621,977.0,1558.0,1960,6,70,8195.4
11.739,977.0,1558.0,1960,6,70,8278.2
11.857,1106.5,1558.0,1960,8,70,8354.5
11.974,686.6,1558.0,1960,22,72,8403.1
12.092,847.6,1558.0,1960,22,71,8476.9
12.21,847.6,1558.0,1960,27,70,8561.7
12.328,977.1,1558.0,1960,9,70,8650.0
12.448,1106.6,1558.0,1960,9,70,8731.4
12.565,1106.6,1558.0,1960,7,70,8841.3
12.684,718.2,1558.0,1960,39,71,8917.1
12.802,977.2,1558.0,1960,19,70,9051.0
12.92,977.2,1558.0,1960,19,70,9127.3
13.039,1106.7,1558.0,1960,6,70,9235.6
13.157,686.7,1558.0,1960,25,72,9292.1
13.275,847.7,1558.0,1960,25,70,9382.2
13.393,847.7,1558.0,1960,29,70,9467.0
13.511,977.2,1558.0,1960,7,70,9550.5
13.63,1106.7,1558.0,1960,7,70,9645.4
13.749,1106.7,1558.0,1960,7,70,9727.4
13.868,686.8,1558.0,1960,26,71,9765.9
13.986,847.8,1558.0,1960,24,70,9847.3
14.103,847.8,1558.0,1960,24,70,9921.4
14.221,977.3,1558.0,1960,6,70,9989.7
14.339,1106.8,1558.0,1960,9,69,10082.7
14.457,1106.8,1558.0,1960,9,69,10164.8
14.576,690.3,1558.0,1960,12,71,10207.1
14.694,847.8,1558.0,1960,37,70,10286.0
14.813,977.3,1558.0,1960,8,70,10369.3
14.932,977.3,1558.0,1960,8,69,10458.9
15.05,1106.8,1558.0,1960,7,69,10543.6
15.17,686.9,1558.0,1960,7,69,10602.4
15.289,718.4,1558.0,1960,7,70,10665.8
15.408,847.9,1558.0,1960,44,70,10756.1
