wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
48.98,0,0,0,19,76,3.15666,23.492,0.001,,,,,,4096.0,,21754.0,27194.8,48959.0,659.5,1606.9,11054.5,24893.3
83.31,0,1,1,20,156,3.36421,28.9105,0.0,5.84925,0.7238,5.80429,0.0,0.0,4096.0,False,12064.5,22047.6,34316.8,673.0,1623.1,11510.5,24893.3
115.24,0,1,2,21,240,2.68717,14.69,0.0,,,,,,4096.0,,10568.0,21354.2,31930.8,686.5,1640.2,11975.4,24893.3
145.57,0,2,3,22,328,2.36621,10.6569,0.001,1.90723,0.19402,1.89733,0.0,0.0,4096.0,False,10106.9,20041.9,30324.7,673.0,1656.4,12024.0,24893.3
175.24,0,2,4,23,420,1.5988,4.9471,0.001,,,,,,4096.0,,7957.5,21680.2,29662.1,686.5,1646.5,11537.0,24893.3
206.71,0,3,5,24,516,2.93882,18.8936,0.000992403876506104,1.68079,0.23598,1.66414,0.0,0.0,4096.0,False,9725.6,21556.1,31469.7,673.0,1662.6,10989.5,24893.3
239.22,0,3,6,25,616,1.80377,6.0725,0.000992403876506104,,,,,,4096.0,,11401.2,21092.0,32504.8,686.5,1652.7,11863.4,24893.3
268.56,0,4,7,25,716,1.67973,5.3641,0.0009698463103929542,1.20869,0.16802,1.19695,0.0,0.0,4096.0,False,8864.2,20280.4,29330.3,673.0,1665.7,12032.1,24893.3
303.78,0,4,8,25,816,1.80435,6.076,0.0009698463103929542,,,,,,4096.0,,9134.1,26071.2,35215.1,686.5,1652.7,11788.1,24893.3
333.59,0,5,9,26,920,1.57577,4.8345,0.0009330127018922195,0.77316,0.11563,0.76447,0.0,0.0,4096.0,False,7550.7,22068.7,29799.6,673.0,1668.9,11915.0,24893.3
369.42,0,5,10,27,1028,1.96709,7.1498,0.0009330127018922195,,,,,,4096.0,,10662.0,25158.6,35834.6,686.5,1659.0,11749.6,24893.3
399.98,0,6,11,27,1136,1.91104,6.7601,0.000883022221559489,0.89068,0.099,0.88516,0.0,0.0,4096.0,False,8052.2,22296.4,30547.5,673.0,1672.0,12248.4,24893.3
431.05,0,6,12,28,1248,1.80628,6.0878,0.000883022221559489,,,,,,4096.0,,6568.2,24490.2,31071.3,686.5,1662.1,11557.7,24893.3
455.33,0,7,13,30,1368,1.85029,6.3617,0.0008213938048432696,0.85583,0.0879,0.8513,0.0,0.0,4096.0,False,8101.8,15986.8,24267.5,673.0,1681.4,12706.8,24893.3
499.19,0,7,14,31,1492,1.82163,6.182,0.0008213938048432696,,,,,,4096.0,,16387.5,27460.0,43859.2,686.5,1671.4,11668.4,24893.3
538.54,0,8,15,33,1624,1.59415,4.9241,0.00075,0.78177,0.08299,0.77735,0.0,0.0,4096.0,False,9077.0,29440.0,39336.9,673.0,1690.7,10904.6,24893.3
581.49,0,8,16,35,1764,1.14537,3.1436,0.00075,,,,,,4096.0,,18534.2,24355.0,42907.9,686.5,1684.0,11942.1,24893.3
621.95,0,9,17,37,1912,1.42205,4.1456,0.0006710100716628344,0.59926,0.07091,0.59505,0.0,0.0,4096.0,False,9735.7,30511.1,40452.8,673.0,1703.2,11847.4,24893.3
654.65,0,9,18,38,2064,2.04192,7.7054,0.0006710100716628344,,,,,,4096.0,,10258.2,22415.6,32691.7,686.5,1693.3,11911.5,24893.3
697.76,0,10,19,42,2232,1.32568,3.7648,0.0005868240888334653,0.64424,0.09346,0.63742,0.0,0.0,4096.0,False,11310.1,31602.9,43109.5,673.0,1718.9,12694.8,24893.3
735.72,0,10,20,45,2412,1.34659,3.8443,0.0005868240888334653,,,,,,4096.0,,6844.7,31073.1,37951.1,686.5,1715.2,12493.5,24893.3
776.23,0,11,21,51,2616,1.74298,5.7144,0.0005,0.50078,0.0485,0.49843,0.0,0.0,4096.0,False,8130.2,32166.8,40504.5,673.0,1747.0,11244.4,24893.3
825.69,0,11,22,56,2840,1.70412,5.4965,0.0005,,,,,,4096.0,,14904.0,34523.4,49458.6,686.5,1749.5,11243.1,24893.3
872.11,0,12,23,66,3104,1.94941,7.0245,0.00041317591116653486,0.43174,0.06531,0.42677,0.0,0.0,4096.0,False,15206.7,30979.3,46406.7,673.0,1793.8,11395.2,24893.3
917.31,0,12,24,70,3384,1.5201,4.5727,0.00041317591116653486,,,,,,4096.0,,15026.1,30138.9,45195.4,686.5,1793.3,11508.9,24893.3
965.12,0,13,25,72,3672,1.65552,5.2358,0.0003289899283371657,0.44393,0.05362,0.44068,0.0,0.0,4096.0,False,17506.6,30087.4,47810.4,673.0,1812.6,11497.9,24893.3
1012.16,0,13,26,82,4000,0.99321,2.6999,0.0003289899283371657,,,,,,4096.0,,15072.4,31915.4,47029.6,686.5,1830.8,11508.3,24893.3
1063.7,0,14,27,86,4344,1.36954,3.9335,0.0002500000000000001,0.33219,0.04424,0.32923,0.0,0.0,4096.0,False,15750.7,35577.1,51540.5,673.0,1856.3,12454.4,24893.3
1117.76,0,14,28,95,4724,1.1513,3.1623,0.0002500000000000001,,,,,,4096.0,,12301.1,41710.5,54057.4,686.5,1871.4,10803.4,24893.3
