t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.002,1300.2,1310.0,1712,3,69,2903.7
0.121,832.1,1310.0,1712,4,69,2990.7
0.239,832.1,1310.0,1712,8,69,3072.8
0.358,961.6,1310.0,1712,8,69,3158.0
0.476,1091.1,1450.0,1852,7,69,3248.4
0.594,1091.1,1450.0,1852,9,69,3334.2
0.712,672.0,1570.0,1972,9,70,3357.3
0.83,833.0,1570.0,1972,58,69,3440.4
0.948,833.0,1570.0,1972,7,69,3518.6
1.066,962.5,1570.0,1972,8,69,3602.0
1.185,962.5,1570.0,1972,8,69,3685.0
1.304,1092.0,1570.0,1972,7,69,3786.1
1.423,672.2,1570.0,1972,46,72,3816.5
1.541,833.3,1570.0,1972,46,70,3842.3
1.659,833.3,1570.0,1972,16,70,3927.7
1.777,962.8,1570.0,1972,7,70,4008.7
1.895,1092.3,1570.0,1972,7,70,4090.5
2.015,1092.3,1570.0,1972,7,70,4176.5
2.133,672.5,1570.0,1972,25,72,4205.6
2.251,833.5,1570.0,1972,32,70,4285.9
2.369,833.5,1570.0,1972,32,70,4395.2
2.487,963.0,1570.0,1972,9,70,4487.2
2.606,1092.5,1570.0,1972,9,70,4573.0
2.725,672.7,1570.0,1972,9,72,4631.6
2.843,704.3,1570.0,1972,37,70,4699.1
2.962,833.8,1570.0,1972,19,70,4779.6
3.08,963.3,1570.0,1972,9,70,4869.4
3.198,1092.8,1570.0,1972,9,70,4963.4
3.316,1092.8,1570.0,1972,8,70,5046.2
3.434,673.0,1570.0,1972,26,72,5076.4
3.554,834.0,1570.0,1972,26,70,5155.2
3.674,834.0,1570.0,1972,31,70,5246.8
3.794,963.5,1570.0,1972,7,70,5328.9
3.912,1093.0,1570.0,1972,7,70,5410.8
4.03,1093.0,1570.0,1972,7,69,5497.7
4.148,673.2,1570.0,1972,19,73,5528.2
4.266,834.3,1570.0,1972,39,70,5616.6
4.384,834.3,1570.0,1972,39,70,5710.5
4.502,963.8,1570.0,1972,8,70,5818.3
4.62,1093.3,1570.0,1972,10,69,5918.0
4.739,673.5,1570.0,1972,10,73,5958.4
4.856,834.5,1570.0,1972,49,70,6070.0
4.976,964.0,1570.0,1972,9,70,6172.7
5.095,964.0,1570.0,1972,10,69,6282.7
5.214,1093.5,1570.0,1972,10,69,6374.2
5.332,673.7,1570.0,1972,8,72,6415.6
5.451,834.8,1570.0,1972,49,70,6505.3
5.569,964.3,1570.0,1972,49,70,6606.8
5.688,964.3,1570.0,1972,10,69,6708.9
5.815,1093.8,1570.0,1972,8,69,6779.8
5.934,674.0,1570.0,1972,32,72,6814.2
6.052,835.0,1570.0,1972,32,70,6898.9
6.177,835.0,1570.0,1972,25,69,6998.3
6.295,964.5,1570.0,1972,7,69,7046.4
6.418,964.5,1570.0,1972,4,69,7103.6
6.539,1094.0,1570.0,1972,4,69,7154.4
6.662,1094.0,1570.0,1972,6,69,7209.4
6.785,674.3,1570.0,1972,30,72,7223.8
6.904,705.8,1570.0,1972,30,70,7272.7
7.025,835.3,1570.0,1972,22,69,7327.9
7.147,964.8,1570.0,1972,6,69,7392.6
