wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
39.47,0,0,0,19,76,3.15607,23.4781,0.001,,,,,,4096.0,,18330.7,21087.5,39445.4,634.9,1584.3,12740.3,24893.3
71.86,0,1,1,20,156,3.36498,28.9329,0.0,0.72433,0.72433,0.0,0.0,0.0,4096.0,False,10889.6,21295.7,32388.6,636.2,1588.1,12317.7,24893.3
106.99,0,1,2,21,240,3.96169,52.5463,0.0,,,,,,4096.0,,12671.3,22442.1,35125.8,637.4,1591.9,13412.3,24893.3
147.82,0,2,3,22,328,3.08017,21.7621,0.001,0.58074,0.58074,0.0,0.0,0.0,4096.0,False,12526.8,28107.9,40816.0,636.2,1595.7,11649.0,24893.3
259.81,0,2,4,23,420,2.13147,8.4273,0.001,,,,,,4096.0,,8895.6,103085.1,111991.3,637.4,1597.1,11267.9,24893.3
305.8,0,3,5,24,516,3.77867,43.7579,0.000992403876506104,0.61274,0.61274,0.0,0.0,0.0,4096.0,False,15680.1,30087.6,45977.9,636.2,1600.9,12103.3,24893.3
343.86,0,3,6,25,616,2.98048,19.6972,0.000992403876506104,,,,,,4096.0,,11710.8,26307.0,38060.1,637.4,1602.3,11111.0,24893.3
389.92,0,4,7,25,716,2.48463,11.9967,0.0009698463103929542,0.61101,0.61101,0.0,0.0,0.0,4096.0,False,10834.5,35020.5,46050.1,636.2,1603.5,11310.7,24893.3
427.33,0,4,8,25,816,3.20885,24.7507,0.0009698463103929542,,,,,,4096.0,,10000.7,27399.6,37406.1,637.4,1602.3,11931.1,24893.3
463.77,0,5,9,26,920,2.42837,11.3403,0.0009330127018922195,0.50381,0.50381,0.0,0.0,0.0,4096.0,False,10001.8,26243.2,36433.5,636.2,1606.1,12511.3,24893.3
497.61,0,5,10,27,1028,2.81825,16.7476,0.0009330127018922195,,,,,,4096.0,,7155.8,26651.1,33830.0,637.4,1607.4,11806.4,24893.3
529.26,0,6,11,27,1136,3.09024,21.9823,0.000883022221559489,0.45917,0.45917,0.0,0.0,0.0,4096.0,False,10688.6,20777.5,31640.8,636.2,1608.6,12484.3,24893.3
566.16,0,6,12,28,1248,2.80196,16.4769,0.000883022221559489,,,,,,4096.0,,8669.6,28218.4,36900.6,637.4,1610.0,11957.4,24893.3
597.52,0,7,13,30,1368,2.85246,17.3303,0.0008213938048432696,0.51937,0.51937,0.0,0.0,0.0,4096.0,False,7642.0,23490.2,31349.6,636.2,1616.4,12311.4,24893.3
635.85,0,7,14,31,1492,2.57157,13.0864,0.0008213938048432696,,,,,,4096.0,,5663.9,32647.9,38332.2,637.4,1617.8,11882.2,24893.3
667.3,0,8,15,33,1624,2.28313,9.8074,0.00075,0.38233,0.38233,0.0,0.0,0.0,4096.0,False,9329.6,21883.0,31440.6,636.2,1624.1,11933.0,24893.3
708.77,0,8,16,35,1764,2.47567,11.8897,0.00075,,,,,,4096.0,,10495.1,30942.9,41462.8,637.4,1628.1,10910.5,24893.3
751.27,0,9,17,37,1912,2.40686,11.099,0.0006710100716628344,0.4715,0.4715,0.0,0.0,0.0,4096.0,False,13945.2,28341.5,42493.9,636.2,1634.5,11192.0,24893.3
792.34,0,9,18,38,2064,2.82086,16.7914,0.0006710100716628344,,,,,,4096.0,,13780.4,27266.1,41074.1,637.4,1635.9,11774.6,24893.3
822.8,0,10,19,42,2232,1.94878,7.0201,0.0005868240888334653,0.30419,0.30419,0.0,0.0,0.0,4096.0,False,9695.2,20580.1,30444.6,636.2,1647.4,13001.7,24893.3
869.29,0,10,20,45,2412,2.21816,9.1904,0.0005868240888334653,,,,,,4096.0,,20395.0,26067.5,46494.2,637.4,1654.0,12196.0,24893.3
909.0,0,11,21,51,2616,2.5628,12.9722,0.0005,0.38975,0.38975,0.0,0.0,0.0,4096.0,False,10194.7,29293.1,39691.8,636.2,1670.7,11785.3,24893.3
951.72,0,11,22,56,2840,2.33307,10.3096,0.0005,,,,,,4096.0,,10141.9,32548.8,42720.5,637.4,1682.4,11988.3,24893.3
1000.17,0,12,23,66,3104,2.52112,12.4425,0.00041317591116653486,0.27774,0.27774,0.0,0.0,0.0,4096.0,False,10947.7,37293.4,48446.8,636.2,1709.4,11585.2,24893.3
1051.86,0,12,24,70,3384,2.04858,7.7569,0.00041317591116653486,,,,,,4096.0,,12178.6,39471.5,51680.0,637.4,1718.6,11391.2,24893.3
1096.7,0,13,25,72,3672,2.1267,8.3871,0.0003289899283371657,0.21945,0.21945,0.0,0.0,0.0,4096.0,False,13449.4,31179.8,44830.7,636.2,1724.9,11768.7,24893.3
1150.34,0,13,26,82,4000,1.43077,4.1819,0.0003289899283371657,,,,,,4096.0,,11792.4,41796.4,53635.3,637.4,1749.6,10760.9,24893.3
1200.86,0,14,27,86,4344,1.75024,5.756,0.0002500000000000001,0.17708,0.17708,0.0,0.0,0.0,4096.0,False,16622.4,33671.6,50513.2,636.2,1761.1,10277.7,24893.3
1261.37,0,14,28,95,4724,1.37832,3.9682,0.0002500000000000001,,,,,,4096.0,,18077.8,42374.2,60506.0,637.4,1783.2,11679.2,24893.3
1327.09,0,15,29,103,5136,1.83526,6.2667,0.0001786061951567303,0.15156,0.15156,0.0,0.0,0.0,4096.0,False,18779.1,46458.2,65710.5,636.2,1805.1,7767.5,24893.3
