layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.871933,0.999183
0,q_proj,4,8.296875,8.290168,0.999192
0,q_proj,8,5.824219,5.819527,0.999194
0,q_proj,12,4.582031,4.578349,0.999196
0,q_proj,16,3.972656,3.969468,0.999198
0,q_proj,20,3.65625,3.653318,0.999198
0,q_proj,24,3.376953,3.374248,0.999199
0,q_proj,28,3.222656,3.220076,0.999199
0,q_proj,32,3.021484,3.019066,0.9992
0,q_proj,36,2.916016,2.913683,0.9992
0,q_proj,40,2.849609,2.84733,0.9992
0,q_proj,44,2.767578,2.765365,0.9992
0,q_proj,48,2.728516,2.726334,0.999201
0,q_proj,52,2.667969,2.665836,0.999201
0,q_proj,56,2.628906,2.626805,0.999201
0,q_proj,60,2.591797,2.589726,0.999201
0,q_proj,64,2.566406,2.564356,0.999201
0,q_proj,68,2.529297,2.527277,0.999201
0,q_proj,72,2.503906,2.501906,0.999201
0,q_proj,76,2.46875,2.466778,0.999201
0,q_proj,80,2.449219,2.447263,0.999201
0,q_proj,84,2.410156,2.408232,0.999202
0,q_proj,88,2.386719,2.384813,0.999202
0,q_proj,92,2.357422,2.35554,0.999202
0,q_proj,96,2.324219,2.322364,0.999202
0,q_proj,100,2.294922,2.29309,0.999202
0,q_proj,104,2.259766,2.257962,0.999202
0,q_proj,108,2.234375,2.232592,0.999202
0,q_proj,112,2.199219,2.197464,0.999202
0,q_proj,116,2.169922,2.168191,0.999202
0,q_proj,120,2.138672,2.136966,0.999202
0,q_proj,124,2.115234,2.113548,0.999203
0,k_proj,0,4.175781,4.178453,1.00064
0,k_proj,4,2.875,2.876834,1.000638
0,k_proj,8,2.638672,2.640354,1.000638
0,k_proj,12,2.572266,2.573905,1.000637
0,k_proj,16,2.488281,2.489867,1.000637
0,k_proj,20,2.455078,2.456642,1.000637
0,k_proj,24,2.423828,2.425372,1.000637
0,k_proj,28,2.386719,2.388239,1.000637
0,k_proj,32,2.373047,2.374558,1.000637
0,k_proj,36,2.34375,2.345243,1.000637
0,k_proj,40,2.328125,2.329608,1.000637
0,k_proj,44,2.298828,2.300292,1.000637
0,k_proj,48,2.28125,2.282703,1.000637
0,k_proj,52,2.259766,2.261204,1.000637
0,k_proj,56,2.238281,2.239707,1.000637
0,k_proj,60,2.226562,2.22798,1.000637
0,k_proj,64,2.207031,2.208436,1.000637
0,k_proj,68,2.185547,2.186938,1.000637
0,k_proj,72,2.158203,2.159577,1.000637
0,k_proj,76,2.138672,2.140033,1.000637
0,k_proj,80,2.105469,2.106809,1.000636
0,k_proj,84,2.076172,2.077493,1.000636
0,k_proj,88,2.042969,2.044269,1.000636
0,k_proj,92,1.999023,2.000295,1.000636
0,k_proj,96,1.958008,1.959253,1.000636
0,k_proj,100,1.914062,1.91528,1.000636
0,k_proj,104,1.869141,1.870329,1.000636
0,k_proj,108,1.820312,1.82147,1.000636
0,k_proj,112,1.78125,1.782382,1.000636
0,k_proj,116,1.750977,1.752089,1.000635
0,k_proj,120,1.724609,1.725705,1.000635
0,k_proj,124,1.710938,1.712025,1.000635
0,v_proj,0,1.24707,1.245192,0.998493
0,v_proj,4,0.82373,0.822488,0.998492
0,v_proj,8,0.696777,0.695726,0.998491
0,v_proj,12,0.658203,0.65721,0.998491
0,v_proj,16,0.650391,0.649409,0.998491
0,v_proj,20,0.644531,0.643559,0.998491
0,v_proj,24,0.639648,0.638683,0.998491
0,v_proj,28,0.635254,0.634295,0.998491
0,v_proj,32,0.631348,0.630395,0.998491
0,v_proj,36,0.627441,0.626494,0.998491
0,v_proj,40,0.623535,0.622594,0.998491
0,v_proj,44,0.619629,0.618694,0.998491
0,v_proj,48,0.615723,0.614793,0.998491
0,v_proj,52,0.612793,0.611868,0.998491
0,v_proj,56,0.60791,0.606993,0.998491
0,v_proj,60,0.603516,0.602605,0.998491
0,v_proj,64,0.600586,0.599679,0.99849
0,v_proj,68,0.596191,0.595291,0.99849
0,v_proj,72,0.59082,0.589928,0.99849
0,v_proj,76,0.587402,0.586516,0.99849
0,v_proj,80,0.583496,0.582615,0.99849
0,v_proj,84,0.57959,0.578715,0.99849
0,v_proj,88,0.57666,0.57579,0.99849
0,v_proj,92,0.572266,0.571402,0.99849
0,v_proj,96,0.567383,0.566526,0.99849
0,v_proj,100,0.562012,0.561163,0.99849
0,v_proj,104,0.557617,0.556775,0.99849
0,v_proj,108,0.552734,0.5519,0.99849
0,v_proj,112,0.548828,0.548,0.99849
0,v_proj,116,0.542969,0.542149,0.99849
0,v_proj,120,0.537109,0.536298,0.99849
0,v_proj,124,0.533691,0.532886,0.99849
0,o_proj,0,5.992188,5.993761,1.000263
0,o_proj,4,3.150391,3.1512,1.000257
0,o_proj,8,2.304688,2.305274,1.000254
0,o_proj,12,1.967773,1.968271,1.000253
0,o_proj,16,1.761719,1.762162,1.000252
0,o_proj,20,1.685547,1.685971,1.000251
0,o_proj,24,1.599609,1.600011,1.000251
0,o_proj,28,1.535156,1.535541,1.000251
0,o_proj,32,1.500977,1.501353,1.00025
0,o_proj,36,1.467773,1.468141,1.00025
0,o_proj,40,1.444336,1.444697,1.00025
0,o_proj,44,1.419922,1.420277,1.00025
0,o_proj,48,1.404297,1.404648,1.00025
0,o_proj,52,1.379883,1.380227,1.00025
0,o_proj,56,1.368164,1.368506,1.00025
0,o_proj,60,1.348633,1.348969,1.00025
0,o_proj,64,1.338867,1.339201,1.000249
0,o_proj,68,1.326172,1.326503,1.000249
0,o_proj,72,1.314453,1.314781,1.000249
0,o_proj,76,1.306641,1.306966,1.000249
0,o_proj,80,1.295898,1.296221,1.000249
0,o_proj,84,1.286133,1.286453,1.000249
0,o_proj,88,1.276367,1.276685,1.000249
0,o_proj,92,1.266602,1.266917,1.000249
0,o_proj,96,1.259766,1.260079,1.000249
0,o_proj,100,1.250977,1.251288,1.000249
0,o_proj,104,1.244141,1.24445,1.000249
0,o_proj,108,1.236328,1.236636,1.000249
0,o_proj,112,1.225586,1.225891,1.000249
0,o_proj,116,1.21875,1.219053,1.000249
0,o_proj,120,1.208008,1.208308,1.000249
0,o_proj,124,1.200195,1.200494,1.000249
1,q_proj,0,10.46875,10.469507,1.000072
1,q_proj,4,6.605469,6.605944,1.000072
1,q_proj,8,5.5,5.500395,1.000072
1,q_proj,12,4.859375,4.859723,1.000072
1,q_proj,16,4.640625,4.640957,1.000072
1,q_proj,20,4.285156,4.285463,1.000072
1,q_proj,24,4.042969,4.043258,1.000071
1,q_proj,28,3.804688,3.804959,1.000071
1,q_proj,32,3.712891,3.713156,1.000071
1,q_proj,36,3.558594,3.558848,1.000071
1,q_proj,40,3.449219,3.449465,1.000071
1,q_proj,44,3.361328,3.361568,1.000071
