wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
44.74,0,0,0,19,76,3.158,23.5235,0.001,,,,,,4096.0,,20874.6,23839.9,44724.3,40.8,974.3,12954.6,24893.3
77.27,0,1,1,20,156,3.36632,28.9718,0.0,6.05584,0.0,6.05584,0.0,0.0,4096.0,False,10481.4,21935.7,32515.3,53.1,989.3,12760.1,24893.3
105.08,0,1,2,21,240,2.69456,14.7991,0.0,,,,,,4096.0,,6969.0,20829.1,27806.6,65.4,1005.1,12978.9,24893.3
129.95,0,2,3,22,328,2.35415,10.5292,0.001,1.85787,0.0,1.85787,0.0,0.0,4096.0,False,5676.1,19107.1,24870.3,53.1,1020.1,12742.5,24893.3
157.4,0,2,4,23,420,1.58659,4.887,0.001,,,,,,4096.0,,9681.1,17735.5,27444.3,65.4,1011.3,13112.8,24893.3
183.62,0,3,5,24,516,2.93419,18.8063,0.000992403876506104,1.61744,0.0,1.61744,0.0,0.0,4096.0,False,6929.3,19171.0,26211.0,53.1,1026.3,11986.8,24893.3
216.46,0,3,6,25,616,1.80467,6.078,0.000992403876506104,,,,,,4096.0,,11783.2,21029.4,32841.3,65.4,1017.6,13047.8,24893.3
245.57,0,4,7,25,716,1.6628,5.274,0.0009698463103929542,1.15315,0.0,1.15315,0.0,0.0,4096.0,False,6571.8,22428.7,29101.5,53.1,1029.4,11768.8,24893.3
274.17,0,4,8,25,816,1.81763,6.1572,0.0009698463103929542,,,,,,4096.0,,12291.9,16276.0,28595.0,65.4,1017.6,13075.8,24893.3
302.92,0,5,9,26,920,1.58539,4.8812,0.0009330127018922195,1.15133,0.0,1.15133,0.0,0.0,4096.0,False,5647.0,23013.8,28742.2,53.1,1032.5,12829.5,24893.3
327.9,0,5,10,27,1028,1.96729,7.1513,0.0009330127018922195,,,,,,4096.0,,4965.8,20003.9,24980.3,65.4,1023.8,13005.8,24893.3
366.64,0,6,11,27,1136,1.89168,6.6305,0.000883022221559489,0.79277,0.0,0.79277,0.0,0.0,4096.0,False,11078.1,27544.7,38725.9,53.1,1035.6,12193.4,24893.3
396.4,0,6,12,28,1248,1.78681,5.9704,0.000883022221559489,,,,,,4096.0,,6091.8,23660.8,29764.2,65.4,1026.9,12999.2,24893.3
420.13,0,7,13,30,1368,1.85234,6.3747,0.0008213938048432696,0.71548,0.0,0.71548,0.0,0.0,4096.0,False,3664.5,19965.4,23721.9,53.1,1045.0,13042.2,24893.3
452.22,0,7,14,31,1492,1.80309,6.0683,0.0008213938048432696,,,,,,4096.0,,4842.4,27236.9,32090.2,65.4,1036.3,12966.0,24893.3
483.54,0,8,15,33,1624,1.59639,4.9352,0.00075,0.75277,0.0,0.75277,0.0,0.0,4096.0,False,4240.6,26949.9,31308.5,53.1,1054.3,11942.0,24893.3
515.98,0,8,16,35,1764,1.1433,3.1371,0.00075,,,,,,4096.0,,7644.9,24773.1,32432.5,65.4,1048.7,13000.3,24893.3
548.56,0,9,17,37,1912,1.41801,4.1289,0.0006710100716628344,1.23005,0.0,1.23005,0.0,0.0,4096.0,False,5393.7,27068.5,32578.1,53.1,1066.8,12692.3,24893.3
589.31,0,9,18,38,2064,2.04676,7.7428,0.0006710100716628344,,,,,,4096.0,,11480.1,29241.9,40743.2,65.4,1058.1,12742.0,24893.3
621.13,0,10,19,42,2232,1.32384,3.7578,0.0005868240888334653,0.73825,0.0,0.73825,0.0,0.0,4096.0,False,6984.2,24742.9,31819.6,53.1,1082.4,13239.8,24893.3
658.4,0,10,20,45,2412,1.34288,3.8301,0.0005868240888334653,,,,,,4096.0,,6790.9,30442.9,37263.9,65.4,1079.9,12849.1,24893.3
694.49,0,11,21,51,2616,1.74705,5.7377,0.0005,0.479,0.0,0.479,0.0,0.0,4096.0,False,7806.7,28170.9,36080.2,53.1,1110.4,12842.4,24893.3
731.77,0,11,22,56,2840,1.69427,5.4427,0.0005,,,,,,4096.0,,6683.9,30573.1,37279.1,65.4,1114.2,12797.0,24893.3
775.2,0,12,23,66,3104,1.94289,6.9789,0.00041317591116653486,0.81776,0.0,0.81776,0.0,0.0,4096.0,False,15505.5,27791.4,43418.1,53.1,1157.2,12791.7,24893.3
826.49,0,12,24,70,3384,1.51625,4.5551,0.00041317591116653486,,,,,,4096.0,,11370.1,39886.5,51292.3,65.4,1157.8,11730.8,24893.3
865.04,0,13,25,72,3672,1.65166,5.2156,0.0003289899283371657,0.57417,0.0,0.57417,0.0,0.0,4096.0,False,13049.9,25377.9,38538.6,53.1,1175.9,12860.4,24893.3
909.8,0,13,26,82,4000,0.9876,2.6848,0.0003289899283371657,,,,,,4096.0,,9283.9,35431.4,44757.7,65.4,1195.2,12696.3,24893.3
953.91,0,14,27,86,4344,1.37022,3.9362,0.0002500000000000001,0.33186,0.0,0.33186,0.0,0.0,4096.0,False,9998.9,33984.7,44109.9,53.1,1219.5,12684.8,24893.3
991.86,0,14,28,95,4724,1.14213,3.1334,0.0002500000000000001,,,,,,4096.0,,9123.4,28764.3,37944.8,65.4,1235.8,12717.0,24893.3
1048.37,0,15,29,103,5136,1.51736,4.5602,0.0001786061951567303,0.31744,0.0,0.31744,0.0,0.0,4096.0,False,11577.4,44781.7,56497.6,53.1,1272.6,12413.9,24893.3
1108.77,0,15,30,108,5568,1.42183,4.1447,0.0001786061951567303,,,,,,4096.0,,12302.7,48051.4,60398.3,65.4,1276.3,11760.9,24893.3
1163.62,0,16,31,113,6020,1.41874,4.1319,0.00011697777844051105,0.31527,0.0,0.31527,0.0,0.0,4096.0,False,13151.9,41539.8,54840.3,53.1,1303.7,11814.4,24893.3
1217.29,0,16,32,126,6524,1.32407,3.7587,0.00011697777844051105,,,,,,4096.0,,13238.6,40374.6,53670.9,65.4,1332.4,12002.9,24893.3
1288.08,0,17,33,148,7116,1.60228,4.9643,6.698729810778065e-05,0.26558,0.0,0.26558,0.0,0.0,4096.0,False,14715.9,55911.3,70776.8,53.1,1412.9,11911.3,24893.3
1353.76,0,17,34,165,7776,1.65024,5.2083,6.698729810778065e-05,,,,,,4096.0,,17590.9,48019.8,65681.2,65.4,1454.1,11982.3,24893.3
1461.67,0,18,35,227,8684,1.48881,4.4318,3.0153689607045842e-05,0.29019,0.0,0.29019,0.0,0.0,4096.0,False,25937.7,81808.5,107904.2,53.1,1659.5,12378.2,24893.3
1565.81,0,18,36,242,9652,1.68095,5.3706,3.0153689607045842e-05,,,,,,4096.0,,22042.5,81989.5,104136.4,65.4,1694.5,12488.0,24893.3
1637.94,0,19,37,256,10164,1.11177,3.0397,7.59612349389599e-06,0.23579,0.0,0.23579,0.0,0.0,4096.0,False,12810.4,59179.7,72117.3,53.1,1352.4,11740.4,24893.3
