t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,646.0,682.0,980,2,68,3378.6
0.135,214.7,682.0,980,1,68,3455.2
0.253,214.7,682.0,980,8,67,3530.0
0.371,344.2,682.0,980,8,67,3604.0
0.489,344.2,682.0,980,8,67,3680.5
0.617,473.7,822.0,1120,6,67,3714.0
0.743,473.7,822.0,1260,7,67,3774.8
0.86,54.5,962.0,1260,7,68,3806.3
1.008,215.5,962.0,1260,55,68,3901.7
1.126,345.0,962.0,1260,7,68,3986.2
1.244,345.0,962.0,1260,9,68,4068.1
1.364,474.5,962.0,1260,9,68,4146.9
1.483,54.7,962.0,1260,8,68,4154.8
1.6,86.3,962.0,1260,50,68,4199.8
1.719,215.8,962.0,1260,8,68,4278.7
1.836,345.3,962.0,1260,8,68,4351.2
1.954,345.3,962.0,1260,8,68,4427.1
2.072,474.8,962.0,1260,7,68,4532.9
2.189,55.0,962.0,1260,7,69,4599.4
2.306,86.5,962.0,1260,41,69,4666.6
2.424,216.0,962.0,1260,17,68,4753.0
2.542,345.5,962.0,1260,7,68,4833.9
2.661,345.5,962.0,1260,7,68,4912.1
2.778,475.0,962.0,1260,8,68,4983.9
2.896,55.2,962.0,1260,16,69,5043.8
3.013,86.7,962.0,1260,16,69,5100.4
3.131,216.2,962.0,1260,38,68,5181.1
3.249,345.7,962.0,1260,8,68,5262.5
3.367,345.7,962.0,1260,8,68,5356.4
3.484,475.2,962.0,1260,9,68,5441.6
3.602,55.4,962.0,1260,6,68,5488.3
3.719,86.9,962.0,1260,47,69,5543.3
3.837,216.4,962.0,1260,47,68,5618.7
3.955,345.9,962.0,1260,8,68,5688.5
4.072,345.9,962.0,1260,7,68,5774.8
4.189,475.4,962.0,1260,7,68,5853.4
4.307,475.4,962.0,1260,8,68,5932.8
4.425,62.6,962.0,1260,47,69,5982.4
4.543,216.6,962.0,1260,47,68,6068.8
4.661,346.1,962.0,1260,8,68,6179.7
4.779,475.6,962.0,1260,10,68,6278.0
4.897,475.6,962.0,1260,11,68,6378.0
5.014,87.4,962.0,1260,11,68,6428.6
5.133,216.9,962.0,1260,47,68,6539.7
5.251,346.4,962.0,1260,11,68,6651.3
5.368,475.9,962.0,1260,11,68,6738.6
5.487,475.9,962.0,1260,11,68,6822.5
5.604,56.1,962.0,1260,55,69,6860.4
5.722,217.1,962.0,1260,14,68,6966.2
5.84,346.6,962.0,1260,14,68,7070.3
5.957,476.1,962.0,1260,11,67,7175.6
6.075,476.1,962.0,1260,9,67,7266.9
6.193,87.8,962.0,1260,9,69,7312.0
6.311,217.3,962.0,1260,47,68,7434.3
6.429,346.8,962.0,1260,11,68,7530.3
6.547,476.3,962.0,1260,11,67,7632.7
6.665,56.5,962.0,1260,9,70,7711.5
6.783,88.0,962.0,1260,48,68,7768.8
6.901,217.5,962.0,1260,9,68,7868.6
7.018,347.0,962.0,1260,9,67,7947.4
7.136,347.0,962.0,1260,8,67,8033.2
7.254,476.5,962.0,1260,8,67,8126.2
7.371,56.7,962.0,1260,8,70,8159.1
7.488,217.7,962.0,1260,47,68,8239.8
7.607,217.7,962.0,1260,8,67,8320.3
7.724,347.2,962.0,1260,8,67,8397.0
7.842,347.2,962.0,1260,7,67,8481.8
7.959,476.7,962.0,1260,9,67,8559.2
8.077,56.9,962.0,1260,27,70,8600.5
8.194,88.5,962.0,1260,27,68,8664.7
8.312,218.0,962.0,1260,25,67,8759.9
