wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,grad_lora,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
35.88,0,0,0,19,76,3.1562,23.4811,0.001,,,,,,4096.0,,17934.0,17915.4,35859.8,662.9,1613.9,12891.8,24893.3
67.57,0,1,1,20,156,3.36535,28.9438,0.0,0.87379,0.72419,0.0,0.48894,0.0,4096.0,False,6248.0,25228.8,31679.4,665.9,1619.5,12758.1,24893.3
93.35,0,1,2,21,240,3.8891,48.8668,0.0,,,,,,4096.0,,4939.0,20810.3,25778.1,668.9,1625.3,13311.1,24893.3
126.99,0,2,3,22,328,3.01512,20.3915,0.001,1.51749,0.54977,0.0,1.4144,0.0,4096.0,False,5524.5,27926.8,33631.5,665.9,1630.8,12114.9,24893.3
157.03,0,2,4,23,420,2.06708,7.9017,0.001,,,,,,4096.0,,6821.4,23213.4,30045.0,668.9,1630.6,11855.8,24893.3
193.24,0,3,5,24,516,3.71358,41.0005,0.000992403876506104,1.44358,0.56996,0.0,1.3263,0.0,4096.0,False,8293.2,27724.4,36202.0,665.9,1636.2,12157.0,24893.3
218.83,0,3,6,25,616,2.78054,16.1278,0.000992403876506104,,,,,,4096.0,,7084.3,18492.5,25586.7,668.9,1635.9,12973.0,24893.3
242.46,0,4,7,25,716,2.27036,9.6829,0.0009698463103929542,0.92928,0.58248,0.0,0.72407,0.0,4096.0,False,4105.1,19336.9,23622.2,665.9,1638.8,12914.6,24893.3
263.23,0,4,8,25,816,2.82601,16.8779,0.0009698463103929542,,,,,,4096.0,,3592.2,17155.9,20760.3,668.9,1635.9,12800.6,24893.3
300.69,0,5,9,26,920,2.08463,8.0416,0.0009330127018922195,0.97499,0.5226,0.0,0.8231,0.0,4096.0,False,9481.7,27790.0,37454.6,665.9,1641.5,12191.5,24893.3
331.96,0,5,10,27,1028,2.33137,10.292,0.0009330127018922195,,,,,,4096.0,,8036.3,23202.5,31266.5,668.9,1641.3,12995.0,24893.3
363.59,0,6,11,27,1136,2.54465,12.7387,0.000883022221559489,1.22767,0.6817,0.0,1.02101,0.0,4096.0,False,5503.3,25935.0,31624.1,665.9,1644.2,12660.8,24893.3
