layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.874155,0.99928
0,q_proj,4,8.296875,8.290968,0.999288
0,q_proj,8,5.824219,5.820087,0.999291
0,q_proj,12,4.582031,4.578789,0.999292
0,q_proj,16,3.972656,3.969849,0.999293
0,q_proj,20,3.65625,3.653669,0.999294
0,q_proj,24,3.376953,3.374571,0.999295
0,q_proj,28,3.222656,3.220384,0.999295
0,q_proj,32,3.021484,3.019355,0.999295
0,q_proj,36,2.916016,2.913962,0.999296
0,q_proj,40,2.849609,2.847603,0.999296
0,q_proj,44,2.767578,2.76563,0.999296
0,q_proj,48,2.728516,2.726595,0.999296
0,q_proj,52,2.667969,2.666091,0.999296
0,q_proj,56,2.628906,2.627057,0.999296
0,q_proj,60,2.591797,2.589974,0.999297
0,q_proj,64,2.566406,2.564601,0.999297
0,q_proj,68,2.529297,2.527518,0.999297
0,q_proj,72,2.503906,2.502145,0.999297
0,q_proj,76,2.46875,2.467014,0.999297
0,q_proj,80,2.449219,2.447497,0.999297
0,q_proj,84,2.410156,2.408462,0.999297
0,q_proj,88,2.386719,2.385041,0.999297
0,q_proj,92,2.357422,2.355765,0.999297
0,q_proj,96,2.324219,2.322586,0.999297
0,q_proj,100,2.294922,2.293309,0.999297
0,q_proj,104,2.259766,2.258178,0.999298
0,q_proj,108,2.234375,2.232805,0.999298
0,q_proj,112,2.199219,2.197674,0.999298
0,q_proj,116,2.169922,2.168398,0.999298
0,q_proj,120,2.138672,2.13717,0.999298
0,q_proj,124,2.115234,2.11375,0.999298
0,k_proj,0,4.175781,4.178071,1.000548
0,k_proj,4,2.875,2.876569,1.000546
0,k_proj,8,2.638672,2.64011,1.000545
0,k_proj,12,2.572266,2.573667,1.000545
0,k_proj,16,2.488281,2.489637,1.000545
0,k_proj,20,2.455078,2.456415,1.000545
0,k_proj,24,2.423828,2.425148,1.000545
0,k_proj,28,2.386719,2.388018,1.000544
0,k_proj,32,2.373047,2.374339,1.000544
0,k_proj,36,2.34375,2.345026,1.000544
0,k_proj,40,2.328125,2.329392,1.000544
0,k_proj,44,2.298828,2.300079,1.000544
0,k_proj,48,2.28125,2.282491,1.000544
0,k_proj,52,2.259766,2.260995,1.000544
0,k_proj,56,2.238281,2.239499,1.000544
0,k_proj,60,2.226562,2.227774,1.000544
0,k_proj,64,2.207031,2.208232,1.000544
0,k_proj,68,2.185547,2.186735,1.000544
0,k_proj,72,2.158203,2.159377,1.000544
0,k_proj,76,2.138672,2.139835,1.000544
0,k_proj,80,2.105469,2.106613,1.000544
0,k_proj,84,2.076172,2.0773,1.000543
0,k_proj,88,2.042969,2.044079,1.000543
0,k_proj,92,1.999023,2.000109,1.000543
0,k_proj,96,1.958008,1.959071,1.000543
0,k_proj,100,1.914062,1.915102,1.000543
0,k_proj,104,1.869141,1.870155,1.000543
0,k_proj,108,1.820312,1.8213,1.000543
0,k_proj,112,1.78125,1.782216,1.000542
0,k_proj,116,1.750977,1.751926,1.000542
0,k_proj,120,1.724609,1.725544,1.000542
0,k_proj,124,1.710938,1.711865,1.000542
0,v_proj,0,1.24707,1.245118,0.998435
0,v_proj,4,0.82373,0.822443,0.998437
0,v_proj,8,0.696777,0.695689,0.998438
0,v_proj,12,0.658203,0.657175,0.998438
0,v_proj,16,0.650391,0.649375,0.998438
0,v_proj,20,0.644531,0.643524,0.998438
0,v_proj,24,0.639648,0.638649,0.998438
0,v_proj,28,0.635254,0.634262,0.998438
0,v_proj,32,0.631348,0.630361,0.998438
0,v_proj,36,0.627441,0.626461,0.998438
0,v_proj,40,0.623535,0.622561,0.998438
0,v_proj,44,0.619629,0.618661,0.998438
0,v_proj,48,0.615723,0.614761,0.998438
0,v_proj,52,0.612793,0.611836,0.998438
0,v_proj,56,0.60791,0.606961,0.998438
0,v_proj,60,0.603516,0.602573,0.998438
0,v_proj,64,0.600586,0.599648,0.998438
0,v_proj,68,0.596191,0.59526,0.998438
0,v_proj,72,0.59082,0.589898,0.998438
0,v_proj,76,0.587402,0.586485,0.998438
0,v_proj,80,0.583496,0.582585,0.998438
0,v_proj,84,0.57959,0.578685,0.998438
0,v_proj,88,0.57666,0.57576,0.998438
0,v_proj,92,0.572266,0.571372,0.998438
0,v_proj,96,0.567383,0.566497,0.998439
0,v_proj,100,0.562012,0.561134,0.998439
0,v_proj,104,0.557617,0.556747,0.998439
0,v_proj,108,0.552734,0.551871,0.998439
0,v_proj,112,0.548828,0.547971,0.998439
0,v_proj,116,0.542969,0.542121,0.998439
0,v_proj,120,0.537109,0.536271,0.998439
0,v_proj,124,0.533691,0.532858,0.998439
0,o_proj,0,5.992188,5.992211,1.000004
0,o_proj,4,3.150391,3.150378,0.999996
0,o_proj,8,2.304688,2.30467,0.999992
0,o_proj,12,1.967773,1.967755,0.99999
0,o_proj,16,1.761719,1.7617,0.999989
0,o_proj,20,1.685547,1.685528,0.999989
0,o_proj,24,1.599609,1.59959,0.999988
0,o_proj,28,1.535156,1.535137,0.999987
0,o_proj,32,1.500977,1.500957,0.999987
0,o_proj,36,1.467773,1.467754,0.999987
0,o_proj,40,1.444336,1.444317,0.999987
0,o_proj,44,1.419922,1.419903,0.999986
