layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.838108,0.997706
0,q_proj,4,8.296875,8.278435,0.997777
0,q_proj,8,5.824219,5.811419,0.997802
0,q_proj,12,4.582031,4.572039,0.997819
0,q_proj,16,3.972656,3.964032,0.997829
0,q_proj,20,3.65625,3.648334,0.997835
0,q_proj,24,3.376953,3.369661,0.997841
0,q_proj,28,3.222656,3.215708,0.997844
0,q_proj,32,3.021484,3.014983,0.997848
0,q_proj,36,2.916016,2.909749,0.997851
0,q_proj,40,2.849609,2.84349,0.997853
0,q_proj,44,2.767578,2.761641,0.997855
0,q_proj,48,2.728516,2.722665,0.997856
0,q_proj,52,2.667969,2.662252,0.997857
0,q_proj,56,2.628906,2.623276,0.997858
0,q_proj,60,2.591797,2.586248,0.997859
0,q_proj,64,2.566406,2.560914,0.99786
0,q_proj,68,2.529297,2.523886,0.997861
0,q_proj,72,2.503906,2.498552,0.997862
0,q_proj,76,2.46875,2.463473,0.997863
0,q_proj,80,2.449219,2.443985,0.997863
0,q_proj,84,2.410156,2.405009,0.997864
0,q_proj,88,2.386719,2.381623,0.997865
0,q_proj,92,2.357422,2.352391,0.997866
0,q_proj,96,2.324219,2.319261,0.997867
0,q_proj,100,2.294922,2.290029,0.997868
0,q_proj,104,2.259766,2.25495,0.997869
0,q_proj,108,2.234375,2.229615,0.99787
0,q_proj,112,2.199219,2.194536,0.997871
0,q_proj,116,2.169922,2.165303,0.997872
0,q_proj,120,2.138672,2.134122,0.997873
0,q_proj,124,2.115234,2.110736,0.997873
0,k_proj,0,4.175781,4.172828,0.999293
0,k_proj,4,2.875,2.872858,0.999255
0,k_proj,8,2.638672,2.636683,0.999246
0,k_proj,12,2.572266,2.57032,0.999244
0,k_proj,16,2.488281,2.486391,0.99924
0,k_proj,20,2.455078,2.453209,0.999239
0,k_proj,24,2.423828,2.42198,0.999238
0,k_proj,28,2.386719,2.384895,0.999236
0,k_proj,32,2.373047,2.371233,0.999235
0,k_proj,36,2.34375,2.341955,0.999234
0,k_proj,40,2.328125,2.32634,0.999233
0,k_proj,44,2.298828,2.297063,0.999232
0,k_proj,48,2.28125,2.279497,0.999231
0,k_proj,52,2.259766,2.258027,0.99923
0,k_proj,56,2.238281,2.236557,0.999229
0,k_proj,60,2.226562,2.224846,0.999229
0,k_proj,64,2.207031,2.205328,0.999228
0,k_proj,68,2.185547,2.183857,0.999227
0,k_proj,72,2.158203,2.156532,0.999226
0,k_proj,76,2.138672,2.137014,0.999225
0,k_proj,80,2.105469,2.103833,0.999223
0,k_proj,84,2.076172,2.074556,0.999222
0,k_proj,88,2.042969,2.041376,0.99922
0,k_proj,92,1.999023,1.99746,0.999218
0,k_proj,96,1.958008,1.956473,0.999216
0,k_proj,100,1.914062,1.912557,0.999214
0,k_proj,104,1.869141,1.867666,0.999211
0,k_proj,108,1.820312,1.818872,0.999208
0,k_proj,112,1.78125,1.779836,0.999206
0,k_proj,116,1.750977,1.749584,0.999204
0,k_proj,120,1.724609,1.723235,0.999203
0,k_proj,124,1.710938,1.709572,0.999202
0,v_proj,0,1.24707,1.24398,0.997522
0,v_proj,4,0.82373,0.821747,0.997593
0,v_proj,8,0.696777,0.69512,0.997622
0,v_proj,12,0.658203,0.656644,0.997631
0,v_proj,16,0.650391,0.648851,0.997633
0,v_proj,20,0.644531,0.643007,0.997635
0,v_proj,24,0.639648,0.638137,0.997636
