t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.001,1274.5,1306.0,1604,2,65,3378.8
0.119,633.7,1306.0,1604,0,65,3382.9
0.237,658.8,1306.0,1604,0,65,3343.8
0.366,658.8,1306.0,1604,2,65,3351.4
0.486,658.8,1306.0,1604,2,65,3364.1
0.604,690.3,1306.0,1604,1,65,3379.5
0.722,690.3,1306.0,1604,1,65,3391.3
0.843,819.8,1306.0,1604,3,65,3402.1
0.961,819.8,1306.0,1604,3,65,3415.7
1.079,819.8,1306.0,1604,3,65,3425.9
1.197,819.8,1306.0,1604,1,65,3442.3
1.317,819.8,1306.0,1604,3,65,3454.6
1.436,819.8,1306.0,1604,3,65,3462.3
1.554,819.8,1306.0,1604,3,65,3474.8
1.674,819.8,1306.0,1604,1,65,3486.0
1.792,819.8,1306.0,1604,3,65,3496.3
1.91,819.8,1306.0,1604,3,65,3507.3
2.032,819.8,1306.0,1604,3,65,3517.5
2.151,949.3,1306.0,1604,1,65,3529.1
2.271,949.3,1306.0,1604,3,65,3541.5
2.389,949.3,1306.0,1604,3,65,3554.3
2.51,949.3,1306.0,1604,3,65,3565.8
2.629,949.3,1306.0,1604,2,65,3575.7
2.748,949.3,1306.0,1604,2,65,3586.1
2.868,949.3,1306.0,1604,2,65,3597.0
2.988,949.3,1306.0,1604,3,65,3608.9
3.108,949.3,1306.0,1604,2,65,3617.2
3.227,949.3,1306.0,1604,2,65,3628.2
3.346,949.3,1306.0,1604,1,65,3637.8
3.466,949.3,1306.0,1604,3,65,3648.0
3.586,1078.8,1426.0,1724,3,65,3659.8
3.704,1078.8,1426.0,1724,3,64,3670.3
3.826,1078.8,1426.0,1724,1,64,3682.2
3.944,1078.8,1426.0,1724,3,64,3692.1
4.062,1078.8,1426.0,1724,3,64,3703.8
4.181,1078.8,1426.0,1724,3,64,3717.8
4.3,1078.8,1426.0,1724,1,64,3728.8
4.419,1078.8,1426.0,1724,1,64,3740.5
4.538,1078.8,1426.0,1724,3,64,3752.1
4.658,1078.8,1426.0,1724,2,64,3763.0
4.777,1078.8,1426.0,1724,2,64,3776.5
4.898,1085.3,1426.0,1724,2,64,3783.9
5.016,659.5,1566.0,1864,30,65,3793.1
5.134,659.5,1566.0,1864,20,64,3804.8
5.253,666.5,1566.0,1864,20,64,3815.6
5.372,691.0,1566.0,1864,2,64,3827.1
5.491,691.0,1566.0,1864,3,64,3837.9
5.61,820.5,1566.0,1864,3,64,3849.4
5.728,820.5,1566.0,1864,3,64,3860.1
5.848,820.5,1566.0,1864,1,64,3872.1
5.969,820.5,1566.0,1864,3,64,3882.3
6.087,820.5,1566.0,1864,3,64,3895.6
6.206,820.5,1566.0,1864,3,64,3905.6
6.328,820.5,1566.0,1864,1,64,3913.1
6.448,820.5,1566.0,1864,3,64,3922.4
6.572,820.5,1566.0,1864,3,64,3931.9
6.691,820.5,1566.0,1864,2,64,3941.2
6.809,820.5,1566.0,1864,1,64,3950.6
6.927,820.5,1566.0,1864,1,64,3950.3
7.045,950.0,1566.0,1864,3,64,3904.7
7.165,950.0,1566.0,1864,3,64,3914.6
7.283,950.0,1566.0,1864,1,64,3925.3
7.404,950.0,1566.0,1864,1,64,3933.7
7.522,950.0,1566.0,1864,3,64,3945.2
7.642,950.0,1566.0,1864,2,64,3950.4
7.762,950.0,1566.0,1864,2,64,3966.6
7.893,1079.5,1566.0,1864,1,64,4060.1
8.01,1079.5,1566.0,1864,9,64,4146.7
8.13,659.5,1566.0,1864,48,65,4162.3
8.25,820.5,1566.0,1864,48,64,4253.5
8.368,820.5,1566.0,1864,10,64,4325.9
8.49,950.0,1566.0,1864,7,64,4392.8
8.614,1079.5,1566.0,1864,7,64,4437.0
8.733,1079.5,1566.0,1864,8,64,4507.7
8.851,659.6,1566.0,1864,9,67,4544.2
8.97,820.6,1566.0,1864,42,65,4628.0
9.088,820.6,1566.0,1864,42,64,4720.0
9.207,950.1,1566.0,1864,9,64,4808.5
9.325,1079.6,1566.0,1864,8,64,4896.0
9.443,1079.6,1566.0,1864,8,64,4983.4
9.561,691.1,1566.0,1864,23,66,5027.6
9.679,820.6,1566.0,1864,29,65,5112.1
9.796,950.1,1566.0,1864,7,65,5196.9
9.914,950.1,1566.0,1864,7,64,5298.6
10.031,1079.6,1566.0,1864,10,64,5396.4
10.149,659.6,1566.0,1864,41,68,5444.8
10.268,820.6,1566.0,1864,41,65,5477.2
10.386,820.6,1566.0,1864,10,65,5523.5
10.516,950.1,1566.0,1864,6,64,5596.1
10.636,950.1,1566.0,1864,8,65,5675.6
10.754,1079.6,1566.0,1864,8,65,5760.1
10.872,659.7,1566.0,1864,7,67,5801.1
10.989,820.7,1566.0,1864,43,65,5877.8
11.107,820.7,1566.0,1864,43,65,5958.7
11.225,950.2,1566.0,1864,9,65,6051.9
11.343,1079.7,1566.0,1864,8,65,6140.6
11.461,1079.7,1566.0,1864,8,64,6226.8
11.58,659.7,1566.0,1864,9,66,6269.3
11.697,820.7,1566.0,1864,43,65,6354.2
11.814,820.7,1566.0,1864,7,65,6431.4
11.932,950.2,1566.0,1864,7,64,6512.3
12.05,1079.7,1566.0,1864,8,64,6551.2
12.172,1079.7,1566.0,1864,7,64,6566.7
12.292,659.7,1566.0,1864,7,68,6574.5
12.414,820.7,1566.0,1864,41,65,6650.4
12.532,820.7,1566.0,1864,8,65,6695.7
12.651,950.2,1566.0,1864,9,64,6744.9
12.769,1079.7,1566.0,1864,9,64,6811.2
12.887,1079.7,1566.0,1864,7,64,6855.1
13.006,659.7,1566.0,1864,31,67,6898.3
13.123,820.8,1566.0,1864,31,65,6957.8
13.241,820.8,1566.0,1864,20,65,7020.1
13.359,950.3,1566.0,1864,7,64,7089.4
13.476,1079.8,1566.0,1864,10,64,7176.9
13.594,1079.8,1566.0,1864,10,64,7225.6
13.712,691.3,1566.0,1864,41,65,7271.5
13.829,820.8,1566.0,1864,9,65,7334.6
13.947,950.3,1566.0,1864,9,64,7395.1
14.065,950.3,1566.0,1864,8,64,7459.5
14.183,1079.8,1566.0,1864,8,64,7525.3
14.3,659.8,1566.0,1864,8,65,7573.5
14.418,691.3,1566.0,1864,25,65,7622.1
14.536,820.8,1566.0,1864,25,65,7662.2
14.653,950.3,1566.0,1864,8,64,7735.4
14.771,950.3,1566.0,1864,8,64,7793.0
14.889,1079.8,1566.0,1864,7,64,7864.7
15.007,1079.8,1566.0,1864,8,64,7917.6
15.124,691.3,1566.0,1864,8,65,7946.5
15.242,820.8,1566.0,1864,43,65,8019.1
15.361,950.3,1566.0,1864,7,64,8073.1
15.479,950.3,1566.0,1864,7,65,8151.6
15.596,1079.8,1566.0,1864,8,64,8219.1
15.714,659.9,1566.0,1864,9,65,8271.3
15.831,691.4,1566.0,1864,41,65,8300.0
15.949,820.9,1566.0,1864,41,65,8347.5
16.068,950.4,1566.0,1864,8,64,8364.9
16.187,950.4,1566.0,1864,8,64,8376.1
16.307,1079.9,1566.0,1864,8,64,8352.2
16.425,1079.9,1566.0,1864,6,64,8361.7
16.544,659.9,1566.0,1864,33,67,8401.1
16.662,820.9,1566.0,1864,17,65,8467.5
16.782,820.9,1566.0,1864,17,64,8491.7
16.902,950.4,1566.0,1864,6,64,8502.0
17.02,1079.9,1566.0,1864,9,64,8564.2
17.137,1079.9,1566.0,1864,9,64,8635.6
17.255,691.4,1566.0,1864,24,65,8639.5
17.373,820.9,1566.0,1864,27,65,8737.6
17.49,950.4,1566.0,1864,11,64,8842.3
17.608,1079.9,1566.0,1864,11,64,8919.4
17.725,1079.9,1566.0,1864,10,64,9005.4
17.844,660.0,1566.0,1864,43,66,9046.9
17.961,821.0,1566.0,1864,43,65,9112.9
18.079,821.0,1566.0,1864,7,64,9179.7
18.196,950.5,1566.0,1864,7,64,9251.2
18.314,950.5,1566.0,1864,7,64,9317.2
18.431,1080.0,1566.0,1864,6,64,9384.4
18.549,660.0,1566.0,1864,12,64,9443.1
18.668,691.5,1566.0,1864,51,65,9489.2
18.788,821.0,1566.0,1864,51,65,9541.2
18.907,821.0,1566.0,1864,6,64,9590.9
19.029,950.5,1566.0,1864,8,64,9671.2
19.148,1080.0,1566.0,1864,8,64,9752.0
19.266,660.0,1566.0,1864,8,65,9812.4
