t_s,vram_alloc_mb,vram_reserved_mb,smi_used_mb,gpu_util_pct,gpu_temp_c,cpu_ram_mb
0.005,656.0,668.0,1107,0,49,4086.7
0.122,689.3,710.0,1181,1,49,4160.1
0.24,850.3,870.0,1321,9,49,4265.1
0.357,979.8,990.0,1441,9,49,4354.7
0.475,979.8,990.0,1581,8,49,4443.7
0.592,1109.3,1130.0,1581,8,49,4536.7
0.71,1109.3,1130.0,1583,8,49,4625.0
0.828,1114.4,1152.0,1707,4,50,4736.8
0.945,690.2,1276.0,1727,56,50,4773.7
1.063,851.3,1276.0,1727,56,50,4861.0
1.181,980.8,1276.0,1727,10,50,4951.2
1.3,980.8,1276.0,1727,8,50,5039.0
1.417,1110.3,1276.0,1727,7,50,5131.0
1.535,690.5,1276.0,1727,7,51,5187.9
1.654,722.0,1276.0,1727,55,51,5247.7
1.772,851.5,1276.0,1727,10,51,5334.0
1.89,981.0,1276.0,1727,10,50,5414.5
2.008,981.0,1276.0,1727,7,51,5506.3
2.126,1110.5,1276.0,1727,8,51,5599.1
2.243,690.8,1276.0,1722,8,53,5632.6
2.361,851.8,1276.0,1722,50,51,5721.0
2.479,851.8,1276.0,1722,9,51,5804.5
2.597,981.3,1276.0,1722,8,51,5895.0
2.715,1110.8,1276.0,1722,8,51,5988.3
2.832,1110.8,1276.0,1722,9,51,6074.9
2.953,694.6,1276.0,1708,50,53,6112.3
3.072,852.1,1276.0,1708,50,52,6192.1
3.191,852.1,1276.0,1708,7,52,6261.6
3.309,981.6,1276.0,1708,6,52,6328.6
3.426,981.6,1276.0,1708,5,52,6396.7
3.544,1111.1,1276.0,1708,5,52,6461.7
3.662,1111.1,1276.0,1708,6,52,6519.5
3.78,691.4,1276.0,1708,49,54,6548.8
3.899,852.4,1276.0,1708,49,52,6624.5
4.016,852.4,1276.0,1708,6,52,6709.8
4.135,981.9,1276.0,1708,8,52,6792.6
4.253,1111.4,1276.0,1708,7,52,6861.7
4.372,1111.4,1276.0,1708,7,52,6931.4
4.49,691.7,1276.0,1708,6,54,6963.3
4.609,852.7,1276.0,1708,49,53,7031.4
4.728,852.7,1276.0,1708,49,52,7103.5
4.849,982.2,1276.0,1708,6,52,7165.1
4.97,982.2,1276.0,1708,7,52,7144.7
5.089,1111.7,1276.0,1708,8,52,7149.6
5.206,691.9,1276.0,1708,8,55,7169.8
5.324,852.9,1276.0,1708,51,53,7177.2
