layer,proj,idx,sigma,m_sigma,ratio
0,q_proj,0,22.890625,22.897263,1.00029
0,q_proj,4,8.296875,8.299308,1.000293
0,q_proj,8,5.824219,5.825933,1.000294
0,q_proj,12,4.582031,4.583384,1.000295
0,q_proj,16,3.972656,3.97383,1.000296
0,q_proj,20,3.65625,3.657332,1.000296
0,q_proj,24,3.376953,3.377953,1.000296
0,q_proj,28,3.222656,3.223611,1.000296
0,q_proj,32,3.021484,3.02238,1.000296
0,q_proj,36,2.916016,2.91688,1.000297
0,q_proj,40,2.849609,2.850455,1.000297
0,q_proj,44,2.767578,2.768399,1.000297
0,q_proj,48,2.728516,2.729326,1.000297
0,q_proj,52,2.667969,2.668761,1.000297
0,q_proj,56,2.628906,2.629687,1.000297
0,q_proj,60,2.591797,2.592566,1.000297
0,q_proj,64,2.566406,2.567168,1.000297
0,q_proj,68,2.529297,2.530048,1.000297
0,q_proj,72,2.503906,2.50465,1.000297
0,q_proj,76,2.46875,2.469483,1.000297
0,q_proj,80,2.449219,2.449946,1.000297
0,q_proj,84,2.410156,2.410872,1.000297
0,q_proj,88,2.386719,2.387428,1.000297
0,q_proj,92,2.357422,2.358123,1.000297
0,q_proj,96,2.324219,2.32491,1.000297
0,q_proj,100,2.294922,2.295604,1.000297
0,q_proj,104,2.259766,2.260438,1.000297
0,q_proj,108,2.234375,2.235039,1.000297
0,q_proj,112,2.199219,2.199873,1.000297
0,q_proj,116,2.169922,2.170568,1.000298
0,q_proj,120,2.138672,2.139308,1.000298
0,q_proj,124,2.115234,2.115864,1.000298
0,k_proj,0,4.175781,4.17451,0.999696
0,k_proj,4,2.875,2.874128,0.999697
0,k_proj,8,2.638672,2.637872,0.999697
0,k_proj,12,2.572266,2.571486,0.999697
0,k_proj,16,2.488281,2.487528,0.999697
0,k_proj,20,2.455078,2.454335,0.999697
0,k_proj,24,2.423828,2.423095,0.999697
0,k_proj,28,2.386719,2.385996,0.999697
0,k_proj,32,2.373047,2.372329,0.999697
0,k_proj,36,2.34375,2.343041,0.999697
0,k_proj,40,2.328125,2.32742,0.999697
0,k_proj,44,2.298828,2.298133,0.999697
0,k_proj,48,2.28125,2.28056,0.999697
0,k_proj,52,2.259766,2.259082,0.999698
0,k_proj,56,2.238281,2.237604,0.999697
0,k_proj,60,2.226562,2.225889,0.999698
0,k_proj,64,2.207031,2.206364,0.999698
0,k_proj,68,2.185547,2.184886,0.999698
0,k_proj,72,2.158203,2.157551,0.999698
0,k_proj,76,2.138672,2.138025,0.999698
0,k_proj,80,2.105469,2.104832,0.999698
0,k_proj,84,2.076172,2.075544,0.999698
0,k_proj,88,2.042969,2.042351,0.999698
0,k_proj,92,1.999023,1.99842,0.999698
0,k_proj,96,1.958008,1.957416,0.999698
0,k_proj,100,1.914062,1.913484,0.999698
0,k_proj,104,1.869141,1.868576,0.999698
0,k_proj,108,1.820312,1.819763,0.999698
0,k_proj,112,1.78125,1.780712,0.999698
0,k_proj,116,1.750977,1.750448,0.999698
0,k_proj,120,1.724609,1.724089,0.999698
0,k_proj,124,1.710938,1.710421,0.999698
0,v_proj,0,1.24707,1.246695,0.999699
0,v_proj,4,0.82373,0.823484,0.999701
0,v_proj,8,0.696777,0.696569,0.999701
0,v_proj,12,0.658203,0.658007,0.999702
0,v_proj,16,0.650391,0.650197,0.999702
0,v_proj,20,0.644531,0.644339,0.999702
0,v_proj,24,0.639648,0.639458,0.999702
0,v_proj,28,0.635254,0.635064,0.999702
0,v_proj,32,0.631348,0.631159,0.999702
0,v_proj,36,0.627441,0.627254,0.999702
0,v_proj,40,0.623535,0.623349,0.999702
0,v_proj,44,0.619629,0.619444,0.999702
0,v_proj,48,0.615723,0.615539,0.999702
0,v_proj,52,0.612793,0.61261,0.999702
0,v_proj,56,0.60791,0.607729,0.999702
0,v_proj,60,0.603516,0.603336,0.999702
0,v_proj,64,0.600586,0.600407,0.999702
0,v_proj,68,0.596191,0.596014,0.999702
0,v_proj,72,0.59082,0.590644,0.999702
0,v_proj,76,0.587402,0.587227,0.999702
0,v_proj,80,0.583496,0.583322,0.999702
0,v_proj,84,0.57959,0.579417,0.999702
0,v_proj,88,0.57666,0.576488,0.999702
0,v_proj,92,0.572266,0.572095,0.999702
0,v_proj,96,0.567383,0.567214,0.999702
0,v_proj,100,0.562012,0.561844,0.999702
