wall_s,epoch,opt_step,batch_idx,seq_len,tokens_cum,loss,perplexity,lr,grad_total,grad_svmo,grad_nmf,grad_stb,scaler_scale,skipped,fwd_ms,bwd_ms,step_ms,vram_alloc_mb,vram_peak_mb,cpu_ram_mb,disk_read_mb
47.96,0,0,0,14,56,5.03251,153.3175,0.001,,,,,4096.0,,25554.3,22328.8,47899.8,686.5,1620.3,11853.9,24893.3
90.6,0,1,1,15,116,4.00453,54.8461,0.0,9.98931,1.32091,9.89593,0.33482,4096.0,False,9746.0,29465.7,42617.9,701.4,1637.5,11455.0,24893.3
147.64,0,1,2,16,180,2.37295,10.729,0.0,,,,,4096.0,,29372.1,27623.4,57003.5,715.4,1656.1,10450.0,24893.3
193.28,0,2,3,17,248,3.38892,29.6341,0.00016666666666666666,2.3214,0.31077,2.27467,0.34375,4096.0,False,15425.7,29958.1,45592.3,701.9,1672.8,11235.7,24893.3
234.73,0,2,4,17,316,2.67369,14.4934,0.00016666666666666666,,,,,4096.0,,14745.7,26692.4,41445.9,716.2,1659.0,9401.7,24893.3
286.44,0,3,5,18,388,2.36244,10.6168,0.0003333333333333333,2.23077,0.23977,2.15769,0.51301,4096.0,False,22066.6,29320.4,51664.8,702.5,1676.8,11366.3,24893.3
339.27,0,3,6,18,460,2.47178,11.8435,0.0003333333333333333,,,,,4096.0,,14702.0,38104.2,52814.7,716.5,1663.2,11311.5,24893.3
393.89,0,4,7,18,532,2.626,13.8184,0.0005,1.64401,0.20089,1.62192,0.17837,4096.0,False,17357.3,37023.8,54586.3,702.6,1675.2,10748.5,24893.3
446.99,0,4,8,18,604,2.28162,9.7926,0.0005,,,,,4096.0,,20224.2,32856.8,53091.6,716.7,1663.3,9586.8,24893.3
494.94,0,5,9,18,676,2.2919,9.8937,0.0006666666666666666,1.25875,0.17938,1.23233,0.18339,4096.0,False,21124.4,26570.0,47902.8,702.8,1676.4,11517.3,24893.3
537.74,0,5,10,19,752,1.8033,6.0696,0.0006666666666666666,,,,,4096.0,,12466.6,30320.9,42797.7,716.7,1667.1,12496.2,24893.3
579.58,0,6,11,19,828,1.91536,6.7894,0.0008333333333333334,1.4018,0.13103,1.37858,0.21768,4096.0,False,13379.3,28204.3,41794.1,702.8,1678.6,11229.6,24893.3
615.7,0,6,12,19,904,1.99149,7.3264,0.0008333333333333334,,,,,4096.0,,14542.8,21557.9,36109.1,716.8,1665.6,12134.2,24893.3
662.87,0,7,13,19,980,1.87105,6.4951,0.001,0.90822,0.10336,0.84661,0.31213,4096.0,False,9963.8,36891.5,47130.3,702.8,1680.7,10953.6,24893.3
707.65,0,7,14,20,1060,1.688,5.4086,0.001,,,,,4096.0,,16533.4,28219.0,44764.7,716.5,1670.3,11934.9,24893.3
746.61,0,8,15,20,1140,2.25979,9.5811,0.0009998562273265785,1.20969,0.12062,1.16227,0.31295,4096.0,False,10661.0,28038.3,38919.9,702.8,1682.5,12411.9,24893.3
782.42,0,8,16,20,1220,1.82803,6.2216,0.0009998562273265785,,,,,4096.0,,9569.8,26161.7,35807.3,717.1,1669.8,12225.6,24893.3
829.78,0,9,17,20,1300,2.21277,9.141,0.0009994249919886402,1.8716,0.19956,1.8199,0.38861,4096.0,False,10382.7,36657.7,47315.8,702.8,1684.1,11822.7,24893.3
865.29,0,9,18,21,1384,2.01798,7.5231,0.0009994249919886402,,,,,4096.0,,12106.4,23387.5,35504.4,716.6,1673.5,11898.3,24893.3
907.87,0,10,19,21,1468,2.0849,8.0438,0.000998706541985615,1.69856,0.14644,1.50041,0.78259,4096.0,False,10025.3,32297.3,42536.8,702.8,1685.7,11608.1,24893.3
947.17,0,10,20,21,1552,1.78885,5.9826,0.000998706541985615,,,,,4096.0,,13076.0,26193.7,39287.6,717.0,1673.5,12484.2,24893.3
990.25,0,11,21,21,1636,2.00157,7.4007,0.0009977012904914132,1.29851,0.29287,1.16919,0.48305,4096.0,False,11482.8,31325.2,43039.5,702.8,1687.2,11492.1,24893.3
1032.25,0,11,22,21,1720,1.66527,5.2871,0.0009977012904914132,,,,,4096.0,,12326.3,29556.3,41956.3,716.8,1673.0,11161.8,24893.3
1076.47,0,12,23,22,1808,1.56414,4.7786,0.0009964098156168143,1.34583,0.56333,1.04967,0.62621,4096.0,False,13554.6,30351.0,44182.8,702.8,1690.3,11714.4,24893.3
1117.56,0,12,24,22,1896,1.31884,3.7391,0.0009964098156168143,,,,,4096.0,,12663.8,28396.7,41071.6,716.9,1676.8,12005.6,24893.3
1161.24,0,13,25,22,1984,1.75947,5.8094,0.0009948328600769996,0.98546,0.3537,0.85246,0.34545,4096.0,False,10005.9,33353.5,43640.4,702.8,1690.4,11236.9,24893.3
1200.45,0,13,26,22,2072,1.25844,3.5199,0.0009948328600769996,,,,,4096.0,,12789.6,26398.8,39195.9,716.5,1674.7,12449.0,24893.3
1240.62,0,14,27,22,2160,1.31152,3.7118,0.0009929713307644244,3.04129,0.29633,3.01147,0.30442,4096.0,False,11096.2,28807.0,40136.2,702.8,1689.9,12946.4,24893.3
1276.3,0,14,28,23,2252,1.49024,4.4381,0.0009929713307644244,,,,,4096.0,,11959.9,23628.6,35669.8,716.8,1676.2,12451.7,24893.3
